time,Denver,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: F. Ezeli vs. K. Faried (D. Green gains possession),,,,Jump ball: F. Ezeli vs. K. Faried (D. Green gains possession)
11:46.0,,,0-2,2,F. Ezeli makes 2-pt shot at rim (assist by D. Green)
11:30.0,K. Faried makes 2-pt shot from 8 ft (assist by G. Harris),2,2-2,,
11:14.0,,,2-2,,K. Thompson misses 2-pt shot from 18 ft
11:13.0,Defensive rebound by K. Faried,,2-2,,
11:04.0,E. Mudiay misses 2-pt shot from 9 ft,,2-2,,
11:03.0,,,2-2,,Defensive rebound by S. Curry
10:49.0,,,2-5,3,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry)
10:28.0,G. Harris misses 2-pt shot from 2 ft,,2-5,,
10:28.0,,,2-5,,Defensive rebound by D. Green
10:18.0,,,2-7,2,K. Thompson makes 2-pt shot from 22 ft (assist by S. Curry)
10:05.0,D. Gallinari makes 2-pt shot at rim (assist by E. Mudiay),2,4-7,,
9:59.0,,,4-7,,Turnover by S. Curry (bad pass)
9:47.0,W. Barton misses 2-pt shot from 17 ft,,4-7,,
9:46.0,,,4-7,,Defensive rebound by S. Curry
9:37.0,,,4-10,3,H. Barnes makes 3-pt shot from 23 ft (assist by S. Curry)
9:31.0,,,4-10,,Personal foul by F. Ezeli (drawn by K. Faried)
9:25.0,Offensive foul by E. Mudiay,,4-10,,
9:25.0,Turnover by E. Mudiay (offensive foul),,4-10,,
9:10.0,,,4-10,,K. Thompson misses 2-pt shot from 11 ft
9:09.0,,,4-10,,Offensive rebound by F. Ezeli
9:06.0,,,4-12,2,H. Barnes makes 2-pt shot from 18 ft (assist by F. Ezeli)
9:01.0,Denver full timeout,,4-12,,
8:48.0,D. Gallinari misses 2-pt shot from 11 ft,,4-12,,
8:47.0,,,4-12,,Defensive rebound by K. Thompson
8:44.0,,,4-12,,K. Thompson misses 2-pt shot from 1 ft (block by K. Faried)
8:44.0,,,4-12,,Offensive rebound by Team
8:39.0,,,4-14,2,F. Ezeli makes 2-pt shot at rim (assist by D. Green)
8:25.0,W. Barton misses 2-pt shot from 2 ft,,4-14,,
8:24.0,,,4-14,,Defensive rebound by F. Ezeli
8:17.0,,,4-14,,S. Curry misses 3-pt shot from 25 ft
8:17.0,Defensive rebound by K. Faried,,4-14,,
8:07.0,D. Gallinari makes 2-pt shot from 2 ft,2,6-14,,
7:54.0,,,6-16,2,H. Barnes makes 2-pt shot from 1 ft (assist by S. Curry)
7:47.0,E. Mudiay makes 2-pt shot from 1 ft,2,8-16,,
7:25.0,,,8-18,2,F. Ezeli makes 2-pt shot at rim (assist by D. Green)
7:04.0,K. Faried misses 2-pt shot from 2 ft,,8-18,,
7:03.0,,,8-18,,Defensive rebound by K. Thompson
6:46.0,,,8-18,,Offensive foul by F. Ezeli
6:46.0,,,8-18,,Turnover by F. Ezeli (offensive foul)
6:46.0,J. Hickson enters the game for K. Faried,,8-18,,
6:31.0,J. Hickson makes 2-pt shot from 16 ft (assist by G. Harris),2,10-18,,
6:16.0,,,10-18,,S. Curry misses 2-pt shot from 1 ft
6:16.0,,,10-18,,Offensive rebound by Team
6:16.0,J. Nelson enters the game for E. Mudiay,,10-18,,
6:16.0,,,10-18,,A. Iguodala enters the game for F. Ezeli
6:14.0,,,10-20,2,H. Barnes makes 2-pt shot at rim (assist by K. Thompson)
6:14.0,,,10-20,,Shooting foul by G. Harris (drawn by H. Barnes)
6:14.0,,,10-21,1,H. Barnes makes free throw 1 of 1
5:54.0,J. Nelson makes 2-pt shot from 19 ft,2,12-21,,
5:37.0,,,12-24,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
5:25.0,G. Harris makes 3-pt shot from 24 ft,3,15-24,,
5:12.0,,,15-24,,S. Curry misses 3-pt shot from 25 ft
5:12.0,,,15-24,,Offensive rebound by D. Green
5:10.0,,,15-26,2,D. Green makes 2-pt shot at rim
4:56.0,,,15-26,,Personal foul by A. Iguodala (drawn by D. Gallinari)
4:56.0,R. Foye enters the game for G. Harris,,15-26,,
4:56.0,,,15-26,,M. Speights enters the game for H. Barnes
4:46.0,Turnover by J. Nelson (bad pass; steal by M. Speights),,15-26,,
4:42.0,,,15-26,,Turnover by D. Green (bad pass; steal by W. Barton)
4:35.0,D. Gallinari makes 2-pt shot at rim (assist by W. Barton),2,17-26,,
4:20.0,,,17-26,,M. Speights misses 2-pt shot from 8 ft
4:19.0,Defensive rebound by W. Barton,,17-26,,
4:15.0,W. Barton misses 2-pt shot from 1 ft (block by A. Iguodala),,17-26,,
4:14.0,,,17-26,,Defensive rebound by D. Green
4:08.0,,,17-29,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
3:56.0,Turnover by J. Hickson (lost ball; steal by A. Iguodala),,17-29,,
3:51.0,,,17-31,2,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry)
3:51.0,Denver full timeout,,17-31,,
3:51.0,,,17-31,,S. Livingston enters the game for K. Thompson
3:43.0,Shooting foul by M. Speights (drawn by D. Gallinari),,17-31,,
3:43.0,D. Gallinari makes free throw 1 of 3,1,18-31,,
3:43.0,D. Gallinari makes free throw 2 of 3,1,19-31,,
3:43.0,D. Gallinari makes free throw 3 of 3,1,20-31,,
3:24.0,,,20-31,,M. Speights misses 2-pt shot from 5 ft
3:21.0,,,20-31,,Offensive rebound by D. Green
3:21.0,,,20-33,2,D. Green makes 2-pt shot at rim
3:13.0,Turnover by W. Barton (bad pass; steal by S. Curry),,20-33,,
3:13.0,Personal foul by J. Nelson (drawn by S. Curry),,20-33,,
2:54.0,,,20-36,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
2:45.0,,,20-36,,Violation by D. Green (kicked ball)
2:45.0,,,20-36,,Golden State full timeout
2:45.0,,,20-36,,H. Barnes enters the game for D. Green
2:45.0,M. Miller enters the game for W. Barton,,20-36,,
2:31.0,D. Gallinari misses 2-pt shot from 19 ft,,20-36,,
2:31.0,,,20-36,,Defensive rebound by S. Livingston
2:15.0,,,20-36,,M. Speights misses 2-pt shot from 3 ft (block by J. Hickson)
2:13.0,Defensive rebound by M. Miller,,20-36,,
2:03.0,J. Hickson makes 2-pt shot from 2 ft (assist by J. Nelson),2,22-36,,
1:54.0,,,22-36,,S. Curry misses 2-pt shot from 15 ft
1:54.0,,,22-36,,Offensive rebound by M. Speights
1:54.0,,,22-36,,M. Speights misses 2-pt shot from 1 ft
1:54.0,,,22-36,,Offensive rebound by M. Speights
1:54.0,,,22-36,,Shooting foul by J. Hickson (drawn by M. Speights)
1:54.0,,,22-36,,M. Speights misses free throw 1 of 2
1:54.0,,,22-36,,Offensive rebound by Team
1:54.0,,,22-37,1,M. Speights makes free throw 2 of 2
1:31.0,J. Hickson misses 2-pt shot from 5 ft,,22-37,,
1:30.0,,,22-37,,Defensive rebound by S. Curry
1:21.0,,,22-37,,H. Barnes misses 3-pt shot from 25 ft
1:21.0,,,22-37,,Offensive rebound by S. Livingston
1:16.0,,,22-37,,S. Curry misses 3-pt shot from 23 ft
1:16.0,Defensive rebound by Team,,22-37,,
0:58.0,D. Gallinari misses 3-pt shot from 24 ft,,22-37,,
0:57.0,Offensive rebound by J. Hickson,,22-37,,
0:56.0,Shooting foul by M. Speights (drawn by J. Hickson),,22-37,,
0:56.0,J. Hickson makes free throw 1 of 2,1,23-37,,
0:56.0,G. Harris enters the game for D. Gallinari,,23-37,,
0:56.0,J. Hickson misses free throw 2 of 2,,23-37,,
0:55.0,,,23-37,,Defensive rebound by M. Speights
0:36.0,,,23-37,,Turnover by S. Livingston (bad pass; steal by M. Miller)
0:28.0,R. Foye misses 2-pt shot from 6 ft,,23-37,,
0:26.0,,,23-37,,Defensive rebound by M. Speights
0:07.0,,,23-40,3,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala)
0:02.0,Offensive foul by J. Hickson,,23-40,,
0:02.0,Turnover by J. Hickson (offensive foul),,23-40,,
0:01.0,,,23-40,,S. Curry misses 3-pt shot from 48 ft
0:00.0,,,23-40,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,R. Foye misses 3-pt shot from 26 ft,,23-40,,
11:45.0,,,23-40,,Defensive rebound by L. Barbosa
11:32.0,,,23-40,,L. Barbosa misses 2-pt shot from 19 ft
11:31.0,,,23-40,,Offensive rebound by J. McAdoo
11:17.0,,,23-40,,H. Barnes misses 2-pt shot from 4 ft
11:16.0,,,23-40,,Offensive rebound by H. Barnes
11:10.0,,,23-43,3,L. Barbosa makes 3-pt shot from 24 ft (assist by A. Iguodala)
10:59.0,Turnover by J. Nelson (bad pass; steal by J. McAdoo),,23-43,,
10:50.0,,,23-43,,Turnover by L. Barbosa (bad pass; steal by M. Miller)
10:41.0,M. Miller misses 3-pt shot from 26 ft (block by S. Livingston),,23-43,,
10:38.0,,,23-43,,Defensive rebound by H. Barnes
10:31.0,,,23-45,2,J. McAdoo makes 2-pt shot from 2 ft (assist by A. Iguodala)
10:20.0,J. Nelson misses 3-pt shot from 26 ft,,23-45,,
10:20.0,,,23-45,,Defensive rebound by H. Barnes
10:16.0,,,23-47,2,A. Iguodala makes 2-pt shot at rim (assist by S. Livingston)
10:16.0,Denver full timeout,,23-47,,
10:16.0,E. Mudiay enters the game for R. Foye,,23-47,,
10:02.0,Shooting foul by H. Barnes (drawn by N. Jokic),,23-47,,
10:02.0,N. Jokic misses free throw 1 of 2,,23-47,,
10:02.0,Offensive rebound by Team,,23-47,,
10:02.0,N. Jokic misses free throw 2 of 2,,23-47,,
10:01.0,,,23-47,,Defensive rebound by A. Iguodala
9:46.0,,,23-47,,H. Barnes misses 2-pt shot from 7 ft
