time,Washington,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Howard (P. Beverley gains possession),,,,Jump ball: M. Gortat vs. D. Howard (P. Beverley gains possession)
11:41.0,,,0-0,,D. Howard misses 2-pt shot from 8 ft
11:41.0,Defensive rebound by J. Wall,,0-0,,
11:22.0,G. Temple makes 2-pt shot from 8 ft,2,2-0,,
11:09.0,,,2-0,,T. Ariza misses 2-pt shot from 16 ft
11:08.0,Defensive rebound by M. Gortat,,2-0,,
11:00.0,M. Gortat makes 2-pt shot at rim (assist by J. Dudley),2,4-0,,
10:40.0,,,4-0,,T. Ariza misses 2-pt shot from 1 ft (block by M. Gortat)
10:39.0,Defensive rebound by O. Porter,,4-0,,
10:32.0,,,4-0,,Personal foul by J. Harden (drawn by G. Temple)
10:22.0,J. Dudley misses 3-pt shot from 22 ft,,4-0,,
10:21.0,Offensive rebound by M. Gortat,,4-0,,
10:15.0,G. Temple misses 3-pt shot from 25 ft,,4-0,,
10:14.0,Offensive rebound by O. Porter,,4-0,,
10:13.0,O. Porter makes 2-pt shot from 17 ft,2,6-0,,
10:13.0,,,6-0,,Houston full timeout
10:05.0,Personal foul by M. Gortat (drawn by C. Brewer),,6-0,,
9:58.0,,,6-3,3,P. Beverley makes 3-pt shot from 24 ft
9:49.0,O. Porter makes 3-pt shot from 22 ft (assist by J. Wall),3,9-3,,
9:31.0,,,9-5,2,J. Harden makes 2-pt shot at rim (assist by C. Brewer)
9:16.0,O. Porter misses 3-pt shot from 24 ft,,9-5,,
9:16.0,,,9-5,,Defensive rebound by Team
8:55.0,,,9-5,,J. Harden misses 2-pt shot from 5 ft
8:55.0,Defensive rebound by M. Gortat,,9-5,,
8:42.0,G. Temple misses 3-pt shot from 23 ft,,9-5,,
8:41.0,Offensive rebound by M. Gortat,,9-5,,
8:35.0,J. Wall misses 3-pt shot from 24 ft,,9-5,,
8:34.0,,,9-5,,Defensive rebound by P. Beverley
8:28.0,,,9-5,,P. Beverley misses 2-pt shot from 3 ft
8:27.0,Defensive rebound by M. Gortat,,9-5,,
8:21.0,G. Temple makes 2-pt shot at rim (assist by J. Wall),2,11-5,,
7:54.0,,,11-7,2,D. Howard makes 2-pt shot from 4 ft (assist by P. Beverley)
7:43.0,O. Porter misses 3-pt shot from 25 ft,,11-7,,
7:42.0,Offensive rebound by M. Gortat,,11-7,,
7:33.0,G. Temple makes 2-pt shot from 18 ft,2,13-7,,
7:10.0,,,13-9,2,P. Beverley makes 2-pt shot from 1 ft
6:52.0,O. Porter misses 3-pt shot from 22 ft,,13-9,,
6:51.0,,,13-9,,Defensive rebound by T. Ariza
6:39.0,,,13-11,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
6:22.0,J. Dudley makes 2-pt shot from 1 ft (assist by G. Temple),2,15-11,,
6:22.0,Violation by Team (jump ball),,15-11,,
6:22.0,,,15-11,,Houston full timeout
