time,New Orleans,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Lauvergne (O. Asik gains possession),,,,Jump ball: A. Davis vs. J. Lauvergne (O. Asik gains possession)
11:42.0,A. Davis makes 2-pt shot from 20 ft (assist by E. Gordon),2,2-0,,
11:20.0,,,2-0,,J. Nelson misses 2-pt shot from 21 ft
11:19.0,Defensive rebound by A. Davis,,2-0,,
11:01.0,A. Gee misses 3-pt shot from 23 ft,,2-0,,
11:01.0,,,2-0,,Defensive rebound by J. Lauvergne
10:42.0,,,2-0,,D. Gallinari misses 2-pt shot from 21 ft
10:41.0,Defensive rebound by T. Evans,,2-0,,
10:35.0,Shooting foul by G. Harris (drawn by T. Evans),,2-0,,
10:35.0,T. Evans makes free throw 1 of 2,1,3-0,,
10:35.0,T. Evans misses free throw 2 of 2,,3-0,,
10:33.0,Offensive rebound by T. Evans,,3-0,,
10:27.0,T. Evans misses 2-pt shot from 2 ft (block by J. Lauvergne),,3-0,,
10:26.0,Offensive rebound by O. Asik,,3-0,,
10:25.0,Shooting foul by K. Faried (drawn by O. Asik),,3-0,,
10:25.0,O. Asik makes free throw 1 of 2,1,4-0,,
10:25.0,O. Asik misses free throw 2 of 2,,4-0,,
10:24.0,,,4-0,,Defensive rebound by D. Gallinari
10:12.0,,,4-0,,K. Faried misses 2-pt shot from 5 ft
10:11.0,,,4-0,,Offensive rebound by K. Faried
10:11.0,,,4-0,,Shooting foul by A. Gee (drawn by K. Faried)
10:11.0,,,4-1,1,K. Faried makes free throw 1 of 2
10:11.0,,,4-2,1,K. Faried makes free throw 2 of 2
10:02.0,,,4-2,,Def 3 sec tech foul by J. Lauvergne
10:02.0,A. Davis makes technical free throw,1,5-2,,
9:52.0,T. Evans misses 2-pt shot from 2 ft,,5-2,,
9:50.0,Offensive rebound by O. Asik,,5-2,,
9:50.0,O. Asik makes 2-pt shot at rim,2,7-2,,
9:35.0,,,7-5,3,J. Lauvergne makes 3-pt shot from 23 ft (assist by G. Harris)
9:23.0,,,7-5,,Violation by K. Faried (def goaltending)
9:23.0,A. Davis makes 2-pt shot at rim (assist by E. Gordon),2,9-5,,
9:13.0,,,9-5,,J. Lauvergne misses 3-pt shot from 24 ft
9:12.0,Defensive rebound by O. Asik,,9-5,,
9:02.0,Shooting foul by J. Lauvergne (drawn by A. Davis),,9-5,,
9:02.0,A. Davis makes free throw 1 of 2,1,10-5,,
9:02.0,A. Davis makes free throw 2 of 2,1,11-5,,
8:44.0,,,11-5,,D. Gallinari misses 2-pt shot from 1 ft
8:42.0,,,11-5,,Offensive rebound by K. Faried
8:41.0,,,11-7,2,K. Faried makes 2-pt shot from 2 ft
8:24.0,A. Gee makes 2-pt shot from 16 ft,2,13-7,,
8:11.0,Personal foul by A. Gee (drawn by J. Lauvergne),,13-7,,
8:11.0,D. Cunningham enters the game for A. Gee,,13-7,,
7:57.0,,,13-7,,J. Nelson misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by T. Evans,,13-7,,
7:48.0,D. Cunningham makes 3-pt shot from 25 ft (assist by T. Evans),3,16-7,,
7:47.0,,,16-7,,Denver full timeout
7:25.0,,,16-7,,Shooting foul by O. Asik (drawn by D. Gallinari)
7:25.0,,,16-8,1,D. Gallinari makes free throw 1 of 2
7:25.0,,,16-9,1,D. Gallinari makes free throw 2 of 2
7:11.0,E. Gordon makes 2-pt shot from 1 ft (assist by A. Davis),2,18-9,,
7:03.0,Personal foul by O. Asik (drawn by K. Faried),,18-9,,
7:03.0,,,18-10,1,K. Faried makes free throw 1 of 2
7:03.0,,,18-10,,K. Faried misses free throw 2 of 2
7:02.0,Defensive rebound by Team,,18-10,,
7:02.0,,,18-10,,Loose ball foul by J. Lauvergne (drawn by O. Asik)
6:48.0,A. Davis makes 2-pt shot from 3 ft,2,20-10,,
6:33.0,,,20-12,2,J. Lauvergne makes 2-pt shot at rim (assist by J. Nelson)
6:13.0,A. Davis misses 2-pt shot from 16 ft,,20-12,,
6:12.0,,,20-12,,Defensive rebound by K. Faried
6:03.0,,,20-12,,Shooting foul by D. Cunningham (drawn by D. Gallinari)
6:03.0,,,20-13,1,D. Gallinari makes free throw 1 of 2
6:03.0,R. Anderson enters the game for O. Asik,,20-13,,
6:03.0,,,20-13,,D. Arthur enters the game for K. Faried
6:03.0,,,20-13,,N. Jokic enters the game for J. Lauvergne
6:03.0,,,20-14,1,D. Gallinari makes free throw 2 of 2
5:41.0,T. Evans makes 2-pt shot at rim,2,22-14,,
5:17.0,,,22-16,2,N. Jokic makes 2-pt shot from 4 ft
5:00.0,R. Anderson misses 2-pt shot from 16 ft (block by G. Harris),,22-16,,
4:59.0,,,22-16,,Defensive rebound by J. Nelson
4:55.0,,,22-16,,J. Nelson misses 3-pt shot from 24 ft
4:54.0,,,22-16,,Offensive rebound by G. Harris
4:40.0,,,22-16,,G. Harris misses 2-pt shot from 2 ft
4:39.0,Defensive rebound by A. Davis,,22-16,,
4:30.0,A. Davis makes 2-pt shot from 12 ft (assist by T. Evans),2,24-16,,
4:15.0,,,24-16,,G. Harris misses 2-pt shot from 1 ft
4:15.0,Defensive rebound by D. Cunningham,,24-16,,
4:08.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,26-16,,
3:59.0,Personal foul by T. Evans (drawn by D. Gallinari),,26-16,,
3:59.0,,,26-17,1,D. Gallinari makes free throw 1 of 2
3:59.0,,,26-17,,W. Barton enters the game for G. Harris
3:59.0,J. Holiday enters the game for E. Gordon,,26-17,,
3:59.0,,,26-18,1,D. Gallinari makes free throw 2 of 2
3:43.0,Turnover by A. Davis (traveling),,26-18,,
3:27.0,,,26-18,,Shooting foul by T. Evans (drawn by D. Gallinari)
3:27.0,,,26-19,1,D. Gallinari makes free throw 1 of 2
3:27.0,N. Cole enters the game for T. Evans,,26-19,,
3:27.0,,,26-19,,R. Foye enters the game for J. Nelson
3:27.0,,,26-20,1,D. Gallinari makes free throw 2 of 2
3:10.0,N. Cole makes 2-pt shot from 19 ft (assist by R. Anderson),2,28-20,,
3:01.0,Personal foul by D. Cunningham (drawn by D. Gallinari),,28-20,,
3:01.0,,,28-21,1,D. Gallinari makes free throw 1 of 2
3:01.0,,,28-22,1,D. Gallinari makes free throw 2 of 2
2:49.0,A. Davis misses 2-pt shot from 11 ft,,28-22,,
2:49.0,,,28-22,,Defensive rebound by W. Barton
2:43.0,,,28-25,3,R. Foye makes 3-pt shot from 24 ft (assist by W. Barton)
2:31.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,30-25,,
2:11.0,,,30-28,3,R. Foye makes 3-pt shot from 22 ft (assist by N. Jokic)
1:53.0,D. Cunningham misses 3-pt shot from 22 ft,,30-28,,
1:52.0,Offensive rebound by Team,,30-28,,
1:52.0,,,30-28,,Loose ball foul by N. Jokic (drawn by A. Davis)
1:52.0,New Orleans full timeout,,30-28,,
1:52.0,A. Davis makes free throw 1 of 2,1,31-28,,
1:52.0,A. Davis makes free throw 2 of 2,1,32-28,,
1:35.0,,,32-30,2,D. Arthur makes 2-pt shot at rim (assist by D. Gallinari)
1:18.0,A. Davis makes 2-pt shot from 14 ft (assist by N. Cole),2,34-30,,
0:56.0,,,34-30,,N. Jokic misses 3-pt shot from 24 ft
0:55.0,Defensive rebound by D. Cunningham,,34-30,,
0:41.0,R. Anderson misses 2-pt shot from 2 ft,,34-30,,
0:40.0,,,34-30,,Defensive rebound by N. Jokic
0:37.0,,,34-30,,R. Foye misses 2-pt shot from 1 ft (block by D. Cunningham)
0:37.0,,,34-30,,Offensive rebound by Team
0:37.0,K. Perkins enters the game for A. Davis,,34-30,,
0:30.0,,,34-30,,W. Barton misses 2-pt shot from 21 ft
0:30.0,Defensive rebound by R. Anderson,,34-30,,
0:23.0,J. Holiday misses 2-pt shot from 2 ft (block by N. Jokic),,34-30,,
0:23.0,,,34-30,,Defensive rebound by D. Gallinari
0:23.0,Personal foul by J. Holiday (drawn by D. Gallinari),,34-30,,
0:23.0,,,34-30,,D. Gallinari misses free throw 1 of 2
0:23.0,,,34-30,,Offensive rebound by Team
0:23.0,,,34-30,,K. Papanikolaou enters the game for D. Arthur
0:23.0,,,34-31,1,D. Gallinari makes free throw 2 of 2
0:05.0,N. Cole makes 2-pt shot from 10 ft,2,36-31,,
0:01.0,,,36-31,,W. Barton misses 3-pt shot from 26 ft (block by J. Holiday)
0:00.0,,,36-31,,Offensive rebound by W. Barton
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,36-34,3,R. Foye makes 3-pt shot from 25 ft
11:30.0,R. Anderson misses 3-pt shot from 23 ft,,36-34,,
11:29.0,,,36-34,,Defensive rebound by W. Barton
11:20.0,,,36-36,2,W. Barton makes 2-pt shot from 6 ft (assist by R. Foye)
11:06.0,J. Holiday makes 3-pt shot from 24 ft,3,39-36,,
10:52.0,,,39-38,2,N. Jokic makes 2-pt shot from 1 ft (assist by J. Nelson)
10:40.0,J. Holiday misses 3-pt shot from 23 ft,,39-38,,
10:38.0,,,39-38,,Defensive rebound by W. Barton
10:28.0,,,39-40,2,N. Jokic makes 2-pt shot from 3 ft (assist by W. Barton)
10:17.0,R. Anderson makes 2-pt shot from 3 ft (assist by J. Holiday),2,41-40,,
10:17.0,Shooting foul by K. Papanikolaou (drawn by R. Anderson),,41-40,,
10:17.0,I. Smith enters the game for D. Cunningham,,41-40,,
10:17.0,R. Anderson makes free throw 1 of 1,1,42-40,,
9:57.0,,,42-43,3,W. Barton makes 3-pt shot from 26 ft (assist by N. Jokic)
9:50.0,Shooting foul by R. Foye (drawn by J. Holiday),,42-43,,
9:50.0,J. Holiday makes free throw 1 of 2,1,43-43,,
9:50.0,J. Holiday makes free throw 2 of 2,1,44-43,,
9:35.0,,,44-46,3,J. Nelson makes 3-pt shot from 24 ft
9:19.0,N. Cole misses 2-pt shot from 19 ft,,44-46,,
9:18.0,,,44-46,,Defensive rebound by W. Barton
9:10.0,,,44-46,,W. Barton misses 2-pt shot from 12 ft
9:09.0,Defensive rebound by J. Holiday,,44-46,,
9:05.0,Shooting foul by R. Foye (drawn by N. Cole),,44-46,,
9:05.0,N. Cole makes free throw 1 of 2,1,45-46,,
9:05.0,N. Cole makes free throw 2 of 2,1,46-46,,
8:44.0,,,46-49,3,W. Barton makes 3-pt shot from 26 ft (assist by K. Papanikolaou)
8:32.0,Shooting foul by K. Papanikolaou (drawn by R. Anderson),,46-49,,
8:32.0,Official timeout,,46-49,,
8:32.0,R. Anderson makes free throw 1 of 2,1,47-49,,
8:32.0,R. Anderson misses free throw 2 of 2,,47-49,,
8:30.0,Offensive rebound by K. Perkins,,47-49,,
8:18.0,J. Holiday misses 2-pt shot from 5 ft,,47-49,,
8:16.0,Offensive rebound by Team,,47-49,,
8:09.0,R. Anderson misses 2-pt shot from 2 ft,,47-49,,
8:08.0,Offensive rebound by Team,,47-49,,
7:57.0,J. Holiday makes 2-pt shot from 21 ft,2,49-49,,
7:39.0,,,49-49,,Turnover by R. Foye (step out of bounds)
7:39.0,E. Gordon enters the game for I. Smith,,49-49,,
7:28.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Holiday),3,52-49,,
7:06.0,Personal foul by N. Cole (drawn by N. Jokic),,52-49,,
7:06.0,T. Evans enters the game for N. Cole,,52-49,,
7:06.0,,,52-49,,G. Harris enters the game for R. Foye
7:06.0,,,52-49,,D. Gallinari enters the game for K. Papanikolaou
6:52.0,,,52-49,,Turnover by Team (shot clock)
6:52.0,,,52-49,,K. Faried enters the game for N. Jokic
6:37.0,E. Gordon misses 2-pt shot from 16 ft,,52-49,,
6:37.0,,,52-49,,Defensive rebound by W. Barton
6:30.0,,,52-49,,W. Barton misses 2-pt shot from 9 ft
6:29.0,,,52-49,,Offensive rebound by K. Faried
6:19.0,,,52-49,,Shooting foul by J. Holiday (drawn by K. Faried)
6:19.0,,,52-49,,K. Faried misses free throw 1 of 2
6:19.0,,,52-49,,Offensive rebound by Team
6:19.0,,,52-50,1,K. Faried makes free throw 2 of 2
6:04.0,J. Holiday misses 3-pt shot from 24 ft,,52-50,,
6:03.0,Offensive rebound by R. Anderson,,52-50,,
6:02.0,R. Anderson misses 2-pt shot from 1 ft,,52-50,,
6:01.0,,,52-50,,Defensive rebound by Team
5:42.0,,,52-53,3,D. Gallinari makes 3-pt shot from 26 ft (assist by J. Nelson)
5:31.0,,,52-53,,Violation by W. Barton (kicked ball)
5:31.0,,,52-53,,Denver full timeout
5:20.0,T. Evans misses 3-pt shot from 25 ft,,52-53,,
5:20.0,,,52-53,,Defensive rebound by J. Nelson
5:04.0,,,52-53,,W. Barton misses 2-pt shot from 2 ft (block by K. Perkins)
5:02.0,,,52-53,,Offensive rebound by W. Barton
4:59.0,,,52-53,,W. Barton misses 2-pt shot from 2 ft
4:58.0,,,52-53,,Offensive rebound by K. Faried
4:57.0,,,52-55,2,K. Faried makes 2-pt shot at rim
