time,Atlanta,pts.away,score,pts.home,Houston
4:55.0,,,104-103,,Shooting foul by K. Korver (drawn by D. Howard)
4:55.0,,,104-103,,D. Howard misses free throw 1 of 2
4:55.0,,,104-103,,Offensive rebound by Team
4:55.0,,,104-104,1,D. Howard makes free throw 2 of 2
4:43.0,J. Teague makes 2-pt shot at rim,2,106-104,,
4:43.0,Shooting foul by J. Harden (drawn by J. Teague),,106-104,,
4:43.0,T. Sefolosha enters the game for K. Korver,,106-104,,
4:43.0,,,106-104,,C. Capela enters the game for D. Motiejunas
4:43.0,J. Teague makes free throw 1 of 1,1,107-104,,
4:36.0,Personal foul by K. Bazemore (drawn by J. Harden),,107-104,,
4:36.0,,,107-105,1,J. Harden makes free throw 1 of 2
4:36.0,K. Korver enters the game for T. Sefolosha,,107-105,,
4:36.0,,,107-106,1,J. Harden makes free throw 2 of 2
4:17.0,J. Teague misses 2-pt shot from 7 ft,,107-106,,
4:16.0,,,107-106,,Defensive rebound by D. Howard
4:08.0,,,107-106,,T. Lawson misses 2-pt shot from 18 ft
4:07.0,,,107-106,,Offensive rebound by Team
3:57.0,Def 3 sec tech foul by A. Horford,,107-106,,
3:57.0,,,107-107,1,J. Harden makes technical free throw
3:57.0,Personal take foul by A. Horford,,107-107,,
3:57.0,,,107-107,,C. Capela misses free throw 1 of 2
3:57.0,,,107-107,,Offensive rebound by Team
3:57.0,,,107-108,1,C. Capela makes free throw 2 of 2
3:34.0,K. Korver misses 2-pt shot from 13 ft,,107-108,,
3:32.0,Offensive rebound by P. Millsap,,107-108,,
3:31.0,Atlanta full timeout,,107-108,,
3:21.0,J. Teague misses 2-pt shot from 1 ft,,107-108,,
3:20.0,Offensive rebound by A. Horford,,107-108,,
3:20.0,A. Horford makes 2-pt shot at rim,2,109-108,,
3:17.0,Personal take foul by A. Horford (drawn by D. Howard),,109-108,,
3:17.0,,,109-108,,D. Howard misses free throw 1 of 2
3:17.0,,,109-108,,Offensive rebound by Team
3:17.0,,,109-109,1,D. Howard makes free throw 2 of 2
3:01.0,Shooting foul by C. Capela (drawn by K. Bazemore),,109-109,,
3:01.0,K. Bazemore makes free throw 1 of 2,1,110-109,,
3:01.0,K. Bazemore makes free throw 2 of 2,1,111-109,,
3:00.0,Personal take foul by A. Horford (drawn by C. Capela),,111-109,,
3:00.0,,,111-109,,C. Capela misses free throw 1 of 2
3:00.0,,,111-109,,Offensive rebound by Team
3:00.0,,,111-110,1,C. Capela makes free throw 2 of 2
2:36.0,J. Teague misses 2-pt shot from 4 ft,,111-110,,
2:34.0,Offensive rebound by K. Korver,,111-110,,
2:24.0,K. Korver misses 3-pt shot from 24 ft,,111-110,,
2:22.0,Offensive rebound by A. Horford,,111-110,,
2:21.0,,,111-110,,Personal foul by J. Harden (drawn by A. Horford)
2:21.0,A. Horford misses free throw 1 of 2,,111-110,,
2:21.0,Offensive rebound by Team,,111-110,,
2:21.0,,,111-110,,D. Motiejunas enters the game for C. Capela
2:21.0,T. Sefolosha enters the game for P. Millsap,,111-110,,
2:21.0,A. Horford makes free throw 2 of 2,1,112-110,,
2:19.0,Personal take foul by T. Sefolosha (drawn by D. Howard),,112-110,,
2:19.0,,,112-110,,D. Howard misses free throw 1 of 2
2:19.0,,,112-110,,Offensive rebound by Team
2:19.0,P. Millsap enters the game for T. Sefolosha,,112-110,,
2:19.0,,,112-111,1,D. Howard makes free throw 2 of 2
2:09.0,K. Korver misses 3-pt shot from 25 ft,,112-111,,
2:08.0,,,112-111,,Defensive rebound by D. Motiejunas
2:04.0,Personal take foul by J. Teague (drawn by D. Howard),,112-111,,
2:04.0,,,112-112,1,D. Howard makes free throw 1 of 2
2:04.0,,,112-112,,C. Capela enters the game for D. Motiejunas
2:04.0,,,112-113,1,D. Howard makes free throw 2 of 2
1:51.0,J. Teague misses 2-pt shot from 1 ft,,112-113,,
1:50.0,,,112-113,,Defensive rebound by D. Howard
1:44.0,,,112-113,,J. Harden misses 2-pt shot from 2 ft
1:43.0,Defensive rebound by A. Horford,,112-113,,
1:38.0,K. Korver misses 3-pt shot from 24 ft,,112-113,,
1:37.0,,,112-113,,Defensive rebound by C. Capela
1:32.0,,,112-115,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
1:13.0,K. Bazemore makes 3-pt shot from 24 ft (assist by K. Korver),3,115-115,,
0:49.0,,,115-115,,Turnover by Team (shot clock)
0:49.0,Atlanta full timeout,,115-115,,
0:49.0,,,115-115,,C. Brewer enters the game for T. Lawson
0:33.0,A. Horford makes 2-pt shot from 4 ft (assist by K. Bazemore),2,117-115,,
0:14.0,,,117-115,,T. Ariza misses 2-pt shot from 1 ft (block by P. Millsap)
0:13.0,,,117-115,,Offensive rebound by D. Howard
0:12.0,,,117-115,,D. Howard misses 2-pt shot at rim (block by P. Millsap)
0:12.0,Defensive rebound by J. Teague,,117-115,,
0:12.0,,,117-115,,Personal foul by C. Brewer (drawn by J. Teague)
0:12.0,J. Teague makes free throw 1 of 2,1,118-115,,
0:12.0,T. Sefolosha enters the game for K. Korver,,118-115,,
0:12.0,J. Teague makes free throw 2 of 2,1,119-115,,
0:12.0,,,119-115,,Houston full timeout
0:12.0,,,119-115,,J. Terry enters the game for C. Capela
0:06.0,,,119-115,,J. Harden misses 2-pt shot from 1 ft
0:05.0,Defensive rebound by A. Horford,,119-115,,
0:05.0,,,119-115,,Personal take foul by D. Howard (drawn by A. Horford)
0:05.0,A. Horford makes free throw 1 of 2,1,120-115,,
0:05.0,A. Horford makes free throw 2 of 2,1,121-115,,
0:05.0,,,121-115,,Houston full timeout
0:01.0,,,121-115,,J. Harden misses 2-pt shot from 16 ft
0:00.0,,,121-115,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
