time,Atlanta,pts.away,score,pts.home,Houston
4:46.0,P. Millsap makes 2-pt shot at rim,2,18-21,,
4:43.0,,,18-21,,Turnover by D. Howard (bad pass; steal by J. Teague)
4:40.0,J. Teague makes 2-pt shot from 1 ft,2,20-21,,
4:24.0,,,20-23,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
4:07.0,K. Bazemore makes 3-pt shot from 23 ft (assist by P. Millsap),3,23-23,,
3:53.0,,,23-26,3,T. Lawson makes 3-pt shot from 22 ft (assist by J. Harden)
3:34.0,K. Bazemore makes 2-pt shot from 1 ft,2,25-26,,
3:15.0,,,25-29,3,T. Ariza makes 3-pt shot from 23 ft (assist by T. Lawson)
3:14.0,Atlanta full timeout,,25-29,,
3:14.0,,,25-29,,C. Capela enters the game for D. Howard
3:14.0,,,25-29,,C. Brewer enters the game for T. Ariza
3:14.0,S. Mack enters the game for J. Teague,,25-29,,
3:01.0,Turnover by K. Bazemore (bad pass),,25-29,,
2:40.0,,,25-32,3,D. Motiejunas makes 3-pt shot from 22 ft (assist by J. Harden)
2:30.0,P. Millsap misses 2-pt shot from 1 ft,,25-32,,
2:29.0,,,25-32,,Defensive rebound by C. Capela
2:22.0,,,25-34,2,J. Harden makes 2-pt shot from 15 ft (assist by T. Lawson)
2:16.0,Turnover by E. Tavares (bad pass; steal by T. Lawson),,25-34,,
2:11.0,,,25-37,3,J. Harden makes 3-pt shot from 24 ft (assist by T. Lawson)
2:11.0,Atlanta full timeout,,25-37,,
2:11.0,M. Scott enters the game for K. Bazemore,,25-37,,
2:11.0,A. Horford enters the game for P. Millsap,,25-37,,
2:11.0,K. Korver enters the game for E. Tavares,,25-37,,
1:49.0,T. Sefolosha misses 3-pt shot from 23 ft,,25-37,,
1:48.0,,,25-37,,Defensive rebound by J. Harden
1:42.0,,,25-37,,T. Lawson misses 3-pt shot from 22 ft
1:41.0,Defensive rebound by K. Korver,,25-37,,
1:30.0,Turnover by S. Mack (bad pass),,25-37,,
1:11.0,,,25-39,2,J. Harden makes 2-pt shot from 2 ft
0:58.0,K. Korver misses 3-pt shot from 23 ft,,25-39,,
0:57.0,,,25-39,,Defensive rebound by J. Harden
0:52.0,,,25-39,,J. Harden misses 3-pt shot from 24 ft
0:51.0,Defensive rebound by M. Scott,,25-39,,
0:30.0,K. Korver misses 3-pt shot from 26 ft,,25-39,,
0:28.0,,,25-39,,Defensive rebound by J. Harden
0:20.0,,,25-39,,Shooting foul by S. Mack (drawn by C. Capela)
0:20.0,,,25-40,1,C. Capela makes free throw 1 of 2
0:20.0,,,25-40,,T. Ariza enters the game for T. Lawson
0:20.0,,,25-40,,P. Beverley enters the game for D. Motiejunas
0:20.0,,,25-41,1,C. Capela makes free throw 2 of 2
0:05.0,S. Mack misses 3-pt shot from 25 ft,,25-41,,
0:03.0,,,25-41,,Defensive rebound by J. Harden
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,M. Scott misses 2-pt shot from 1 ft,,25-41,,
11:38.0,,,25-41,,Defensive rebound by D. Motiejunas
11:22.0,,,25-43,2,D. Howard makes 2-pt shot from 1 ft (assist by T. Lawson)
11:05.0,M. Scott makes 3-pt shot from 24 ft,3,28-43,,
10:50.0,,,28-45,2,D. Howard makes 2-pt shot from 4 ft
10:28.0,S. Mack misses 3-pt shot from 24 ft,,28-45,,
10:27.0,,,28-45,,Defensive rebound by D. Howard
10:15.0,,,28-47,2,T. Lawson makes 2-pt shot from 15 ft
10:01.0,A. Horford makes 3-pt shot from 24 ft (assist by S. Mack),3,31-47,,
9:46.0,,,31-47,,Turnover by C. Brewer (bad pass; steal by M. Scott)
9:45.0,,,31-47,,Personal foul by T. Lawson (drawn by S. Mack)
9:34.0,A. Horford makes 2-pt shot from 1 ft (assist by L. Patterson),2,33-47,,
9:13.0,,,33-47,,C. Brewer misses 2-pt shot from 1 ft
9:12.0,Defensive rebound by M. Scott,,33-47,,
9:02.0,,,33-47,,Personal foul by C. Brewer (drawn by A. Horford)
9:02.0,,,33-47,,C. Capela enters the game for D. Motiejunas
8:56.0,A. Horford makes 3-pt shot from 24 ft (assist by S. Mack),3,36-47,,
8:56.0,,,36-47,,Houston full timeout
8:34.0,,,36-49,2,T. Lawson makes 2-pt shot from 20 ft
8:21.0,L. Patterson misses 2-pt shot from 2 ft (block by C. Capela),,36-49,,
8:20.0,Offensive rebound by Team,,36-49,,
8:17.0,S. Mack makes 2-pt shot from 1 ft (assist by K. Korver),2,38-49,,
8:01.0,,,38-51,2,D. Howard makes 2-pt shot from 6 ft (assist by C. Capela)
7:41.0,S. Mack misses 3-pt shot from 22 ft,,38-51,,
7:40.0,Offensive rebound by A. Horford,,38-51,,
7:36.0,S. Mack misses 3-pt shot from 24 ft,,38-51,,
7:35.0,,,38-51,,Defensive rebound by D. Howard
7:27.0,,,38-54,3,T. Lawson makes 3-pt shot from 23 ft
7:13.0,,,38-54,,Def 3 sec tech foul by D. Howard
7:13.0,K. Korver makes technical free throw,1,39-54,,
7:13.0,E. Tavares enters the game for A. Horford,,39-54,,
7:13.0,P. Millsap enters the game for S. Mack,,39-54,,
7:13.0,J. Teague enters the game for M. Scott,,39-54,,
7:13.0,,,39-54,,P. Beverley enters the game for T. Lawson
7:05.0,J. Teague makes 3-pt shot from 23 ft (assist by K. Korver),3,42-54,,
6:43.0,,,42-54,,P. Beverley misses 2-pt shot from 22 ft
6:41.0,,,42-54,,Offensive rebound by C. Brewer
6:34.0,,,42-56,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Terry)
6:18.0,P. Millsap makes 2-pt shot from 21 ft (assist by J. Teague),2,44-56,,
6:04.0,,,44-59,3,J. Terry makes 3-pt shot from 23 ft
5:51.0,Turnover by J. Teague (back court),,44-59,,
5:51.0,Official timeout,,44-59,,
5:51.0,T. Sefolosha enters the game for K. Korver,,44-59,,
5:51.0,K. Bazemore enters the game for L. Patterson,,44-59,,
5:51.0,,,44-59,,T. Ariza enters the game for D. Howard
5:51.0,,,44-59,,J. Harden enters the game for C. Brewer
5:51.0,,,44-59,,D. Motiejunas enters the game for J. Terry
5:29.0,,,44-61,2,P. Beverley makes 2-pt shot from 11 ft
5:15.0,,,44-61,,Personal block foul by P. Beverley (drawn by J. Teague)
5:02.0,,,44-61,,Personal foul by T. Ariza (drawn by P. Millsap)
4:57.0,Shooting foul by C. Capela (drawn by K. Bazemore),,44-61,,
4:57.0,K. Bazemore makes free throw 1 of 2,1,45-61,,
4:57.0,,,45-61,,D. Howard enters the game for C. Capela
4:57.0,K. Bazemore makes free throw 2 of 2,1,46-61,,
4:47.0,Personal foul by K. Bazemore (drawn by J. Harden),,46-61,,
4:37.0,,,46-61,,Turnover by T. Ariza (bad pass; steal by E. Tavares)
4:28.0,Shooting foul by D. Motiejunas (drawn by P. Millsap),,46-61,,
