time,Washington,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Vucevic (J. Dudley gains possession),,,,Jump ball: M. Gortat vs. N. Vucevic (J. Dudley gains possession)
11:33.0,M. Gortat misses 2-pt shot from 8 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by C. Frye
11:14.0,,,0-2,2,V. Oladipo makes 2-pt shot from 13 ft
11:00.0,Turnover by J. Wall (lost ball; steal by V. Oladipo),,0-2,,
10:51.0,,,0-2,,Turnover by C. Frye (bad pass; steal by O. Porter)
10:44.0,J. Dudley makes 2-pt shot from 16 ft (assist by G. Temple),2,2-2,,
10:29.0,,,2-2,,T. Harris misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by M. Gortat,,2-2,,
10:18.0,M. Gortat makes 2-pt shot from 11 ft (assist by J. Wall),2,4-2,,
10:18.0,Violation by Team (delay of game),,4-2,,
10:03.0,,,4-2,,V. Oladipo misses 2-pt shot from 20 ft
10:01.0,,,4-2,,Offensive rebound by C. Frye
9:50.0,,,4-4,2,N. Vucevic makes 2-pt shot from 18 ft
9:43.0,Shooting foul by T. Harris (drawn by M. Gortat),,4-4,,
9:43.0,M. Gortat makes free throw 1 of 2,1,5-4,,
9:43.0,M. Gortat makes free throw 2 of 2,1,6-4,,
9:27.0,,,6-4,,Turnover by V. Oladipo (bad pass; steal by J. Wall)
9:21.0,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall),2,8-4,,
9:05.0,,,8-4,,T. Harris misses 2-pt shot at rim (block by M. Gortat)
9:05.0,,,8-4,,Offensive rebound by Team
8:55.0,,,8-6,2,C. Frye makes 2-pt shot at rim (assist by N. Vucevic)
8:38.0,M. Gortat misses 2-pt shot from 12 ft,,8-6,,
8:38.0,,,8-6,,Defensive rebound by C. Frye
8:21.0,,,8-9,3,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic)
8:01.0,Turnover by O. Porter (step out of bounds),,8-9,,
7:51.0,,,8-9,,V. Oladipo misses 3-pt shot from 24 ft
7:51.0,Defensive rebound by M. Gortat,,8-9,,
7:41.0,J. Wall makes 2-pt shot from 16 ft,2,10-9,,
7:17.0,,,10-9,,Turnover by V. Oladipo (bad pass; steal by O. Porter)
7:15.0,,,10-9,,Shooting block foul by V. Oladipo (drawn by O. Porter)
7:15.0,O. Porter makes free throw 1 of 2,1,11-9,,
7:15.0,O. Porter makes free throw 2 of 2,1,12-9,,
6:52.0,,,12-9,,Turnover by E. Fournier (bad pass; steal by J. Wall)
6:47.0,J. Wall makes 2-pt shot at rim,2,14-9,,
6:36.0,,,14-11,2,C. Frye makes 2-pt shot at rim (assist by N. Vucevic)
6:18.0,M. Gortat makes 2-pt shot from 11 ft,2,16-11,,
5:50.0,,,16-11,,E. Fournier misses 2-pt shot from 17 ft
5:50.0,,,16-11,,Offensive rebound by V. Oladipo
5:48.0,,,16-11,,V. Oladipo misses 2-pt shot from 2 ft
5:48.0,Defensive rebound by M. Gortat,,16-11,,
5:48.0,,,16-11,,Personal take foul by E. Fournier (drawn by J. Wall)
5:48.0,,,16-11,,Orlando full timeout
5:34.0,Turnover by J. Wall (bad pass; steal by N. Vucevic),,16-11,,
5:11.0,,,16-11,,E. Fournier misses 2-pt shot from 20 ft
5:11.0,Defensive rebound by J. Dudley,,16-11,,
5:04.0,G. Temple makes 2-pt shot from 17 ft (assist by J. Wall),2,18-11,,
4:52.0,,,18-11,,Shooting foul by J. Dudley (drawn by V. Oladipo)
4:52.0,,,18-12,1,V. Oladipo makes free throw 1 of 2
4:52.0,K. Oubre enters the game for O. Porter,,18-12,,
4:52.0,,,18-12,,A. Gordon enters the game for C. Frye
4:52.0,,,18-13,1,V. Oladipo makes free throw 2 of 2
4:38.0,J. Wall misses 2-pt shot from 17 ft,,18-13,,
4:37.0,Offensive rebound by J. Dudley,,18-13,,
4:28.0,G. Temple makes 3-pt shot from 22 ft (assist by J. Wall),3,21-13,,
4:13.0,,,21-15,2,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Fournier)
4:04.0,Turnover by G. Temple (bad pass; steal by T. Harris),,21-15,,
4:00.0,,,21-17,2,V. Oladipo makes 2-pt shot at rim
3:37.0,J. Dudley misses 3-pt shot from 23 ft,,21-17,,
3:35.0,,,21-17,,Defensive rebound by Team
3:16.0,,,21-17,,E. Fournier misses 2-pt shot from 17 ft
3:15.0,Defensive rebound by G. Temple,,21-17,,
