time,Golden State,pts.away,score,pts.home,Chicago
7:05.0,,,97-80,1,J. Butler makes free throw 2 of 2
6:56.0,S. Livingston makes 2-pt shot at rim (assist by D. Green),2,99-80,,
6:41.0,,,99-80,,Turnover by D. McDermott (bad pass; steal by S. Livingston)
6:41.0,,,99-80,,Loose ball foul by D. McDermott (drawn by S. Livingston)
6:25.0,K. Thompson makes 2-pt shot at rim (assist by S. Curry),2,101-80,,
6:08.0,,,101-82,2,T. Snell makes 2-pt shot at rim (assist by D. Rose)
5:54.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,104-82,,
5:32.0,,,104-82,,D. Rose misses 3-pt shot from 26 ft
5:31.0,,,104-82,,Offensive rebound by B. Portis
5:30.0,,,104-84,2,B. Portis makes 2-pt shot at rim
5:14.0,S. Curry misses 3-pt shot from 25 ft,,104-84,,
5:13.0,,,104-84,,Defensive rebound by T. Snell
5:07.0,,,104-84,,T. Snell misses 2-pt shot from 5 ft (block by K. Thompson)
5:05.0,Defensive rebound by K. Thompson,,104-84,,
4:57.0,K. Thompson misses 3-pt shot from 23 ft,,104-84,,
4:56.0,,,104-84,,Defensive rebound by J. Butler
4:45.0,,,104-86,2,J. Butler makes 2-pt shot from 13 ft
4:24.0,H. Barnes makes 3-pt shot from 23 ft (assist by D. Green),3,107-86,,
4:10.0,,,107-86,,B. Portis misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by K. Thompson,,107-86,,
3:54.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,110-86,,
3:53.0,,,110-86,,Chicago full timeout
3:53.0,J. Thompson enters the game for D. Green,,110-86,,
3:53.0,M. Speights enters the game for H. Barnes,,110-86,,
3:53.0,I. Clark enters the game for K. Thompson,,110-86,,
3:53.0,L. Barbosa enters the game for S. Curry,,110-86,,
3:53.0,B. Rush enters the game for S. Livingston,,110-86,,
3:53.0,,,110-86,,E. Moore enters the game for J. Butler
3:53.0,,,110-86,,C. Bairstow enters the game for D. Rose
3:42.0,,,110-88,2,B. Portis makes 2-pt shot from 18 ft (assist by E. Moore)
3:22.0,B. Rush makes 2-pt shot from 12 ft (assist by J. Thompson),2,112-88,,
3:08.0,,,112-88,,D. McDermott misses 2-pt shot from 21 ft
3:06.0,Defensive rebound by J. Thompson,,112-88,,
2:58.0,L. Barbosa makes 2-pt shot from 4 ft,2,114-88,,
2:58.0,Shooting foul by C. Bairstow (drawn by L. Barbosa),,114-88,,
2:58.0,L. Barbosa makes free throw 1 of 1,1,115-88,,
2:46.0,,,115-90,2,E. Moore makes 2-pt shot from 7 ft (assist by T. Snell)
2:28.0,Shooting foul by B. Portis (drawn by J. Thompson),,115-90,,
2:28.0,J. Thompson makes free throw 1 of 2,1,116-90,,
2:28.0,,,116-90,,C. Felicio enters the game for B. Portis
2:28.0,J. Thompson misses free throw 2 of 2,,116-90,,
2:26.0,,,116-90,,Defensive rebound by C. Felicio
2:13.0,,,116-90,,T. Snell misses 2-pt shot from 18 ft
2:12.0,,,116-90,,Offensive rebound by D. McDermott
2:06.0,,,116-92,2,E. Moore makes 2-pt shot from 4 ft (assist by D. McDermott)
1:47.0,M. Speights makes 2-pt shot from 21 ft (assist by I. Clark),2,118-92,,
1:38.0,,,118-92,,Turnover by C. Bairstow (lost ball; steal by L. Barbosa)
1:23.0,B. Rush misses 2-pt shot from 21 ft,,118-92,,
1:22.0,Offensive rebound by M. Speights,,118-92,,
1:19.0,M. Speights misses 2-pt shot from 5 ft (block by C. Bairstow),,118-92,,
1:16.0,,,118-92,,Defensive rebound by C. Bairstow
1:10.0,,,118-92,,E. Moore misses 2-pt shot from 11 ft
1:07.0,Defensive rebound by J. Thompson,,118-92,,
1:03.0,I. Clark makes 2-pt shot from 2 ft,2,120-92,,
0:59.0,,,120-92,,D. McDermott misses 2-pt shot at rim
0:56.0,Defensive rebound by J. Thompson,,120-92,,
0:52.0,I. Clark makes 2-pt shot from 5 ft (assist by B. Rush),2,122-92,,
0:39.0,,,122-92,,C. Felicio misses 3-pt shot from 25 ft
0:36.0,,,122-92,,Offensive rebound by C. Bairstow
0:36.0,,,122-92,,C. Bairstow misses 2-pt shot from 3 ft (block by J. Thompson)
0:33.0,Defensive rebound by I. Clark,,122-92,,
0:29.0,M. Speights makes 3-pt shot from 26 ft (assist by I. Clark),3,125-92,,
0:20.0,,,125-94,2,E. Moore makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
