time,Golden State,pts.away,score,pts.home,Chicago
0:58.0,,,29-17,,N. Mirotic misses 3-pt shot from 23 ft
0:57.0,Defensive rebound by F. Ezeli,,29-17,,
0:44.0,S. Curry misses 3-pt shot from 25 ft,,29-17,,
0:43.0,,,29-17,,Defensive rebound by P. Gasol
0:40.0,,,29-17,,Turnover by J. Butler (bad pass; steal by S. Curry)
0:39.0,,,29-17,,Personal foul by E. Moore (drawn by S. Curry)
0:39.0,,,29-17,,B. Portis enters the game for P. Gasol
0:39.0,H. Barnes enters the game for D. Green,,29-17,,
0:36.0,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Curry),2,31-17,,
0:18.0,,,31-17,,Shooting foul by S. Curry (drawn by E. Moore)
0:18.0,,,31-18,1,E. Moore makes free throw 1 of 2
0:18.0,,,31-18,,E. Moore misses free throw 2 of 2
0:18.0,Defensive rebound by F. Ezeli,,31-18,,
0:01.0,A. Iguodala makes 3-pt shot from 25 ft,3,34-18,,
0:01.0,Shooting foul by E. Moore (drawn by A. Iguodala),,34-18,,
0:01.0,A. Iguodala misses free throw 1 of 1,,34-18,,
0:00.0,,,34-18,,Defensive rebound by E. Moore
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by A. Iguodala (bad pass; steal by N. Mirotic),,34-18,,
11:42.0,,,34-18,,D. McDermott misses 3-pt shot from 26 ft
11:41.0,Defensive rebound by F. Ezeli,,34-18,,
11:32.0,H. Barnes makes 3-pt shot from 24 ft (assist by L. Barbosa),3,37-18,,
11:16.0,,,37-20,2,B. Portis makes 2-pt shot from 1 ft (assist by D. Rose)
11:09.0,,,37-20,,Personal foul by A. Brooks (drawn by L. Barbosa)
11:05.0,L. Barbosa makes 2-pt shot from 21 ft (assist by S. Livingston),2,39-20,,
10:52.0,,,39-20,,D. McDermott misses 2-pt shot from 1 ft
10:51.0,Defensive rebound by A. Iguodala,,39-20,,
10:42.0,F. Ezeli misses 2-pt shot from 6 ft,,39-20,,
10:41.0,,,39-20,,Defensive rebound by B. Portis
10:33.0,,,39-20,,B. Portis misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by A. Iguodala,,39-20,,
10:17.0,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Livingston),2,41-20,,
10:04.0,,,41-22,2,D. Rose makes 2-pt shot from 11 ft
9:53.0,S. Livingston misses 2-pt shot from 10 ft,,41-22,,
9:51.0,,,41-22,,Defensive rebound by N. Mirotic
9:41.0,,,41-24,2,D. Rose makes 2-pt shot from 5 ft
9:34.0,Golden State full timeout,,41-24,,
9:34.0,M. Speights enters the game for L. Barbosa,,41-24,,
9:34.0,K. Thompson enters the game for F. Ezeli,,41-24,,
9:26.0,M. Speights misses 2-pt shot from 3 ft (block by B. Portis),,41-24,,
9:26.0,Offensive rebound by Team,,41-24,,
9:24.0,H. Barnes makes 2-pt shot from 2 ft (assist by S. Livingston),2,43-24,,
9:08.0,,,43-24,,D. Rose misses 2-pt shot from 17 ft
9:07.0,Defensive rebound by K. Thompson,,43-24,,
8:52.0,A. Iguodala misses 3-pt shot from 24 ft,,43-24,,
8:51.0,,,43-24,,Defensive rebound by A. Brooks
8:46.0,,,43-26,2,D. Rose makes 2-pt shot from 1 ft
8:37.0,K. Thompson misses 2-pt shot from 15 ft,,43-26,,
8:36.0,,,43-26,,Defensive rebound by N. Mirotic
8:25.0,,,43-26,,N. Mirotic misses 2-pt shot from 20 ft
8:24.0,Defensive rebound by K. Thompson,,43-26,,
8:17.0,S. Livingston makes 2-pt shot from 7 ft (assist by K. Thompson),2,45-26,,
7:59.0,,,45-26,,B. Portis misses 2-pt shot from 6 ft
7:58.0,,,45-26,,Offensive rebound by B. Portis
7:58.0,,,45-28,2,B. Portis makes 2-pt shot from 6 ft
7:39.0,S. Livingston makes 2-pt shot from 7 ft,2,47-28,,
7:27.0,Personal foul by M. Speights (drawn by B. Portis),,47-28,,
7:27.0,,,47-28,,J. Butler enters the game for D. Rose
7:27.0,D. Green enters the game for A. Iguodala,,47-28,,
7:22.0,,,47-30,2,D. McDermott makes 2-pt shot at rim (assist by N. Mirotic)
7:07.0,M. Speights misses 2-pt shot from 17 ft,,47-30,,
7:05.0,,,47-30,,Defensive rebound by N. Mirotic
6:55.0,,,47-32,2,B. Portis makes 2-pt shot from 20 ft (assist by N. Mirotic)
6:41.0,,,47-32,,Personal foul by A. Brooks (drawn by S. Livingston)
6:41.0,,,47-32,,T. Gibson enters the game for N. Mirotic
6:41.0,B. Rush enters the game for M. Speights,,47-32,,
6:32.0,H. Barnes misses 2-pt shot from 16 ft,,47-32,,
6:31.0,,,47-32,,Defensive rebound by B. Portis
6:25.0,,,47-35,3,A. Brooks makes 3-pt shot from 25 ft
6:17.0,Turnover by S. Livingston (bad pass),,47-35,,
6:07.0,Personal foul by D. Green (drawn by A. Brooks),,47-35,,
6:07.0,S. Curry enters the game for H. Barnes,,47-35,,
6:01.0,Personal foul by D. Green (drawn by A. Brooks),,47-35,,
6:01.0,,,47-35,,Technical foul by A. Brooks
6:01.0,Technical foul by S. Livingston,,47-35,,
5:55.0,,,47-35,,J. Butler misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by D. Green,,47-35,,
5:40.0,S. Livingston makes 2-pt shot from 8 ft,2,49-35,,
5:24.0,,,49-35,,B. Portis misses 2-pt shot from 5 ft (block by K. Thompson)
5:22.0,,,49-35,,Offensive rebound by B. Portis
5:22.0,,,49-35,,Chicago full timeout
5:22.0,,,49-35,,D. Rose enters the game for D. McDermott
5:22.0,A. Bogut enters the game for B. Rush,,49-35,,
5:14.0,,,49-35,,J. Butler misses 2-pt shot from 15 ft
5:13.0,,,49-35,,Offensive rebound by Team
5:13.0,,,49-35,,P. Gasol enters the game for B. Portis
4:53.0,,,49-35,,P. Gasol misses 2-pt shot from 1 ft
4:52.0,,,49-35,,Offensive rebound by T. Gibson
4:52.0,,,49-35,,T. Gibson misses 2-pt shot at rim
4:50.0,,,49-35,,Offensive rebound by T. Gibson
4:40.0,,,49-35,,D. Rose misses 2-pt shot from 23 ft
4:38.0,Defensive rebound by S. Curry,,49-35,,
4:29.0,K. Thompson misses 3-pt shot from 23 ft,,49-35,,
4:28.0,Offensive rebound by D. Green,,49-35,,
4:28.0,Shooting foul by D. Rose (drawn by S. Curry),,49-35,,
4:28.0,S. Curry makes free throw 1 of 3,1,50-35,,
4:28.0,S. Curry makes free throw 2 of 3,1,51-35,,
4:28.0,S. Curry makes free throw 3 of 3,1,52-35,,
4:14.0,,,52-35,,Shooting foul by A. Bogut (drawn by D. Rose)
4:14.0,Violation by D. Green (def goaltending),,52-35,,
4:14.0,,,52-37,2,D. Rose makes 2-pt shot from 1 ft
4:14.0,,,52-38,1,D. Rose makes free throw 1 of 1
3:57.0,Shooting foul by P. Gasol (drawn by S. Curry),,52-38,,
3:57.0,S. Curry makes free throw 1 of 2,1,53-38,,
3:57.0,,,53-38,,T. Snell enters the game for A. Brooks
3:57.0,A. Iguodala enters the game for S. Livingston,,53-38,,
3:57.0,S. Curry makes free throw 2 of 2,1,54-38,,
3:39.0,,,54-40,2,D. Rose makes 2-pt shot from 5 ft (assist by J. Butler)
3:28.0,A. Iguodala makes 3-pt shot from 23 ft (assist by D. Green),3,57-40,,
3:12.0,,,57-40,,D. Rose misses 2-pt shot from 4 ft (block by S. Curry)
3:11.0,,,57-40,,Offensive rebound by T. Gibson
3:09.0,,,57-40,,D. Rose misses 2-pt shot from 9 ft
3:07.0,,,57-40,,Offensive rebound by T. Gibson
3:07.0,,,57-42,2,T. Gibson makes 2-pt shot at rim
2:46.0,K. Thompson misses 2-pt shot from 1 ft,,57-42,,
2:44.0,Offensive rebound by A. Bogut,,57-42,,
2:42.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,59-42,,
2:28.0,,,59-42,,P. Gasol misses 2-pt shot from 13 ft
2:27.0,Defensive rebound by A. Iguodala,,59-42,,
2:23.0,Golden State full timeout,,59-42,,
2:23.0,Golden State full timeout,,59-42,,
2:23.0,,,59-42,,E. Moore enters the game for D. Rose
2:23.0,H. Barnes enters the game for A. Bogut,,59-42,,
2:14.0,D. Green misses 2-pt shot at rim,,59-42,,
2:13.0,Offensive rebound by D. Green,,59-42,,
2:13.0,D. Green makes 2-pt shot at rim,2,61-42,,
1:54.0,,,61-42,,Turnover by E. Moore (lost ball; steal by D. Green)
1:47.0,Turnover by S. Curry (lost ball; steal by E. Moore),,61-42,,
1:47.0,Violation by S. Curry (kicked ball),,61-42,,
1:35.0,,,61-42,,T. Snell misses 3-pt shot from 24 ft
1:35.0,,,61-42,,Offensive rebound by Team
1:35.0,Loose ball foul by K. Thompson (drawn by J. Butler),,61-42,,
1:35.0,,,61-43,1,J. Butler makes free throw 1 of 2
1:35.0,,,61-43,,B. Portis enters the game for T. Gibson
1:35.0,,,61-44,1,J. Butler makes free throw 2 of 2
1:18.0,A. Iguodala misses 2-pt shot from 1 ft,,61-44,,
1:16.0,,,61-44,,Defensive rebound by E. Moore
0:57.0,,,61-44,,T. Snell misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by K. Thompson,,61-44,,
0:39.0,S. Curry misses 2-pt shot from 21 ft,,61-44,,
0:38.0,,,61-44,,Defensive rebound by P. Gasol
0:30.0,,,61-44,,J. Butler misses 2-pt shot from 17 ft
0:27.0,Defensive rebound by D. Green,,61-44,,
0:23.0,A. Iguodala makes 2-pt shot at rim (assist by D. Green),2,63-44,,
0:00.0,,,63-44,,J. Butler misses 3-pt shot from 24 ft
0:00.0,,,63-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,K. Thompson misses 3-pt shot from 24 ft,,63-44,,
11:43.0,Offensive rebound by A. Bogut,,63-44,,
11:34.0,D. Green misses 3-pt shot from 24 ft,,63-44,,
11:33.0,,,63-44,,Defensive rebound by J. Butler
11:16.0,,,63-44,,P. Gasol misses 2-pt shot from 7 ft
11:14.0,Defensive rebound by A. Bogut,,63-44,,
10:53.0,D. Green misses 3-pt shot from 25 ft,,63-44,,
10:50.0,,,63-44,,Defensive rebound by T. Gibson
10:41.0,,,63-46,2,D. Rose makes 2-pt shot from 17 ft
10:13.0,K. Thompson makes 2-pt shot from 2 ft,2,65-46,,
9:50.0,,,65-48,2,J. Butler makes 2-pt shot from 14 ft
9:30.0,D. Green misses 2-pt shot from 1 ft,,65-48,,
9:29.0,,,65-48,,Defensive rebound by P. Gasol
9:20.0,,,65-48,,P. Gasol misses 2-pt shot from 1 ft
9:18.0,Defensive rebound by A. Bogut,,65-48,,
9:14.0,Golden State full timeout,,65-48,,
9:14.0,B. Rush enters the game for D. Green,,65-48,,
9:05.0,S. Curry misses 2-pt shot from 11 ft,,65-48,,
9:04.0,,,65-48,,Defensive rebound by P. Gasol
8:55.0,,,65-48,,Shooting foul by B. Rush (drawn by J. Butler)
8:55.0,,,65-49,1,J. Butler makes free throw 1 of 2
8:55.0,,,65-50,1,J. Butler makes free throw 2 of 2
8:40.0,K. Thompson misses 2-pt shot from 9 ft (block by T. Gibson),,65-50,,
8:38.0,,,65-50,,Defensive rebound by J. Butler
8:35.0,,,65-50,,Shooting foul by H. Barnes (drawn by J. Butler)
8:35.0,,,65-51,1,J. Butler makes free throw 1 of 2
8:35.0,,,65-51,,D. McDermott enters the game for T. Snell
8:35.0,,,65-52,1,J. Butler makes free throw 2 of 2
8:21.0,K. Thompson misses 2-pt shot from 13 ft,,65-52,,
8:20.0,,,65-52,,Defensive rebound by T. Gibson
8:11.0,,,65-52,,P. Gasol misses 2-pt shot from 18 ft
8:10.0,Defensive rebound by S. Curry,,65-52,,
8:04.0,S. Curry misses 2-pt shot from 2 ft (block by P. Gasol),,65-52,,
8:02.0,Offensive rebound by S. Curry,,65-52,,
8:01.0,S. Curry makes 2-pt shot from 8 ft,2,67-52,,
7:49.0,,,67-52,,D. Rose misses 2-pt shot from 11 ft
7:48.0,,,67-52,,Offensive rebound by J. Butler
7:48.0,,,67-54,2,J. Butler makes 2-pt shot at rim
7:24.0,H. Barnes misses 2-pt shot from 20 ft,,67-54,,
7:23.0,,,67-54,,Defensive rebound by D. Rose
7:11.0,,,67-54,,T. Gibson misses 2-pt shot at rim (block by A. Bogut)
7:09.0,Defensive rebound by H. Barnes,,67-54,,
6:58.0,,,67-54,,Violation by P. Gasol (kicked ball)
6:49.0,H. Barnes misses 3-pt shot from 23 ft,,67-54,,
6:48.0,Offensive rebound by A. Bogut,,67-54,,
6:35.0,S. Curry misses 3-pt shot from 26 ft,,67-54,,
6:34.0,Offensive rebound by H. Barnes,,67-54,,
6:34.0,Turnover by H. Barnes (bad pass),,67-54,,
6:13.0,,,67-56,2,J. Butler makes 2-pt shot from 11 ft
5:49.0,H. Barnes makes 2-pt shot from 12 ft,2,69-56,,
5:41.0,,,69-56,,J. Butler misses 2-pt shot from 1 ft (block by A. Bogut)
5:39.0,Defensive rebound by S. Curry,,69-56,,
5:26.0,K. Thompson makes 3-pt shot from 24 ft (assist by A. Bogut),3,72-56,,
5:26.0,,,72-56,,Chicago full timeout
5:26.0,,,72-56,,N. Mirotic enters the game for T. Gibson
5:26.0,,,72-56,,A. Brooks enters the game for D. Rose
5:26.0,A. Iguodala enters the game for B. Rush,,72-56,,
5:17.0,,,72-58,2,J. Butler makes 2-pt shot from 14 ft (assist by D. McDermott)
4:59.0,Shooting foul by P. Gasol (drawn by K. Thompson),,72-58,,
4:59.0,K. Thompson misses free throw 1 of 2,,72-58,,
4:59.0,Offensive rebound by Team,,72-58,,
4:59.0,,,72-58,,B. Portis enters the game for P. Gasol
4:59.0,K. Thompson makes free throw 2 of 2,1,73-58,,
4:38.0,,,73-58,,A. Brooks misses 2-pt shot from 9 ft
4:37.0,Defensive rebound by A. Iguodala,,73-58,,
4:28.0,Turnover by A. Bogut (bad pass),,73-58,,
4:18.0,,,73-58,,J. Butler misses 2-pt shot from 17 ft
4:17.0,Defensive rebound by A. Iguodala,,73-58,,
4:13.0,Turnover by A. Iguodala (lost ball; steal by A. Brooks),,73-58,,
4:11.0,,,73-58,,Shooting foul by A. Bogut (drawn by J. Butler)
4:11.0,,,73-58,,J. Butler misses free throw 1 of 2
4:11.0,,,73-58,,Offensive rebound by Team
4:11.0,F. Ezeli enters the game for A. Bogut,,73-58,,
4:11.0,L. Barbosa enters the game for K. Thompson,,73-58,,
4:11.0,,,73-59,1,J. Butler makes free throw 2 of 2
3:57.0,S. Curry misses 3-pt shot from 24 ft,,73-59,,
3:56.0,,,73-59,,Defensive rebound by D. McDermott
3:49.0,,,73-59,,A. Brooks misses 3-pt shot from 25 ft
3:48.0,Defensive rebound by A. Iguodala,,73-59,,
3:31.0,L. Barbosa misses 2-pt shot from 1 ft,,73-59,,
3:30.0,,,73-59,,Defensive rebound by N. Mirotic
