time,Milwaukee,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. G. Monroe (T. Young gains possession),,,,Jump ball: B. Lopez vs. G. Monroe (T. Young gains possession)
11:42.0,,,0-0,,M. Brown misses 3-pt shot from 22 ft
11:41.0,Defensive rebound by K. Middleton,,0-0,,
11:27.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by D. Sloan
11:11.0,,,0-2,2,T. Young makes 2-pt shot from 4 ft (assist by B. Bogdanovic)
10:51.0,G. Antetokounmpo makes 2-pt shot from 20 ft (assist by K. Middleton),2,2-2,,
10:29.0,,,2-2,,M. Brown misses 3-pt shot from 22 ft
10:28.0,Defensive rebound by G. Antetokounmpo,,2-2,,
10:23.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,2-2,,
10:22.0,,,2-2,,Defensive rebound by T. Young
10:13.0,,,2-2,,T. Young misses 2-pt shot from 8 ft
10:12.0,Defensive rebound by K. Middleton,,2-2,,
10:05.0,,,2-2,,Violation by M. Brown (kicked ball)
10:00.0,J. Parker makes 2-pt shot from 18 ft (assist by G. Antetokounmpo),2,4-2,,
9:39.0,,,4-2,,B. Bogdanovic misses 3-pt shot from 24 ft
9:38.0,Defensive rebound by J. Bayless,,4-2,,
9:32.0,J. Parker makes 2-pt shot at rim (assist by J. Bayless),2,6-2,,
9:09.0,,,6-2,,T. Young misses 2-pt shot from 16 ft
9:08.0,Defensive rebound by J. Parker,,6-2,,
8:58.0,J. Bayless misses 3-pt shot from 24 ft,,6-2,,
8:57.0,,,6-2,,Defensive rebound by T. Young
8:52.0,,,6-4,2,D. Sloan makes 2-pt shot from 2 ft (assist by T. Young)
8:35.0,J. Bayless makes 3-pt shot from 23 ft (assist by G. Monroe),3,9-4,,
8:21.0,,,9-4,,B. Lopez misses 2-pt shot from 19 ft
8:20.0,Defensive rebound by G. Antetokounmpo,,9-4,,
8:14.0,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo),2,11-4,,
8:07.0,,,11-4,,Brooklyn full timeout
7:58.0,,,11-4,,Turnover by B. Lopez (lost ball; steal by J. Bayless)
