time,Boston,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Sullinger (I. Thomas gains possession),,,,Jump ball: A. Drummond vs. J. Sullinger (I. Thomas gains possession)
11:44.0,J. Crowder makes 3-pt shot from 22 ft (assist by J. Sullinger),3,3-0,,
11:18.0,,,3-0,,E. Ilyasova misses 2-pt shot from 3 ft
11:17.0,Defensive rebound by J. Sullinger,,3-0,,
11:15.0,Offensive foul by A. Johnson,,3-0,,
11:15.0,Turnover by A. Johnson (offensive foul),,3-0,,
11:04.0,,,3-0,,E. Ilyasova misses 2-pt shot from 16 ft
11:03.0,Defensive rebound by J. Crowder,,3-0,,
10:42.0,J. Sullinger misses 2-pt shot from 18 ft,,3-0,,
10:41.0,,,3-0,,Defensive rebound by A. Drummond
10:31.0,,,3-0,,A. Drummond misses 2-pt shot from 4 ft
10:29.0,Defensive rebound by A. Bradley,,3-0,,
10:10.0,J. Crowder misses 3-pt shot from 26 ft,,3-0,,
10:09.0,,,3-0,,Defensive rebound by E. Ilyasova
10:02.0,,,3-2,2,R. Jackson makes 2-pt shot at rim
9:59.0,Turnover by A. Bradley (step out of bounds),,3-2,,
9:49.0,Personal foul by A. Bradley (drawn by K. Caldwell-Pope),,3-2,,
9:38.0,,,3-2,,E. Ilyasova misses 3-pt shot from 26 ft
9:38.0,Defensive rebound by J. Sullinger,,3-2,,
9:26.0,I. Thomas makes 2-pt shot at rim,2,5-2,,
9:12.0,,,5-2,,K. Caldwell-Pope misses 2-pt shot from 19 ft
9:11.0,Defensive rebound by J. Crowder,,5-2,,
9:01.0,A. Johnson misses 2-pt shot from 3 ft,,5-2,,
9:00.0,,,5-2,,Defensive rebound by E. Ilyasova
8:52.0,,,5-2,,E. Ilyasova misses 3-pt shot from 26 ft
8:51.0,Defensive rebound by A. Johnson,,5-2,,
8:37.0,A. Bradley makes 3-pt shot from 25 ft,3,8-2,,
8:19.0,,,8-4,2,M. Morris makes 2-pt shot at rim (assist by K. Caldwell-Pope)
8:04.0,A. Johnson makes 3-pt shot from 23 ft (assist by J. Crowder),3,11-4,,
7:46.0,,,11-4,,M. Morris misses 2-pt shot from 17 ft
7:45.0,Defensive rebound by I. Thomas,,11-4,,
7:34.0,I. Thomas misses 2-pt shot from 4 ft,,11-4,,
7:33.0,Offensive rebound by I. Thomas,,11-4,,
7:28.0,A. Bradley misses 3-pt shot from 25 ft,,11-4,,
7:27.0,,,11-4,,Defensive rebound by A. Drummond
7:17.0,,,11-4,,K. Caldwell-Pope misses 2-pt shot at rim
7:16.0,Defensive rebound by J. Sullinger,,11-4,,
7:08.0,Turnover by I. Thomas (bad pass),,11-4,,
6:48.0,,,11-7,3,M. Morris makes 3-pt shot from 26 ft (assist by A. Drummond)
6:28.0,Turnover by J. Sullinger (traveling),,11-7,,
6:13.0,,,11-9,2,R. Jackson makes 2-pt shot from 16 ft
6:02.0,A. Johnson misses 2-pt shot from 15 ft,,11-9,,
6:01.0,Offensive rebound by J. Sullinger,,11-9,,
6:00.0,Shooting foul by M. Morris (drawn by J. Sullinger),,11-9,,
6:00.0,J. Sullinger misses free throw 1 of 2,,11-9,,
6:00.0,Offensive rebound by Team,,11-9,,
6:00.0,J. Sullinger makes free throw 2 of 2,1,12-9,,
5:39.0,,,12-11,2,M. Morris makes 2-pt shot from 20 ft
5:25.0,I. Thomas misses 2-pt shot from 19 ft,,12-11,,
5:24.0,Offensive rebound by A. Johnson,,12-11,,
5:22.0,A. Johnson makes 2-pt shot at rim,2,14-11,,
5:03.0,,,14-11,,Offensive charge foul by R. Jackson
5:03.0,,,14-11,,Turnover by R. Jackson (offensive foul)
5:03.0,,,14-11,,Detroit full timeout
5:03.0,E. Turner enters the game for J. Crowder,,14-11,,
4:51.0,K. Olynyk enters the game for J. Sullinger,,14-11,,
4:40.0,A. Johnson makes 2-pt shot from 4 ft,2,16-11,,
4:23.0,,,16-14,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by R. Jackson)
4:06.0,A. Johnson misses 3-pt shot from 25 ft,,16-14,,
4:06.0,,,16-14,,Defensive rebound by R. Jackson
4:01.0,,,16-14,,Turnover by R. Jackson (bad pass; steal by A. Johnson)
3:50.0,I. Thomas makes 3-pt shot from 23 ft (assist by A. Bradley),3,19-14,,
3:22.0,,,19-16,2,A. Drummond makes 2-pt shot from 6 ft (assist by M. Morris)
3:06.0,A. Johnson makes 2-pt shot from 5 ft (assist by E. Turner),2,21-16,,
2:44.0,,,21-18,2,K. Caldwell-Pope makes 2-pt shot from 20 ft
2:26.0,E. Turner makes 2-pt shot at rim,2,23-18,,
2:09.0,,,23-18,,R. Jackson misses 3-pt shot from 24 ft
2:08.0,Defensive rebound by A. Johnson,,23-18,,
2:05.0,Offensive charge foul by A. Johnson,,23-18,,
2:05.0,Turnover by A. Johnson (offensive foul),,23-18,,
2:05.0,Boston full timeout,,23-18,,
