time,Chicago,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:41.0,T. Gibson misses 2-pt shot from 18 ft,,0-0,,
12:00.0,Jump ball: W. Cauley-Stein vs. P. Gasol (D. Rose gains possession),,,,Jump ball: W. Cauley-Stein vs. P. Gasol (D. Rose gains possession)
11:41.0,,,0-0,,Defensive rebound by R. Rondo
11:24.0,,,0-0,,D. Cousins misses 2-pt shot from 20 ft
11:23.0,Defensive rebound by T. Snell,,0-0,,
11:10.0,D. Rose misses 3-pt shot from 24 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by D. Cousins
10:51.0,,,0-2,2,M. Belinelli makes 2-pt shot from 15 ft (assist by R. Rondo)
10:31.0,E. Moore makes 2-pt shot from 20 ft,2,2-2,,
10:05.0,,,2-2,,D. Cousins misses 2-pt shot from 18 ft
10:05.0,Defensive rebound by P. Gasol,,2-2,,
10:01.0,Turnover by E. Moore (bad pass),,2-2,,
9:50.0,,,2-2,,W. Cauley-Stein misses 2-pt shot from 6 ft
9:49.0,,,2-2,,Offensive rebound by R. Gay
9:48.0,,,2-4,2,R. Gay makes 2-pt shot from 2 ft
9:40.0,E. Moore makes 2-pt shot from 8 ft (assist by D. Rose),2,4-4,,
9:20.0,,,4-4,,R. Gay misses 2-pt shot from 6 ft
9:18.0,Defensive rebound by T. Gibson,,4-4,,
9:14.0,Turnover by D. Rose (lost ball),,4-4,,
9:02.0,,,4-6,2,R. Rondo makes 2-pt shot from 2 ft
8:49.0,Turnover by P. Gasol (bad pass),,4-6,,
8:38.0,,,4-6,,R. Rondo misses 2-pt shot from 5 ft
8:37.0,,,4-6,,Offensive rebound by W. Cauley-Stein
8:34.0,,,4-6,,D. Cousins misses 2-pt shot from 7 ft
8:32.0,Defensive rebound by T. Snell,,4-6,,
8:16.0,E. Moore makes 3-pt shot from 23 ft (assist by P. Gasol),3,7-6,,
8:08.0,,,7-6,,W. Cauley-Stein misses 2-pt shot from 3 ft
8:07.0,Defensive rebound by P. Gasol,,7-6,,
7:54.0,T. Snell makes 3-pt shot from 24 ft (assist by P. Gasol),3,10-6,,
7:32.0,,,10-8,2,M. Belinelli makes 2-pt shot from 17 ft
7:17.0,T. Gibson misses 2-pt shot from 15 ft,,10-8,,
7:16.0,Offensive rebound by T. Gibson,,10-8,,
7:14.0,Turnover by T. Gibson (bad pass; steal by R. Gay),,10-8,,
7:09.0,,,10-8,,Turnover by M. Belinelli (bad pass; steal by D. Rose)
7:03.0,E. Moore makes 3-pt shot from 24 ft (assist by D. Rose),3,13-8,,
7:02.0,,,13-8,,Sacramento full timeout
7:02.0,,,13-8,,O. Casspi enters the game for R. Gay
6:49.0,,,13-8,,Turnover by M. Belinelli (bad pass; steal by P. Gasol)
6:46.0,Shooting foul by R. Rondo (drawn by D. Rose),,13-8,,
6:46.0,D. Rose makes free throw 1 of 2,1,14-8,,
6:46.0,D. Rose makes free throw 2 of 2,1,15-8,,
6:25.0,,,15-10,2,M. Belinelli makes 2-pt shot from 21 ft (assist by R. Rondo)
6:09.0,E. Moore makes 3-pt shot from 24 ft (assist by D. Rose),3,18-10,,
6:03.0,,,18-10,,Turnover by R. Rondo (lost ball)
5:49.0,D. Rose makes 2-pt shot from 8 ft,2,20-10,,
5:36.0,,,20-10,,M. Belinelli misses 3-pt shot from 24 ft
5:36.0,Defensive rebound by E. Moore,,20-10,,
5:25.0,T. Snell misses 3-pt shot from 23 ft,,20-10,,
5:24.0,,,20-10,,Defensive rebound by W. Cauley-Stein
5:19.0,Personal foul by P. Gasol (drawn by D. Cousins),,20-10,,
5:19.0,,,20-10,,D. Collison enters the game for W. Cauley-Stein
5:19.0,,,20-10,,K. Koufos enters the game for R. Rondo
5:19.0,B. Portis enters the game for T. Gibson,,20-10,,
5:19.0,D. McDermott enters the game for T. Snell,,20-10,,
5:04.0,,,20-10,,D. Cousins misses 2-pt shot from 2 ft
5:03.0,Defensive rebound by D. Rose,,20-10,,
4:58.0,B. Portis makes 2-pt shot from 1 ft (assist by D. Rose),2,22-10,,
4:41.0,,,22-12,2,D. Cousins makes 2-pt shot from 2 ft
4:23.0,B. Portis misses 2-pt shot from 12 ft,,22-12,,
4:23.0,,,22-12,,Defensive rebound by D. Cousins
4:17.0,,,22-12,,Offensive charge foul by D. Cousins
4:17.0,,,22-12,,Turnover by D. Cousins (offensive foul)
4:05.0,P. Gasol makes 2-pt shot from 15 ft (assist by D. Rose),2,24-12,,
3:50.0,,,24-14,2,D. Cousins makes 2-pt shot from 4 ft
3:37.0,P. Gasol makes 3-pt shot from 24 ft (assist by B. Portis),3,27-14,,
3:18.0,,,27-16,2,D. Cousins makes 2-pt shot from 15 ft
3:05.0,D. McDermott misses 2-pt shot from 19 ft,,27-16,,
3:05.0,,,27-16,,Defensive rebound by D. Cousins
2:52.0,,,27-18,2,D. Cousins makes 2-pt shot from 20 ft (assist by D. Collison)
2:50.0,Chicago full timeout,,27-18,,
2:50.0,,,27-18,,R. Gay enters the game for D. Cousins
2:50.0,,,27-18,,B. McLemore enters the game for M. Belinelli
2:39.0,,,27-18,,Personal foul by R. Gay (drawn by P. Gasol)
2:31.0,P. Gasol misses 2-pt shot from 7 ft (block by K. Koufos),,27-18,,
2:30.0,,,27-18,,Defensive rebound by B. McLemore
