time,Memphis,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Gasol (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. M. Gasol (R. Jackson gains possession)
11:42.0,,,0-0,,A. Drummond misses 2-pt shot from 2 ft
11:41.0,Defensive rebound by T. Allen,,0-0,,
11:17.0,M. Gasol makes 2-pt shot from 13 ft,2,2-0,,
10:54.0,,,2-2,2,M. Morris makes 2-pt shot from 15 ft
10:31.0,Z. Randolph misses 2-pt shot from 18 ft,,2-2,,
10:31.0,,,2-2,,Defensive rebound by E. Ilyasova
10:30.0,Personal foul by Z. Randolph (drawn by E. Ilyasova),,2-2,,
10:18.0,,,2-2,,Turnover by A. Drummond (lost ball; steal by T. Allen)
10:03.0,M. Conley misses 2-pt shot from 14 ft,,2-2,,
10:02.0,,,2-2,,Defensive rebound by E. Ilyasova
9:43.0,,,2-2,,M. Morris misses 2-pt shot from 1 ft
9:43.0,Defensive rebound by M. Gasol,,2-2,,
9:22.0,M. Gasol makes 2-pt shot from 14 ft (assist by M. Conley),2,4-2,,
9:01.0,Personal foul by Z. Randolph (drawn by R. Jackson),,4-2,,
8:50.0,,,4-2,,R. Jackson misses 2-pt shot from 21 ft
8:50.0,Defensive rebound by Z. Randolph,,4-2,,
8:46.0,,,4-2,,Personal foul by E. Ilyasova (drawn by Z. Randolph)
8:28.0,M. Gasol makes 2-pt shot at rim (assist by M. Conley),2,6-2,,
8:10.0,,,6-4,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by E. Ilyasova)
7:47.0,M. Gasol misses 2-pt shot from 15 ft,,6-4,,
7:47.0,Offensive rebound by Z. Randolph,,6-4,,
7:43.0,Z. Randolph makes 2-pt shot at rim,2,8-4,,
7:34.0,,,8-4,,E. Ilyasova misses 3-pt shot from 26 ft
7:33.0,Defensive rebound by M. Gasol,,8-4,,
7:22.0,M. Gasol misses 2-pt shot from 4 ft,,8-4,,
7:22.0,,,8-4,,Defensive rebound by A. Drummond
7:13.0,,,8-6,2,E. Ilyasova makes 2-pt shot from 21 ft (assist by R. Jackson)
6:48.0,M. Gasol misses 2-pt shot from 16 ft,,8-6,,
6:46.0,,,8-6,,Defensive rebound by E. Ilyasova
6:39.0,,,8-6,,Turnover by A. Drummond (lost ball; steal by M. Gasol)
6:35.0,J. Green makes 2-pt shot at rim (assist by M. Conley),2,10-6,,
6:18.0,,,10-6,,R. Jackson misses 3-pt shot from 24 ft
6:17.0,Defensive rebound by J. Green,,10-6,,
6:12.0,Turnover by J. Green (bad pass; steal by R. Jackson),,10-6,,
6:06.0,,,10-6,,K. Caldwell-Pope misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by Z. Randolph,,10-6,,
5:50.0,T. Allen misses 3-pt shot from 24 ft,,10-6,,
5:49.0,,,10-6,,Defensive rebound by A. Drummond
5:40.0,,,10-9,3,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson)
5:18.0,J. Green makes 2-pt shot from 14 ft (assist by T. Allen),2,12-9,,
5:01.0,,,12-9,,K. Caldwell-Pope misses 2-pt shot from 18 ft
5:01.0,Defensive rebound by M. Gasol,,12-9,,
4:44.0,Z. Randolph misses 2-pt shot from 4 ft,,12-9,,
4:43.0,,,12-9,,Defensive rebound by A. Drummond
4:30.0,,,12-9,,Turnover by A. Drummond (traveling)
4:30.0,,,12-9,,Detroit full timeout
4:30.0,J. Green enters the game for M. Gasol,,12-9,,
4:30.0,M. Chalmers enters the game for M. Conley,,12-9,,
4:13.0,J. Green makes 2-pt shot from 13 ft,2,14-9,,
3:59.0,,,14-9,,M. Morris misses 2-pt shot from 7 ft
3:59.0,,,14-9,,Offensive rebound by M. Morris
3:59.0,,,14-9,,Detroit full timeout
3:47.0,,,14-11,2,R. Jackson makes 2-pt shot from 5 ft
3:22.0,J. Green makes 2-pt shot from 3 ft,2,16-11,,
3:08.0,,,16-11,,R. Jackson misses 3-pt shot from 26 ft
3:08.0,,,16-11,,Offensive rebound by A. Drummond
3:06.0,,,16-13,2,A. Drummond makes 2-pt shot at rim
2:53.0,M. Chalmers misses 3-pt shot from 26 ft,,16-13,,
2:52.0,,,16-13,,Defensive rebound by A. Drummond
2:37.0,,,16-13,,K. Caldwell-Pope misses 3-pt shot from 22 ft
2:37.0,Defensive rebound by J. Green,,16-13,,
2:22.0,Z. Randolph makes 2-pt shot from 16 ft (assist by J. Green),2,18-13,,
2:08.0,,,18-13,,A. Drummond misses 2-pt shot from 4 ft
2:07.0,Defensive rebound by J. Green,,18-13,,
1:55.0,T. Allen makes 2-pt shot at rim,2,20-13,,
1:38.0,,,20-13,,R. Jackson misses 2-pt shot from 21 ft
1:37.0,Defensive rebound by T. Allen,,20-13,,
1:25.0,T. Allen makes 2-pt shot at rim (assist by J. Green),2,22-13,,
1:09.0,,,22-13,,E. Ilyasova misses 3-pt shot from 26 ft
1:08.0,Defensive rebound by T. Allen,,22-13,,
0:54.0,Turnover by M. Chalmers (step out of bounds),,22-13,,
0:54.0,Memphis full timeout,,22-13,,
0:54.0,M. Gasol enters the game for Z. Randolph,,22-13,,
0:54.0,C. Lee enters the game for T. Allen,,22-13,,
0:54.0,,,22-13,,A. Tolliver enters the game for E. Ilyasova
0:54.0,,,22-13,,S. Blake enters the game for K. Caldwell-Pope
0:54.0,,,22-13,,S. Johnson enters the game for R. Jackson
0:41.0,,,22-15,2,M. Morris makes 2-pt shot from 16 ft (assist by S. Blake)
0:23.0,C. Lee makes 2-pt shot from 15 ft (assist by M. Gasol),2,24-15,,
0:08.0,,,24-17,2,S. Johnson makes 2-pt shot from 17 ft (assist by A. Drummond)
0:01.0,M. Chalmers misses 2-pt shot from 6 ft,,24-17,,
0:00.0,Offensive rebound by Team,,24-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,M. Chalmers makes 2-pt shot from 16 ft (assist by M. Gasol),2,26-17,,
11:25.0,,,26-19,2,S. Johnson makes 2-pt shot at rim (assist by A. Baynes)
11:04.0,J. Green misses 2-pt shot from 17 ft,,26-19,,
11:04.0,,,26-19,,Defensive rebound by A. Baynes
10:53.0,,,26-19,,S. Johnson misses 3-pt shot from 26 ft
10:53.0,Defensive rebound by M. Gasol,,26-19,,
10:48.0,,,26-19,,Personal foul by S. Blake (drawn by M. Chalmers)
10:48.0,M. Conley enters the game for M. Chalmers,,26-19,,
10:35.0,C. Lee makes 2-pt shot from 16 ft,2,28-19,,
10:09.0,,,28-21,2,A. Baynes makes 2-pt shot from 9 ft (assist by D. Hilliard)
9:58.0,Turnover by M. Gasol (bad pass),,28-21,,
9:41.0,,,28-21,,Shooting foul by M. Gasol (drawn by A. Baynes)
9:41.0,,,28-22,1,A. Baynes makes free throw 1 of 2
9:41.0,,,28-23,1,A. Baynes makes free throw 2 of 2
9:18.0,M. Conley misses 3-pt shot from 25 ft,,28-23,,
9:17.0,,,28-23,,Defensive rebound by A. Baynes
9:06.0,,,28-25,2,S. Blake makes 2-pt shot at rim
9:03.0,Memphis full timeout,,28-25,,
8:45.0,J. Green misses 2-pt shot from 1 ft,,28-25,,
8:44.0,,,28-25,,Defensive rebound by D. Hilliard
8:32.0,,,28-25,,A. Tolliver misses 3-pt shot from 26 ft
8:31.0,Defensive rebound by C. Lee,,28-25,,
8:16.0,M. Conley misses 2-pt shot from 6 ft,,28-25,,
8:15.0,Offensive rebound by M. Gasol,,28-25,,
8:07.0,M. Gasol makes 2-pt shot from 5 ft,2,30-25,,
7:49.0,,,30-28,3,S. Blake makes 3-pt shot from 25 ft (assist by A. Tolliver)
7:36.0,M. Gasol misses 2-pt shot from 18 ft,,30-28,,
7:36.0,,,30-28,,Defensive rebound by S. Johnson
7:32.0,,,30-28,,Offensive charge foul by S. Johnson
7:32.0,,,30-28,,Turnover by S. Johnson (offensive foul)
7:32.0,J. Green enters the game for J. Green,,30-28,,
7:25.0,Turnover by J. Green (traveling),,30-28,,
7:06.0,,,30-28,,S. Johnson misses 2-pt shot from 19 ft
7:06.0,Defensive rebound by J. Green,,30-28,,
6:55.0,Turnover by M. Gasol (lost ball),,30-28,,
6:55.0,Violation by Team (delay of game),,30-28,,
6:39.0,,,30-28,,A. Baynes misses 2-pt shot from 5 ft (block by M. Gasol)
6:39.0,Defensive rebound by Team,,30-28,,
6:20.0,C. Lee makes 2-pt shot at rim (assist by M. Conley),2,32-28,,
6:02.0,,,32-31,3,D. Hilliard makes 3-pt shot from 27 ft (assist by A. Baynes)
5:50.0,M. Conley misses 2-pt shot from 3 ft (block by A. Baynes),,32-31,,
5:47.0,Offensive rebound by M. Conley,,32-31,,
5:43.0,M. Conley makes 3-pt shot from 22 ft,3,35-31,,
5:25.0,,,35-31,,A. Baynes misses 2-pt shot from 15 ft
5:24.0,Defensive rebound by M. Gasol,,35-31,,
5:14.0,C. Lee makes 3-pt shot from 26 ft (assist by M. Gasol),3,38-31,,
5:09.0,,,38-31,,Detroit full timeout
5:09.0,,,38-31,,R. Jackson enters the game for S. Blake
5:09.0,,,38-31,,A. Drummond enters the game for A. Baynes
5:09.0,,,38-31,,K. Caldwell-Pope enters the game for D. Hilliard
4:58.0,,,38-31,,R. Jackson misses 2-pt shot from 2 ft
4:57.0,Defensive rebound by M. Gasol,,38-31,,
4:34.0,M. Conley misses 3-pt shot from 26 ft,,38-31,,
4:33.0,,,38-31,,Defensive rebound by A. Drummond
4:11.0,,,38-33,2,R. Jackson makes 2-pt shot from 7 ft
4:11.0,,,38-33,,Shooting foul by J. Green (drawn by R. Jackson)
4:11.0,,,38-33,,E. Ilyasova enters the game for S. Johnson
4:11.0,,,38-33,,M. Morris enters the game for A. Tolliver
4:11.0,Z. Randolph enters the game for M. Gasol,,38-33,,
4:11.0,,,38-34,1,R. Jackson makes free throw 1 of 1
3:52.0,J. Green misses 2-pt shot from 17 ft,,38-34,,
3:51.0,,,38-34,,Defensive rebound by E. Ilyasova
3:44.0,,,38-37,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by R. Jackson)
3:22.0,M. Conley makes 2-pt shot at rim (assist by J. Green),2,40-37,,
3:22.0,Shooting foul by R. Jackson (drawn by M. Conley),,40-37,,
3:22.0,M. Conley makes free throw 1 of 1,1,41-37,,
3:09.0,,,41-37,,R. Jackson misses 2-pt shot from 6 ft
3:08.0,,,41-37,,Offensive rebound by E. Ilyasova
3:07.0,,,41-37,,E. Ilyasova misses 2-pt shot at rim
3:06.0,,,41-37,,Offensive rebound by A. Drummond
3:04.0,,,41-39,2,A. Drummond makes 2-pt shot at rim
2:45.0,M. Barnes misses 3-pt shot from 25 ft,,41-39,,
2:45.0,,,41-39,,Defensive rebound by A. Drummond
2:36.0,,,41-39,,Turnover by E. Ilyasova (lost ball)
2:36.0,Official timeout,,41-39,,
2:36.0,M. Chalmers enters the game for M. Conley,,41-39,,
2:19.0,Z. Randolph makes 2-pt shot from 13 ft (assist by M. Chalmers),2,43-39,,
1:55.0,,,43-39,,A. Drummond misses 2-pt shot from 5 ft
1:52.0,Defensive rebound by Z. Randolph,,43-39,,
1:40.0,J. Green misses 3-pt shot from 27 ft,,43-39,,
1:40.0,,,43-39,,Defensive rebound by K. Caldwell-Pope
1:32.0,,,43-42,3,K. Caldwell-Pope makes 3-pt shot from 26 ft
1:03.0,M. Barnes misses 2-pt shot from 4 ft (block by A. Drummond),,43-42,,
1:01.0,,,43-42,,Defensive rebound by R. Jackson
0:59.0,,,43-42,,R. Jackson misses 2-pt shot from 7 ft (block by M. Chalmers)
0:55.0,,,43-42,,Offensive rebound by A. Drummond
0:55.0,,,43-44,2,A. Drummond makes 2-pt shot at rim
0:52.0,Turnover by M. Barnes (bad pass; steal by R. Jackson),,43-44,,
0:48.0,,,43-44,,Turnover by R. Jackson (bad pass; steal by J. Green)
0:46.0,Turnover by M. Barnes (bad pass; steal by K. Caldwell-Pope),,43-44,,
0:39.0,,,43-44,,M. Morris misses 2-pt shot from 4 ft
0:38.0,Defensive rebound by M. Barnes,,43-44,,
0:37.0,Memphis full timeout,,43-44,,
0:32.0,Turnover by Z. Randolph (lost ball; steal by A. Drummond),,43-44,,
0:29.0,,,43-44,,Shooting foul by C. Lee (drawn by A. Drummond)
0:29.0,,,43-44,,A. Drummond misses free throw 1 of 2
0:29.0,,,43-44,,Offensive rebound by Team
0:29.0,M. Conley enters the game for M. Barnes,,43-44,,
0:29.0,,,43-44,,S. Johnson enters the game for E. Ilyasova
0:29.0,,,43-45,1,A. Drummond makes free throw 2 of 2
0:08.0,M. Chalmers misses 2-pt shot from 5 ft (block by A. Drummond),,43-45,,
0:07.0,,,43-45,,Defensive rebound by S. Johnson
0:04.0,Personal foul by M. Chalmers (drawn by M. Morris),,43-45,,
0:04.0,,,43-46,1,M. Morris makes free throw 1 of 2
0:04.0,J. Green enters the game for M. Chalmers,,43-46,,
0:04.0,,,43-46,,E. Ilyasova enters the game for S. Johnson
0:04.0,,,43-47,1,M. Morris makes free throw 2 of 2
