time,Oklahoma City,pts.away,score,pts.home,Minnesota
2:46.0,,,20-22,,N. Bjelica enters the game for K. Towns
2:46.0,R. Westbrook makes free throw 1 of 2,1,21-22,,
2:46.0,R. Westbrook makes free throw 2 of 2,1,22-22,,
2:33.0,,,22-24,2,S. Muhammad makes 2-pt shot from 6 ft (assist by A. Wiggins)
2:21.0,K. Durant makes 2-pt shot from 15 ft (assist by R. Westbrook),2,24-24,,
2:03.0,,,24-24,,Shooting foul by K. Durant (drawn by A. Wiggins)
2:03.0,,,24-25,1,A. Wiggins makes free throw 1 of 2
2:03.0,K. Singler enters the game for K. Durant,,24-25,,
2:03.0,C. Payne enters the game for R. Westbrook,,24-25,,
2:03.0,,,24-26,1,A. Wiggins makes free throw 2 of 2
1:49.0,E. Kanter misses 2-pt shot from 17 ft,,24-26,,
1:48.0,,,24-26,,Defensive rebound by N. Bjelica
1:30.0,,,24-26,,Shooting foul by K. Singler (drawn by N. Pekovic)
1:30.0,,,24-26,,N. Pekovic misses free throw 1 of 2
1:30.0,,,24-26,,Offensive rebound by Team
1:30.0,,,24-26,,T. Prince enters the game for A. Wiggins
1:30.0,,,24-27,1,N. Pekovic makes free throw 2 of 2
1:17.0,D. Waiters misses 2-pt shot from 9 ft,,24-27,,
1:16.0,Offensive rebound by E. Kanter,,24-27,,
1:15.0,E. Kanter makes 2-pt shot from 1 ft,2,26-27,,
1:03.0,,,26-27,,T. Prince misses 2-pt shot from 1 ft
1:01.0,Defensive rebound by K. Singler,,26-27,,
0:44.0,C. Payne misses 3-pt shot from 23 ft,,26-27,,
0:42.0,Offensive rebound by N. Collison,,26-27,,
0:31.0,D. Waiters misses 2-pt shot from 4 ft,,26-27,,
0:29.0,,,26-27,,Defensive rebound by T. Prince
0:14.0,Personal foul by C. Payne (drawn by Z. LaVine),,26-27,,
0:14.0,,,26-28,1,Z. LaVine makes free throw 1 of 2
0:14.0,A. Morrow enters the game for D. Waiters,,26-28,,
0:14.0,,,26-28,,Z. LaVine misses free throw 2 of 2
0:12.0,Defensive rebound by K. Singler,,26-28,,
0:00.0,A. Morrow makes 2-pt shot from 16 ft,2,28-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
