time,Portland,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. J. Valanciunas (L. Scola gains possession),,,,Jump ball: M. Plumlee vs. J. Valanciunas (L. Scola gains possession)
11:43.0,,,0-0,,D. DeRozan misses 2-pt shot from 17 ft
11:43.0,Defensive rebound by N. Vonleh,,0-0,,
11:33.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,2-0,,
11:09.0,,,2-2,2,K. Lowry makes 2-pt shot from 9 ft
10:58.0,,,2-2,,Personal foul by J. Valanciunas (drawn by M. Plumlee)
10:48.0,C. McCollum makes 3-pt shot from 24 ft (assist by N. Vonleh),3,5-2,,
10:26.0,,,5-2,,Turnover by L. Scola (bad pass)
10:05.0,A. Aminu misses 2-pt shot from 7 ft,,5-2,,
10:05.0,,,5-2,,Defensive rebound by N. Powell
9:54.0,,,5-2,,Shooting foul by M. Plumlee (drawn by J. Valanciunas)
9:54.0,Violation by Team (delay of game),,5-2,,
9:54.0,,,5-3,1,J. Valanciunas makes free throw 1 of 2
9:54.0,,,5-4,1,J. Valanciunas makes free throw 2 of 2
9:38.0,Turnover by D. Lillard (lost ball; steal by L. Scola),,5-4,,
9:32.0,,,5-7,3,K. Lowry makes 3-pt shot from 25 ft (assist by N. Powell)
9:21.0,,,5-7,,Personal foul by L. Scola (drawn by N. Vonleh)
9:18.0,D. Lillard misses 3-pt shot from 26 ft,,5-7,,
9:17.0,,,5-7,,Defensive rebound by J. Valanciunas
9:06.0,,,5-7,,D. DeRozan misses 2-pt shot from 13 ft
9:05.0,Defensive rebound by M. Plumlee,,5-7,,
8:56.0,,,5-7,,Personal foul by N. Powell (drawn by C. McCollum)
8:46.0,Turnover by M. Plumlee (bad pass),,5-7,,
8:27.0,,,5-9,2,J. Valanciunas makes 2-pt shot from 1 ft
8:04.0,,,5-9,,Personal foul by L. Scola (drawn by M. Plumlee)
7:59.0,C. McCollum makes 2-pt shot from 18 ft,2,7-9,,
7:45.0,,,7-9,,Turnover by D. DeRozan (bad pass)
7:35.0,M. Plumlee misses 2-pt shot from 2 ft,,7-9,,
7:34.0,,,7-9,,Defensive rebound by Team
7:34.0,Loose ball foul by M. Plumlee (drawn by L. Scola),,7-9,,
7:34.0,M. Leonard enters the game for M. Plumlee,,7-9,,
7:21.0,Personal foul by N. Vonleh (drawn by L. Scola),,7-9,,
7:15.0,Personal foul by N. Vonleh (drawn by L. Scola),,7-9,,
7:05.0,,,7-9,,N. Powell misses 3-pt shot from 26 ft
7:05.0,Defensive rebound by N. Vonleh,,7-9,,
6:50.0,N. Vonleh makes 2-pt shot from 2 ft,2,9-9,,
6:50.0,Shooting foul by J. Valanciunas (drawn by N. Vonleh),,9-9,,
6:50.0,,,9-9,,B. Biyombo enters the game for J. Valanciunas
6:50.0,N. Vonleh makes free throw 1 of 1,1,10-9,,
6:32.0,,,10-11,2,D. DeRozan makes 2-pt shot from 4 ft
6:32.0,,,10-11,,Shooting foul by M. Leonard (drawn by D. DeRozan)
6:32.0,,,10-11,,P. Patterson enters the game for L. Scola
6:32.0,,,10-12,1,D. DeRozan makes free throw 1 of 1
6:20.0,D. Lillard makes 2-pt shot from 5 ft,2,12-12,,
6:02.0,,,12-14,2,D. DeRozan makes 2-pt shot from 4 ft
5:55.0,Shooting foul by N. Powell (drawn by D. Lillard),,12-14,,
5:55.0,,,12-14,,Toronto full timeout
5:55.0,,,12-14,,T. Ross enters the game for N. Powell
5:55.0,E. Davis enters the game for N. Vonleh,,12-14,,
5:55.0,A. Crabbe enters the game for C. McCollum,,12-14,,
5:55.0,D. Lillard makes free throw 1 of 2,1,13-14,,
5:55.0,D. Lillard makes free throw 2 of 2,1,14-14,,
5:44.0,,,14-14,,Shooting foul by A. Aminu (drawn by D. DeRozan)
5:44.0,,,14-15,1,D. DeRozan makes free throw 1 of 2
5:44.0,,,14-16,1,D. DeRozan makes free throw 2 of 2
5:31.0,A. Crabbe makes 2-pt shot from 2 ft (assist by D. Lillard),2,16-16,,
5:17.0,,,16-16,,D. DeRozan misses 2-pt shot from 4 ft
5:17.0,Defensive rebound by E. Davis,,16-16,,
5:09.0,Turnover by D. Lillard (bad pass),,16-16,,
4:59.0,,,16-18,2,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry)
4:39.0,A. Aminu misses 2-pt shot from 1 ft (block by B. Biyombo),,16-18,,
4:38.0,Offensive rebound by Team,,16-18,,
4:38.0,G. Henderson enters the game for A. Aminu,,16-18,,
4:33.0,G. Henderson misses 2-pt shot from 12 ft,,16-18,,
4:33.0,,,16-18,,Defensive rebound by B. Biyombo
