time,LA Clippers,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Jordan (C. Paul gains possession),,,,Jump ball: A. Bogut vs. D. Jordan (C. Paul gains possession)
11:33.0,C. Paul misses 2-pt shot from 17 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by D. Green
11:16.0,,,0-0,,K. Thompson misses 2-pt shot from 18 ft
11:14.0,Defensive rebound by P. Pierce,,0-0,,
11:09.0,Turnover by C. Paul (lost ball; steal by K. Thompson),,0-0,,
11:03.0,,,0-0,,Shooting foul by P. Pierce (drawn by H. Barnes)
11:03.0,,,0-1,1,H. Barnes makes free throw 1 of 2
11:03.0,,,0-1,,H. Barnes misses free throw 2 of 2
11:02.0,Defensive rebound by D. Jordan,,0-1,,
10:39.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by C. Paul),2,2-1,,
10:19.0,,,2-1,,H. Barnes misses 2-pt shot from 2 ft
10:18.0,Defensive rebound by C. Paul,,2-1,,
10:11.0,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul),3,5-1,,
10:02.0,Personal foul by L. Mbah a Moute,,5-1,,
9:52.0,,,5-1,,K. Thompson misses 2-pt shot from 11 ft
9:51.0,Defensive rebound by P. Pierce,,5-1,,
9:42.0,C. Paul misses 3-pt shot from 26 ft,,5-1,,
9:41.0,Offensive rebound by P. Pierce,,5-1,,
9:27.0,Shooting foul by A. Bogut (drawn by D. Jordan),,5-1,,
9:27.0,D. Jordan misses free throw 1 of 2,,5-1,,
9:27.0,Offensive rebound by Team,,5-1,,
9:27.0,D. Jordan makes free throw 2 of 2,1,6-1,,
9:09.0,,,6-3,2,K. Thompson makes 2-pt shot from 17 ft (assist by A. Bogut)
8:51.0,Turnover by P. Pierce (lost ball; steal by S. Curry),,6-3,,
8:45.0,,,6-5,2,S. Curry makes 2-pt shot from 1 ft
8:21.0,C. Paul makes 2-pt shot from 19 ft,2,8-5,,
8:12.0,,,8-5,,Turnover by K. Thompson (lost ball; steal by P. Pierce)
8:08.0,,,8-5,,Personal foul by D. Green
8:00.0,J. Redick misses 2-pt shot from 22 ft,,8-5,,
8:00.0,Offensive rebound by J. Redick,,8-5,,
7:56.0,J. Redick misses 2-pt shot from 12 ft,,8-5,,
7:55.0,,,8-5,,Defensive rebound by H. Barnes
7:43.0,,,8-5,,D. Green misses 3-pt shot from 25 ft
7:43.0,Defensive rebound by J. Redick,,8-5,,
7:36.0,,,8-5,,Personal foul by S. Curry
7:29.0,D. Jordan misses 2-pt shot from 2 ft (block by A. Bogut),,8-5,,
7:28.0,,,8-5,,Defensive rebound by D. Green
7:22.0,,,8-7,2,D. Green makes 2-pt shot from 2 ft
7:09.0,J. Redick misses 3-pt shot from 25 ft,,8-7,,
7:08.0,,,8-7,,Defensive rebound by A. Bogut
6:57.0,,,8-9,2,H. Barnes makes 2-pt shot from 2 ft (assist by K. Thompson)
6:43.0,J. Redick misses 3-pt shot from 24 ft,,8-9,,
6:43.0,,,8-9,,Defensive rebound by D. Green
6:40.0,,,8-9,,Shooting foul by L. Mbah a Moute (drawn by D. Green)
6:40.0,,,8-10,1,D. Green makes free throw 1 of 2
6:40.0,J. Green enters the game for P. Pierce,,8-10,,
6:40.0,W. Johnson enters the game for L. Mbah a Moute,,8-10,,
6:40.0,,,8-10,,D. Green misses free throw 2 of 2
6:39.0,Defensive rebound by D. Jordan,,8-10,,
6:28.0,C. Paul misses 2-pt shot from 1 ft (block by A. Bogut),,8-10,,
6:28.0,,,8-10,,Defensive rebound by D. Green
6:22.0,,,8-10,,S. Curry misses 3-pt shot from 27 ft
6:20.0,Defensive rebound by D. Jordan,,8-10,,
6:11.0,J. Green misses 3-pt shot from 23 ft,,8-10,,
6:11.0,,,8-10,,Defensive rebound by S. Curry
6:07.0,Personal foul by C. Paul,,8-10,,
5:58.0,,,8-10,,D. Green misses 2-pt shot from 2 ft (block by D. Jordan)
5:57.0,Defensive rebound by D. Jordan,,8-10,,
5:51.0,W. Johnson makes 2-pt shot from 1 ft (assist by D. Jordan),2,10-10,,
5:42.0,,,10-10,,S. Curry misses 2-pt shot from 18 ft
5:41.0,Defensive rebound by J. Green,,10-10,,
5:31.0,J. Green makes 2-pt shot from 1 ft (assist by C. Paul),2,12-10,,
5:11.0,,,12-10,,H. Barnes misses 2-pt shot from 22 ft
5:09.0,,,12-10,,Offensive rebound by A. Bogut
5:05.0,,,12-13,3,S. Curry makes 3-pt shot from 23 ft (assist by A. Bogut)
4:50.0,LA Clippers full timeout,,12-13,,
4:50.0,J. Crawford enters the game for J. Redick,,12-13,,
4:50.0,,,12-13,,M. Speights enters the game for A. Bogut
4:50.0,,,12-13,,L. Barbosa enters the game for K. Thompson
4:37.0,J. Green makes 3-pt shot from 24 ft (assist by C. Paul),3,15-13,,
4:27.0,,,15-13,,Turnover by D. Green (bad pass)
4:05.0,C. Paul misses 3-pt shot from 31 ft,,15-13,,
4:04.0,,,15-13,,Defensive rebound by S. Curry
3:55.0,,,15-13,,H. Barnes misses 2-pt shot from 5 ft
3:52.0,Defensive rebound by C. Paul,,15-13,,
3:45.0,J. Green makes 2-pt shot from 2 ft,2,17-13,,
3:30.0,,,17-16,3,L. Barbosa makes 3-pt shot from 27 ft (assist by M. Speights)
3:15.0,J. Crawford makes 2-pt shot from 15 ft,2,19-16,,
2:58.0,,,19-16,,M. Speights misses 3-pt shot from 27 ft
2:57.0,Defensive rebound by D. Jordan,,19-16,,
2:43.0,Shooting foul by M. Speights (drawn by J. Green),,19-16,,
2:43.0,,,19-16,,Golden State full timeout
