time,Milwaukee,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Hilario vs. G. Monroe (K. Middleton gains possession),,,,Jump ball: N. Hilario vs. G. Monroe (K. Middleton gains possession)
11:44.0,Turnover by K. Middleton (lost ball; steal by G. Temple),,0-0,,
11:37.0,,,0-2,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Wall)
11:18.0,G. Antetokounmpo misses 2-pt shot at rim,,0-2,,
11:17.0,,,0-2,,Defensive rebound by J. Dudley
11:04.0,,,0-2,,O. Porter misses 2-pt shot from 7 ft
11:03.0,Defensive rebound by J. Parker,,0-2,,
10:47.0,Turnover by G. Monroe (lost ball; steal by N. Hilario),,0-2,,
10:27.0,,,0-2,,J. Wall misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by M. Carter-Williams,,0-2,,
10:22.0,K. Middleton makes 2-pt shot at rim (assist by M. Carter-Williams),2,2-2,,
10:05.0,,,2-2,,Turnover by N. Hilario (lost ball; steal by G. Monroe)
10:01.0,Shooting foul by O. Porter (drawn by J. Parker),,2-2,,
10:01.0,J. Parker misses free throw 1 of 2,,2-2,,
10:01.0,Offensive rebound by Team,,2-2,,
10:01.0,J. Parker makes free throw 2 of 2,1,3-2,,
9:46.0,,,3-4,2,N. Hilario makes 2-pt shot from 7 ft (assist by G. Temple)
9:24.0,G. Monroe makes 2-pt shot from 11 ft (assist by G. Antetokounmpo),2,5-4,,
9:04.0,,,5-4,,G. Temple misses 3-pt shot from 26 ft
9:03.0,Defensive rebound by M. Carter-Williams,,5-4,,
8:42.0,K. Middleton misses 2-pt shot from 19 ft,,5-4,,
8:41.0,,,5-4,,Defensive rebound by J. Wall
8:36.0,,,5-4,,J. Wall misses 2-pt shot at rim
8:34.0,,,5-4,,Offensive rebound by J. Dudley
8:29.0,,,5-7,3,G. Temple makes 3-pt shot from 24 ft (assist by J. Wall)
8:04.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,7-7,,
7:42.0,,,7-9,2,O. Porter makes 2-pt shot from 5 ft (assist by J. Wall)
7:26.0,Turnover by G. Antetokounmpo (bad pass; steal by G. Temple),,7-9,,
7:20.0,,,7-12,3,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall)
7:06.0,K. Middleton misses 3-pt shot from 24 ft,,7-12,,
7:05.0,,,7-12,,Defensive rebound by Team
7:05.0,,,7-12,,D. Gooden enters the game for N. Hilario
