time,Philadelphia,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. N. Noel (M. Turner gains possession),,,,Jump ball: I. Mahinmi vs. N. Noel (M. Turner gains possession)
11:34.0,,,0-0,,I. Mahinmi misses 2-pt shot from 2 ft
11:33.0,,,0-0,,Offensive rebound by G. Hill
11:33.0,,,0-2,2,G. Hill makes 2-pt shot at rim
11:16.0,H. Thompson misses 3-pt shot from 23 ft,,0-2,,
11:15.0,,,0-2,,Defensive rebound by G. Hill
11:10.0,,,0-2,,G. Hill misses 3-pt shot from 26 ft
11:09.0,Defensive rebound by H. Thompson,,0-2,,
10:54.0,I. Canaan makes 2-pt shot from 1 ft,2,2-2,,
10:41.0,,,2-2,,M. Turner misses 2-pt shot from 11 ft
10:40.0,Defensive rebound by N. Noel,,2-2,,
10:21.0,Turnover by I. Canaan (lost ball; steal by M. Ellis),,2-2,,
10:08.0,,,2-4,2,P. George makes 2-pt shot at rim
9:55.0,I. Canaan misses 2-pt shot from 17 ft,,2-4,,
9:54.0,,,2-4,,Defensive rebound by P. George
9:47.0,,,2-4,,P. George misses 3-pt shot from 26 ft
9:46.0,Defensive rebound by N. Noel,,2-4,,
9:33.0,H. Thompson makes 2-pt shot from 1 ft,2,4-4,,
9:19.0,,,4-6,2,I. Mahinmi makes 2-pt shot at rim (assist by P. George)
9:07.0,N. Noel makes 2-pt shot from 20 ft (assist by J. Grant),2,6-6,,
8:52.0,,,6-8,2,I. Mahinmi makes 2-pt shot from 1 ft
8:37.0,N. Noel makes 2-pt shot from 8 ft (assist by H. Thompson),2,8-8,,
8:21.0,,,8-8,,Turnover by M. Turner (3 sec)
8:21.0,E. Brand enters the game for N. Noel,,8-8,,
8:08.0,H. Thompson misses 2-pt shot from 17 ft,,8-8,,
8:08.0,,,8-8,,Defensive rebound by M. Turner
7:53.0,,,8-10,2,P. George makes 2-pt shot from 9 ft
7:35.0,J. Grant misses 2-pt shot from 3 ft,,8-10,,
7:34.0,,,8-10,,Defensive rebound by P. George
