time,New Orleans,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Plumlee (D. Lillard gains possession),,,,Jump ball: A. Davis vs. M. Plumlee (D. Lillard gains possession)
11:33.0,,,0-3,3,A. Aminu makes 3-pt shot from 25 ft (assist by M. Plumlee)
11:13.0,J. Holiday misses 3-pt shot from 25 ft,,0-3,,
11:12.0,,,0-3,,Defensive rebound by M. Leonard
11:03.0,,,0-3,,M. Leonard misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by K. Perkins,,0-3,,
10:49.0,E. Gordon misses 3-pt shot from 25 ft,,0-3,,
10:48.0,,,0-3,,Defensive rebound by A. Aminu
10:37.0,,,0-5,2,D. Lillard makes 2-pt shot from 1 ft
10:30.0,J. Holiday misses 2-pt shot from 1 ft,,0-5,,
10:29.0,,,0-5,,Defensive rebound by M. Plumlee
10:15.0,,,0-5,,C. McCollum misses 2-pt shot from 6 ft
10:14.0,Defensive rebound by K. Perkins,,0-5,,
10:02.0,D. Cunningham misses 3-pt shot from 22 ft,,0-5,,
10:01.0,,,0-5,,Defensive rebound by M. Plumlee
9:55.0,,,0-5,,Shooting foul by D. Cunningham (drawn by A. Aminu)
9:55.0,,,0-6,1,A. Aminu makes free throw 1 of 2
9:55.0,,,0-7,1,A. Aminu makes free throw 2 of 2
9:42.0,K. Perkins makes 2-pt shot from 5 ft (assist by J. Holiday),2,2-7,,
9:25.0,,,2-7,,M. Leonard misses 3-pt shot from 25 ft
9:24.0,,,2-7,,Offensive rebound by Team
9:24.0,Loose ball foul by D. Cunningham (drawn by M. Plumlee),,2-7,,
9:24.0,A. Gee enters the game for D. Cunningham,,2-7,,
9:16.0,,,2-10,3,C. McCollum makes 3-pt shot from 25 ft (assist by M. Leonard)
9:02.0,E. Gordon misses 2-pt shot from 10 ft,,2-10,,
9:00.0,,,2-10,,Defensive rebound by M. Plumlee
8:53.0,,,2-10,,Turnover by D. Lillard (lost ball)
8:34.0,A. Davis makes 2-pt shot at rim,2,4-10,,
8:19.0,,,4-10,,M. Leonard misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by K. Perkins,,4-10,,
