time,Chicago,pts.away,score,pts.home,San Antonio
1:20.0,D. Rose makes free throw 1 of 2,1,26-27,,
1:20.0,D. Rose makes free throw 2 of 2,1,27-27,,
1:01.0,,,27-27,,D. West misses 2-pt shot from 2 ft
1:00.0,Defensive rebound by N. Mirotic,,27-27,,
0:55.0,Turnover by P. Gasol (bad pass),,27-27,,
0:55.0,B. Portis enters the game for P. Gasol,,27-27,,
0:55.0,E. Moore enters the game for D. Rose,,27-27,,
0:47.0,Personal foul by D. McDermott,,27-27,,
0:38.0,,,27-27,,M. Ginobili misses 2-pt shot from 2 ft
0:36.0,Defensive rebound by B. Portis,,27-27,,
0:28.0,E. Moore misses 2-pt shot from 4 ft,,27-27,,
0:27.0,,,27-27,,Defensive rebound by K. Anderson
0:05.0,,,27-27,,M. Ginobili misses 2-pt shot from 5 ft
0:04.0,,,27-27,,Offensive rebound by D. West
0:01.0,,,27-27,,P. Mills misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by D. McDermott,,27-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,J. Holiday misses 2-pt shot from 12 ft,,27-27,,
11:32.0,Offensive rebound by N. Mirotic,,27-27,,
11:32.0,N. Mirotic makes 2-pt shot from 2 ft,2,29-27,,
11:21.0,Shooting block foul by J. Holiday (drawn by K. Martin),,29-27,,
11:21.0,,,29-28,1,K. Martin makes free throw 1 of 2
11:21.0,,,29-28,,K. Martin misses free throw 2 of 2
11:20.0,Defensive rebound by B. Portis,,29-28,,
11:05.0,D. McDermott misses 2-pt shot from 19 ft,,29-28,,
11:04.0,,,29-28,,Defensive rebound by K. Anderson
10:54.0,,,29-28,,K. Anderson misses 2-pt shot from 11 ft
10:53.0,Defensive rebound by B. Portis,,29-28,,
10:45.0,J. Holiday makes 2-pt shot from 18 ft,2,31-28,,
10:29.0,,,31-28,,P. Mills misses 2-pt shot from 3 ft
10:28.0,Defensive rebound by N. Mirotic,,31-28,,
10:23.0,N. Mirotic misses 3-pt shot from 25 ft,,31-28,,
10:22.0,,,31-28,,Defensive rebound by D. West
10:04.0,,,31-30,2,D. West makes 2-pt shot from 3 ft (assist by M. Ginobili)
9:52.0,D. McDermott makes 2-pt shot from 4 ft (assist by J. Holiday),2,33-30,,
9:41.0,Personal foul by E. Moore,,33-30,,
9:25.0,,,33-32,2,M. Ginobili makes 2-pt shot from 3 ft (assist by K. Anderson)
9:15.0,D. McDermott misses 3-pt shot from 26 ft,,33-32,,
9:14.0,,,33-32,,Defensive rebound by D. West
9:05.0,,,33-34,2,D. West makes 2-pt shot from 6 ft (assist by P. Mills)
8:50.0,B. Portis misses 2-pt shot from 11 ft,,33-34,,
8:49.0,,,33-34,,Defensive rebound by M. Ginobili
8:37.0,,,33-36,2,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Mills)
8:35.0,Chicago full timeout,,33-36,,
8:35.0,T. Gibson enters the game for N. Mirotic,,33-36,,
8:35.0,,,33-36,,K. Leonard enters the game for M. Ginobili
8:24.0,B. Portis misses 2-pt shot from 16 ft,,33-36,,
8:23.0,,,33-36,,Defensive rebound by K. Anderson
8:15.0,,,33-39,3,K. Leonard makes 3-pt shot from 26 ft
8:02.0,J. Holiday makes 2-pt shot from 18 ft,2,35-39,,
7:37.0,,,35-39,,P. Mills misses 3-pt shot from 27 ft
7:35.0,Defensive rebound by T. Gibson,,35-39,,
7:28.0,M. Dunleavy enters the game for D. McDermott,,35-39,,
7:28.0,,,35-39,,T. Parker enters the game for P. Mills
7:28.0,J. Holiday makes 3-pt shot from 24 ft (assist by E. Moore),3,38-39,,
7:15.0,,,38-41,2,D. West makes 2-pt shot from 15 ft (assist by T. Parker)
7:05.0,M. Dunleavy misses 3-pt shot from 26 ft,,38-41,,
7:04.0,,,38-41,,Defensive rebound by K. Leonard
6:53.0,,,38-41,,D. West misses 2-pt shot from 4 ft
6:52.0,,,38-41,,Offensive rebound by D. West
6:48.0,,,38-41,,Shooting foul by M. Dunleavy (drawn by D. West)
6:48.0,,,38-42,1,D. West makes free throw 1 of 2
6:48.0,,,38-42,,T. Duncan enters the game for K. Anderson
6:48.0,,,38-42,,D. Green enters the game for K. Martin
6:48.0,D. Rose enters the game for E. Moore,,38-42,,
6:48.0,,,38-43,1,D. West makes free throw 2 of 2
6:31.0,Turnover by J. Holiday (lost ball; steal by D. Green),,38-43,,
6:27.0,,,38-45,2,T. Duncan makes 2-pt shot from 3 ft (assist by T. Parker)
6:27.0,,,38-45,,Shooting foul by T. Gibson (drawn by T. Duncan)
6:27.0,,,38-45,,L. Aldridge enters the game for D. West
6:27.0,P. Gasol enters the game for B. Portis,,38-45,,
6:27.0,,,38-46,1,T. Duncan makes free throw 1 of 1
6:10.0,,,38-46,,Personal foul by T. Duncan
5:57.0,M. Dunleavy misses 2-pt shot from 9 ft,,38-46,,
5:55.0,Offensive rebound by P. Gasol,,38-46,,
5:55.0,P. Gasol makes 2-pt shot from 1 ft,2,40-46,,
5:34.0,,,40-48,2,T. Duncan makes 2-pt shot from 13 ft (assist by T. Parker)
5:22.0,Turnover by P. Gasol (lost ball; steal by T. Duncan),,40-48,,
5:05.0,,,40-48,,Turnover by K. Leonard (bad pass)
5:05.0,Official timeout,,40-48,,
5:05.0,E. Moore enters the game for J. Holiday,,40-48,,
4:54.0,D. Rose makes 2-pt shot from 2 ft (assist by P. Gasol),2,42-48,,
4:51.0,,,42-48,,T. Parker misses 2-pt shot from 9 ft
4:50.0,Defensive rebound by D. Rose,,42-48,,
4:45.0,M. Dunleavy misses 3-pt shot from 25 ft,,42-48,,
4:44.0,,,42-48,,Defensive rebound by T. Duncan
4:23.0,,,42-48,,T. Parker misses 2-pt shot from 18 ft
4:22.0,Defensive rebound by E. Moore,,42-48,,
4:17.0,Offensive foul by T. Gibson,,42-48,,
4:17.0,Turnover by T. Gibson (offensive foul),,42-48,,
3:56.0,,,42-48,,T. Duncan misses 2-pt shot from 8 ft
3:55.0,Defensive rebound by P. Gasol,,42-48,,
3:39.0,T. Gibson misses 2-pt shot from 2 ft,,42-48,,
3:36.0,Offensive rebound by T. Gibson,,42-48,,
3:35.0,Jump ball: T. Duncan vs. T. Gibson (D. Green gains possession),,,,Jump ball: T. Duncan vs. T. Gibson (D. Green gains possession)
3:35.0,Turnover by T. Gibson (lost ball; steal by T. Duncan),,42-48,,
3:20.0,,,42-48,,L. Aldridge misses 2-pt shot from 2 ft
3:19.0,,,42-48,,Offensive rebound by K. Leonard
3:16.0,,,42-50,2,L. Aldridge makes 2-pt shot from 2 ft (assist by K. Leonard)
3:05.0,Turnover by D. Rose (lost ball; steal by K. Leonard),,42-50,,
2:55.0,,,42-50,,K. Leonard misses 3-pt shot from 25 ft
2:54.0,Defensive rebound by P. Gasol,,42-50,,
2:47.0,E. Moore makes 2-pt shot from 3 ft,2,44-50,,
2:47.0,,,44-50,,San Antonio full timeout
2:47.0,N. Mirotic enters the game for T. Gibson,,44-50,,
2:47.0,,,44-50,,M. Ginobili enters the game for D. Green
2:36.0,,,44-50,,K. Leonard misses 2-pt shot from 10 ft
2:35.0,Defensive rebound by M. Dunleavy,,44-50,,
2:12.0,E. Moore makes 3-pt shot from 22 ft (assist by M. Dunleavy),3,47-50,,
1:50.0,,,47-52,2,T. Parker makes 2-pt shot from 3 ft (assist by T. Duncan)
1:50.0,,,47-52,,Shooting foul by E. Moore (drawn by T. Parker)
1:50.0,D. McDermott enters the game for E. Moore,,47-52,,
1:50.0,,,47-52,,T. Parker misses free throw 1 of 1
1:49.0,Defensive rebound by P. Gasol,,47-52,,
1:33.0,Turnover by P. Gasol (lost ball),,47-52,,
1:16.0,,,47-52,,M. Ginobili misses 3-pt shot from 25 ft
1:15.0,Defensive rebound by M. Dunleavy,,47-52,,
1:08.0,D. Rose misses 2-pt shot from 18 ft,,47-52,,
1:07.0,,,47-52,,Defensive rebound by L. Aldridge
0:57.0,,,47-54,2,L. Aldridge makes 2-pt shot from 2 ft (assist by T. Duncan)
0:37.0,N. Mirotic misses 2-pt shot from 5 ft,,47-54,,
0:36.0,Offensive rebound by P. Gasol,,47-54,,
0:35.0,P. Gasol misses 2-pt shot from 3 ft,,47-54,,
0:35.0,Offensive rebound by Team,,47-54,,
0:26.0,Turnover by P. Gasol (lost ball; steal by M. Ginobili),,47-54,,
0:04.0,,,47-54,,K. Leonard misses 2-pt shot from 15 ft
0:02.0,Defensive rebound by N. Mirotic,,47-54,,
0:01.0,N. Mirotic misses 3-pt shot from 62 ft,,47-54,,
0:00.0,Offensive rebound by Team,,47-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,E. Moore misses 2-pt shot from 2 ft,,47-54,,
11:43.0,,,47-54,,Defensive rebound by T. Parker
11:35.0,,,47-56,2,T. Parker makes 2-pt shot from 18 ft
11:13.0,D. Rose misses 2-pt shot from 9 ft,,47-56,,
11:11.0,,,47-56,,Defensive rebound by D. Green
10:58.0,,,47-56,,Turnover by T. Parker (lost ball; steal by T. Gibson)
10:48.0,Shooting foul by D. Green (drawn by M. Dunleavy),,47-56,,
10:48.0,M. Dunleavy makes free throw 1 of 2,1,48-56,,
10:48.0,M. Dunleavy misses free throw 2 of 2,,48-56,,
10:47.0,,,48-56,,Defensive rebound by K. Leonard
10:30.0,,,48-56,,Shooting foul by T. Gibson (drawn by L. Aldridge)
10:30.0,,,48-57,1,L. Aldridge makes free throw 1 of 2
10:30.0,,,48-58,1,L. Aldridge makes free throw 2 of 2
10:11.0,P. Gasol misses 2-pt shot from 15 ft,,48-58,,
10:10.0,,,48-58,,Defensive rebound by L. Aldridge
10:03.0,Personal foul by T. Gibson,,48-58,,
10:03.0,N. Mirotic enters the game for T. Gibson,,48-58,,
9:57.0,,,48-60,2,T. Parker makes 2-pt shot from 11 ft
9:37.0,D. Rose makes 2-pt shot from 17 ft,2,50-60,,
9:22.0,,,50-62,2,T. Parker makes 2-pt shot from 20 ft (assist by D. Green)
9:11.0,D. Rose misses 2-pt shot from 1 ft,,50-62,,
9:08.0,Offensive rebound by P. Gasol,,50-62,,
9:08.0,P. Gasol makes 2-pt shot from 1 ft,2,52-62,,
8:57.0,,,52-62,,Turnover by L. Aldridge (traveling)
8:38.0,D. Rose makes 3-pt shot from 25 ft (assist by P. Gasol),3,55-62,,
8:18.0,,,55-62,,Shooting foul by N. Mirotic (drawn by L. Aldridge)
8:18.0,,,55-63,1,L. Aldridge makes free throw 1 of 2
8:18.0,,,55-64,1,L. Aldridge makes free throw 2 of 2
8:07.0,D. Rose makes 2-pt shot from 14 ft,2,57-64,,
7:53.0,,,57-64,,L. Aldridge misses 2-pt shot from 4 ft
7:52.0,Defensive rebound by N. Mirotic,,57-64,,
7:45.0,E. Moore makes 3-pt shot from 22 ft (assist by M. Dunleavy),3,60-64,,
7:45.0,,,60-64,,San Antonio full timeout
7:45.0,,,60-64,,M. Ginobili enters the game for D. Green
7:31.0,,,60-64,,T. Duncan misses 2-pt shot from 18 ft
7:30.0,Defensive rebound by P. Gasol,,60-64,,
7:18.0,P. Gasol misses 2-pt shot from 19 ft,,60-64,,
7:17.0,,,60-64,,Defensive rebound by K. Leonard
7:12.0,,,60-64,,T. Duncan misses 2-pt shot from 5 ft (block by N. Mirotic)
7:10.0,Defensive rebound by Team,,60-64,,
7:00.0,D. Rose misses 2-pt shot from 6 ft,,60-64,,
6:58.0,Offensive rebound by D. Rose,,60-64,,
6:57.0,D. Rose misses 2-pt shot from 2 ft,,60-64,,
6:56.0,Offensive rebound by P. Gasol,,60-64,,
6:52.0,P. Gasol misses 2-pt shot from 2 ft,,60-64,,
6:51.0,Offensive rebound by D. Rose,,60-64,,
6:47.0,M. Dunleavy misses 3-pt shot from 26 ft,,60-64,,
6:44.0,,,60-64,,Defensive rebound by L. Aldridge
6:31.0,,,60-66,2,K. Leonard makes 2-pt shot from 20 ft (assist by T. Duncan)
6:17.0,P. Gasol makes 2-pt shot from 18 ft (assist by E. Moore),2,62-66,,
5:58.0,,,62-66,,Turnover by M. Ginobili (lost ball; steal by N. Mirotic)
5:52.0,E. Moore makes 3-pt shot from 26 ft (assist by D. Rose),3,65-66,,
5:27.0,,,65-66,,L. Aldridge misses 2-pt shot from 2 ft
5:24.0,,,65-66,,Offensive rebound by L. Aldridge
5:24.0,,,65-68,2,L. Aldridge makes 2-pt shot at rim
5:18.0,,,65-68,,Violation by T. Duncan (kicked ball)
5:18.0,J. Holiday enters the game for M. Dunleavy,,65-68,,
5:18.0,,,65-68,,D. West enters the game for T. Duncan
5:13.0,D. Rose misses 3-pt shot from 25 ft,,65-68,,
5:11.0,,,65-68,,Defensive rebound by T. Parker
5:03.0,,,65-70,2,T. Parker makes 2-pt shot from 3 ft
4:56.0,Turnover by N. Mirotic (traveling),,65-70,,
4:56.0,D. McDermott enters the game for D. Rose,,65-70,,
4:38.0,,,65-70,,T. Parker misses 2-pt shot from 18 ft
4:36.0,Defensive rebound by E. Moore,,65-70,,
4:27.0,Turnover by E. Moore (lost ball; steal by T. Parker),,65-70,,
4:21.0,,,65-73,3,K. Leonard makes 3-pt shot from 25 ft
4:21.0,Chicago full timeout,,65-73,,
4:21.0,,,65-73,,P. Mills enters the game for T. Parker
