time,Chicago,pts.away,score,pts.home,San Antonio
2:19.0,,,94-105,,Shooting foul by M. Dunleavy (drawn by K. Leonard)
2:19.0,,,94-106,1,K. Leonard makes free throw 1 of 2
2:19.0,,,94-106,,T. Duncan enters the game for D. West
2:19.0,,,94-107,1,K. Leonard makes free throw 2 of 2
2:03.0,E. Moore makes 2-pt shot from 1 ft,2,96-107,,
1:43.0,,,96-107,,T. Duncan misses 2-pt shot from 6 ft (block by P. Gasol)
1:42.0,Defensive rebound by M. Dunleavy,,96-107,,
1:29.0,P. Gasol misses 2-pt shot from 17 ft,,96-107,,
1:28.0,,,96-107,,Defensive rebound by T. Parker
1:10.0,,,96-107,,Shooting foul by M. Dunleavy (drawn by T. Duncan)
1:10.0,,,96-107,,T. Duncan misses free throw 1 of 2
1:10.0,,,96-107,,Offensive rebound by Team
1:10.0,D. McDermott enters the game for D. Rose,,96-107,,
1:10.0,,,96-107,,K. Martin enters the game for K. Leonard
1:10.0,,,96-107,,T. Duncan misses free throw 2 of 2
1:09.0,Defensive rebound by E. Moore,,96-107,,
0:58.0,M. Dunleavy misses 3-pt shot from 26 ft,,96-107,,
0:56.0,Offensive rebound by T. Gibson,,96-107,,
0:48.0,E. Moore makes 2-pt shot from 17 ft (assist by P. Gasol),2,98-107,,
0:35.0,,,98-109,2,L. Aldridge makes 2-pt shot at rim (assist by T. Parker)
0:35.0,Chicago full timeout,,98-109,,
0:35.0,,,98-109,,K. Anderson enters the game for L. Aldridge
0:35.0,,,98-109,,A. Miller enters the game for T. Duncan
0:35.0,,,98-109,,D. Green enters the game for T. Parker
0:35.0,,,98-109,,B. Marjanovic enters the game for M. Ginobili
0:35.0,N. Mirotic enters the game for T. Gibson,,98-109,,
0:32.0,Turnover by E. Moore (lost ball; steal by K. Martin),,98-109,,
0:13.0,,,98-109,,B. Marjanovic misses 2-pt shot from 3 ft
0:11.0,Defensive rebound by P. Gasol,,98-109,,
0:04.0,N. Mirotic makes 3-pt shot from 24 ft (assist by E. Moore),3,101-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
