time,Indiana,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. I. Mahinmi (J. Wall gains possession),,,,Jump ball: M. Gortat vs. I. Mahinmi (J. Wall gains possession)
11:49.0,,,0-2,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
11:31.0,M. Ellis makes 2-pt shot from 20 ft (assist by P. George),2,2-2,,
11:23.0,,,2-5,3,O. Porter makes 3-pt shot from 23 ft (assist by B. Beal)
11:13.0,P. George makes 2-pt shot from 19 ft,2,4-5,,
10:50.0,,,4-5,,O. Porter misses 3-pt shot from 22 ft
10:49.0,,,4-5,,Offensive rebound by M. Gortat
10:49.0,,,4-5,,Turnover by M. Gortat (traveling)
10:35.0,C. Miles makes 3-pt shot from 26 ft,3,7-5,,
10:18.0,,,7-5,,O. Porter misses 2-pt shot from 19 ft
10:17.0,Defensive rebound by M. Ellis,,7-5,,
10:10.0,P. George makes 3-pt shot from 26 ft (assist by G. Hill),3,10-5,,
9:59.0,,,10-8,3,J. Wall makes 3-pt shot from 26 ft (assist by B. Beal)
9:35.0,P. George makes 2-pt shot at rim (assist by I. Mahinmi),2,12-8,,
9:21.0,,,12-10,2,B. Beal makes 2-pt shot from 2 ft
9:06.0,,,12-10,,Personal foul by O. Porter (drawn by I. Mahinmi)
8:56.0,C. Miles makes 3-pt shot from 28 ft (assist by G. Hill),3,15-10,,
8:44.0,,,15-13,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
8:34.0,P. George makes 2-pt shot from 13 ft,2,17-13,,
8:27.0,,,17-13,,Shooting foul by I. Mahinmi (drawn by M. Gortat)
8:27.0,,,17-13,,M. Gortat misses free throw 1 of 2
8:27.0,,,17-13,,Offensive rebound by Team
8:27.0,,,17-14,1,M. Gortat makes free throw 2 of 2
8:13.0,Turnover by C. Miles (bad pass),,17-14,,
7:59.0,,,17-14,,B. Beal misses 2-pt shot from 9 ft
7:58.0,,,17-14,,Offensive rebound by O. Porter
7:52.0,,,17-14,,M. Gortat misses 2-pt shot from 1 ft
7:51.0,,,17-14,,Offensive rebound by K. Humphries
7:49.0,,,17-14,,Turnover by K. Humphries (lost ball; steal by C. Miles)
7:49.0,Jump ball: K. Humphries vs. C. Miles (P. George gains possession),,,,Jump ball: K. Humphries vs. C. Miles (P. George gains possession)
7:36.0,C. Miles makes 3-pt shot from 27 ft (assist by P. George),3,20-14,,
7:16.0,,,20-14,,M. Gortat misses 2-pt shot from 13 ft
7:15.0,Defensive rebound by I. Mahinmi,,20-14,,
7:13.0,Turnover by I. Mahinmi (lost ball; steal by B. Beal),,20-14,,
7:06.0,,,20-14,,J. Wall misses 2-pt shot from 20 ft
7:05.0,,,20-14,,Offensive rebound by Team
7:05.0,,,20-14,,J. Dudley enters the game for K. Humphries
6:55.0,,,20-16,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
6:40.0,Turnover by G. Hill (lost ball; steal by B. Beal),,20-16,,
6:34.0,,,20-19,3,J. Wall makes 3-pt shot from 25 ft (assist by O. Porter)
6:33.0,Indiana full timeout,,20-19,,
6:18.0,C. Miles makes 3-pt shot from 25 ft (assist by M. Ellis),3,23-19,,
5:55.0,,,23-19,,O. Porter misses 2-pt shot from 20 ft
5:54.0,Defensive rebound by G. Hill,,23-19,,
5:41.0,I. Mahinmi misses 2-pt shot from 3 ft (block by M. Gortat),,23-19,,
5:40.0,,,23-19,,Defensive rebound by J. Wall
5:29.0,,,23-21,2,B. Beal makes 2-pt shot from 18 ft
5:15.0,C. Miles misses 2-pt shot from 19 ft,,23-21,,
5:14.0,,,23-21,,Defensive rebound by M. Gortat
5:05.0,,,23-21,,J. Wall misses 3-pt shot from 28 ft
5:04.0,Defensive rebound by I. Mahinmi,,23-21,,
4:48.0,I. Mahinmi makes 2-pt shot from 3 ft (assist by P. George),2,25-21,,
4:27.0,,,25-21,,B. Beal misses 3-pt shot from 28 ft
4:25.0,,,25-21,,Offensive rebound by Team
4:25.0,R. Stuckey enters the game for G. Hill,,25-21,,
4:15.0,,,25-21,,J. Wall misses 2-pt shot from 20 ft
4:14.0,Defensive rebound by C. Miles,,25-21,,
4:08.0,P. George makes 3-pt shot from 27 ft (assist by C. Miles),3,28-21,,
3:53.0,,,28-21,,B. Beal misses 3-pt shot from 25 ft
3:52.0,Defensive rebound by R. Stuckey,,28-21,,
3:46.0,Turnover by R. Stuckey (bad pass),,28-21,,
3:46.0,J. Hill enters the game for I. Mahinmi,,28-21,,
3:36.0,,,28-21,,R. Sessions enters the game for J. Wall
3:22.0,,,28-24,3,R. Sessions makes 3-pt shot from 23 ft (assist by B. Beal)
3:11.0,P. George makes 3-pt shot from 29 ft,3,31-24,,
2:59.0,,,31-26,2,B. Beal makes 2-pt shot from 18 ft (assist by R. Sessions)
2:39.0,R. Stuckey makes 2-pt shot from 19 ft (assist by C. Miles),2,33-26,,
2:25.0,,,33-26,,Turnover by M. Gortat (traveling)
2:25.0,,,33-26,,Washington full timeout
2:25.0,,,33-26,,N. Hilario enters the game for M. Gortat
2:25.0,L. Allen enters the game for C. Miles,,33-26,,
2:05.0,Turnover by R. Stuckey (bad pass),,33-26,,
1:55.0,,,33-26,,Turnover by J. Dudley (bad pass; steal by J. Hill)
1:49.0,M. Ellis misses 2-pt shot at rim,,33-26,,
1:48.0,Offensive rebound by Team,,33-26,,
1:48.0,,,33-26,,G. Temple enters the game for B. Beal
1:42.0,P. George misses 2-pt shot from 19 ft,,33-26,,
1:41.0,,,33-26,,Defensive rebound by G. Temple
1:33.0,,,33-26,,R. Sessions misses 2-pt shot from 3 ft
1:32.0,Defensive rebound by M. Ellis,,33-26,,
1:26.0,Turnover by M. Ellis (bad pass; steal by O. Porter),,33-26,,
1:22.0,,,33-28,2,R. Sessions makes 2-pt shot from 1 ft (assist by O. Porter)
1:10.0,R. Stuckey misses 2-pt shot from 3 ft,,33-28,,
1:09.0,,,33-28,,Defensive rebound by N. Hilario
0:51.0,,,33-28,,G. Temple misses 3-pt shot from 27 ft
0:49.0,,,33-28,,Offensive rebound by O. Porter
0:37.0,,,33-31,3,J. Dudley makes 3-pt shot from 23 ft (assist by R. Sessions)
0:24.0,Shooting foul by O. Porter (drawn by M. Ellis),,33-31,,
0:24.0,M. Ellis misses free throw 1 of 2,,33-31,,
0:24.0,Offensive rebound by Team,,33-31,,
0:24.0,,,33-31,,J. Wall enters the game for G. Temple
0:24.0,,,33-31,,G. Neal enters the game for O. Porter
0:24.0,G. Hill enters the game for L. Allen,,33-31,,
0:24.0,,,33-31,,B. Beal enters the game for R. Sessions
0:24.0,M. Ellis misses free throw 2 of 2,,33-31,,
0:24.0,,,33-31,,Defensive rebound by N. Hilario
0:04.0,,,33-31,,Turnover by J. Wall (bad pass; steal by J. Hill)
0:01.0,G. Hill misses 3-pt shot from 29 ft,,33-31,,
0:00.0,Offensive rebound by Team,,33-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,G. Hill misses 3-pt shot from 23 ft,,33-31,,
