time,Oklahoma City,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Duncan (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. T. Duncan (R. Westbrook gains possession)
11:44.0,Turnover by R. Westbrook (lost ball; steal by T. Duncan),,0-0,,
11:37.0,,,0-0,,K. Leonard misses 3-pt shot from 25 ft
11:36.0,Defensive rebound by A. Roberson,,0-0,,
11:28.0,R. Westbrook misses 2-pt shot from 4 ft,,0-0,,
11:27.0,Offensive rebound by R. Westbrook,,0-0,,
11:23.0,S. Ibaka misses 3-pt shot from 25 ft,,0-0,,
11:22.0,Offensive rebound by S. Adams,,0-0,,
11:13.0,A. Roberson makes 2-pt shot at rim (assist by K. Durant),2,2-0,,
10:51.0,,,2-0,,L. Aldridge misses 2-pt shot from 15 ft
10:48.0,,,2-0,,Offensive rebound by T. Duncan
10:47.0,,,2-0,,Turnover by D. Green (lost ball; steal by R. Westbrook)
10:45.0,Shooting foul by D. Green (drawn by R. Westbrook),,2-0,,
10:45.0,R. Westbrook makes free throw 1 of 2,1,3-0,,
10:45.0,R. Westbrook makes free throw 2 of 2,1,4-0,,
10:29.0,,,4-2,2,L. Aldridge makes 2-pt shot from 7 ft
10:17.0,K. Durant misses 2-pt shot from 16 ft,,4-2,,
10:14.0,,,4-2,,Defensive rebound by T. Duncan
10:05.0,,,4-4,2,L. Aldridge makes 2-pt shot from 15 ft
9:46.0,S. Ibaka makes 2-pt shot from 19 ft (assist by K. Durant),2,6-4,,
9:31.0,,,6-6,2,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker)
9:14.0,K. Durant misses 3-pt shot from 24 ft,,6-6,,
9:13.0,,,6-6,,Defensive rebound by T. Duncan
9:01.0,,,6-6,,D. Green misses 3-pt shot from 26 ft
9:00.0,,,6-6,,Offensive rebound by K. Leonard
8:52.0,,,6-8,2,K. Leonard makes 2-pt shot from 13 ft
8:35.0,S. Adams makes 2-pt shot from 10 ft (assist by K. Durant),2,8-8,,
8:19.0,,,8-10,2,T. Duncan makes 2-pt shot from 20 ft (assist by T. Parker)
8:05.0,S. Ibaka misses 2-pt shot from 20 ft,,8-10,,
8:04.0,,,8-10,,Defensive rebound by K. Leonard
7:47.0,,,8-10,,D. Green misses 3-pt shot from 25 ft
7:45.0,,,8-10,,Offensive rebound by T. Parker
7:29.0,Personal foul by S. Adams,,8-10,,
7:14.0,,,8-12,2,T. Duncan makes 2-pt shot from 3 ft (assist by T. Parker)
6:47.0,R. Westbrook misses 2-pt shot from 1 ft,,8-12,,
6:46.0,Offensive rebound by A. Roberson,,8-12,,
6:40.0,K. Durant makes 2-pt shot at rim,2,10-12,,
6:31.0,,,10-12,,San Antonio full timeout
6:16.0,,,10-14,2,T. Duncan makes 2-pt shot from 2 ft (assist by D. Green)
5:58.0,Shooting foul by T. Duncan (drawn by K. Durant),,10-14,,
5:58.0,K. Durant makes free throw 1 of 2,1,11-14,,
5:58.0,E. Kanter enters the game for S. Adams,,11-14,,
5:58.0,K. Durant makes free throw 2 of 2,1,12-14,,
5:44.0,,,12-16,2,K. Leonard makes 2-pt shot from 3 ft
5:37.0,Shooting foul by T. Duncan (drawn by E. Kanter),,12-16,,
5:37.0,E. Kanter makes free throw 1 of 2,1,13-16,,
5:37.0,K. Singler enters the game for K. Durant,,13-16,,
5:37.0,,,13-16,,D. West enters the game for T. Duncan
5:37.0,E. Kanter makes free throw 2 of 2,1,14-16,,
5:20.0,,,14-18,2,L. Aldridge makes 2-pt shot from 18 ft (assist by K. Leonard)
5:07.0,R. Westbrook makes 3-pt shot from 24 ft,3,17-18,,
4:45.0,,,17-18,,K. Leonard misses 3-pt shot from 24 ft
4:44.0,Defensive rebound by R. Westbrook,,17-18,,
4:38.0,R. Westbrook misses 2-pt shot from 2 ft,,17-18,,
4:37.0,,,17-18,,Defensive rebound by D. West
4:24.0,,,17-18,,D. Green misses 3-pt shot from 25 ft
4:23.0,Defensive rebound by E. Kanter,,17-18,,
4:13.0,Shooting foul by D. West (drawn by R. Westbrook),,17-18,,
4:13.0,R. Westbrook makes free throw 1 of 2,1,18-18,,
4:13.0,,,18-18,,M. Ginobili enters the game for D. Green
4:13.0,R. Foye enters the game for A. Roberson,,18-18,,
4:13.0,R. Westbrook misses free throw 2 of 2,,18-18,,
4:11.0,,,18-18,,Defensive rebound by L. Aldridge
3:56.0,Personal foul by R. Westbrook,,18-18,,
3:56.0,,,18-18,,P. Mills enters the game for T. Parker
3:46.0,,,18-18,,K. Leonard misses 2-pt shot from 8 ft
3:44.0,Defensive rebound by E. Kanter,,18-18,,
3:40.0,Shooting foul by P. Mills (drawn by R. Westbrook),,18-18,,
3:40.0,R. Westbrook makes free throw 1 of 2,1,19-18,,
3:40.0,R. Westbrook makes free throw 2 of 2,1,20-18,,
3:28.0,,,20-18,,P. Mills misses 2-pt shot from 19 ft
3:23.0,,,20-18,,Offensive rebound by L. Aldridge
3:23.0,,,20-20,2,L. Aldridge makes 2-pt shot from 1 ft
3:11.0,Turnover by R. Westbrook (lost ball; steal by M. Ginobili),,20-20,,
3:08.0,,,20-22,2,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Mills)
3:08.0,,,20-22,,Shooting foul by K. Singler (drawn by L. Aldridge)
3:08.0,,,20-23,1,L. Aldridge makes free throw 1 of 1
2:57.0,R. Westbrook misses 2-pt shot from 4 ft,,20-23,,
2:55.0,,,20-23,,Defensive rebound by D. West
2:48.0,,,20-23,,M. Ginobili misses 3-pt shot from 25 ft
2:47.0,Defensive rebound by R. Foye,,20-23,,
2:41.0,S. Ibaka makes 2-pt shot from 17 ft (assist by R. Foye),2,22-23,,
2:23.0,,,22-23,,K. Leonard misses 2-pt shot from 3 ft
2:22.0,Defensive rebound by R. Foye,,22-23,,
2:19.0,Offensive foul by S. Ibaka,,22-23,,
2:19.0,Turnover by S. Ibaka (offensive foul),,22-23,,
2:19.0,Oklahoma City full timeout,,22-23,,
2:19.0,K. Durant enters the game for R. Westbrook,,22-23,,
2:19.0,S. Adams enters the game for S. Ibaka,,22-23,,
2:19.0,,,22-23,,D. Green enters the game for K. Leonard
2:08.0,,,22-23,,D. West misses 2-pt shot from 1 ft
2:07.0,Defensive rebound by E. Kanter,,22-23,,
1:53.0,K. Durant misses 2-pt shot from 15 ft,,22-23,,
1:52.0,Offensive rebound by E. Kanter,,22-23,,
1:44.0,Turnover by R. Foye (lost ball; steal by M. Ginobili),,22-23,,
1:36.0,,,22-23,,Shooting foul by S. Adams (drawn by L. Aldridge)
1:36.0,,,22-24,1,L. Aldridge makes free throw 1 of 2
1:36.0,N. Collison enters the game for S. Adams,,22-24,,
1:36.0,,,22-25,1,L. Aldridge makes free throw 2 of 2
1:23.0,Turnover by K. Singler (step out of bounds),,22-25,,
1:23.0,,,22-25,,B. Diaw enters the game for L. Aldridge
1:09.0,,,22-25,,Turnover by M. Ginobili (lost ball; steal by R. Foye)
1:00.0,N. Collison misses 2-pt shot from 10 ft,,22-25,,
0:58.0,,,22-25,,Defensive rebound by P. Mills
0:52.0,,,22-25,,D. Green misses 2-pt shot from 1 ft
0:51.0,Defensive rebound by N. Collison,,22-25,,
0:44.0,K. Singler misses 3-pt shot from 26 ft,,22-25,,
0:43.0,,,22-25,,Defensive rebound by P. Mills
0:28.0,,,22-25,,B. Diaw misses 3-pt shot from 26 ft
0:27.0,Defensive rebound by E. Kanter,,22-25,,
0:07.0,E. Kanter misses 2-pt shot from 17 ft,,22-25,,
0:06.0,,,22-25,,Defensive rebound by P. Mills
0:00.0,,,22-25,,P. Mills misses 2-pt shot from 4 ft
0:00.0,,,22-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,22-25,,M. Ginobili misses 2-pt shot from 2 ft
11:46.0,,,22-25,,Offensive rebound by D. West
11:46.0,,,22-27,2,D. West makes 2-pt shot at rim
11:41.0,Offensive foul by N. Collison,,22-27,,
11:41.0,Turnover by N. Collison (offensive foul),,22-27,,
11:26.0,,,22-29,2,B. Diaw makes 2-pt shot from 12 ft
11:10.0,K. Durant misses 3-pt shot from 26 ft,,22-29,,
11:09.0,,,22-29,,Defensive rebound by P. Mills
10:55.0,,,22-29,,Turnover by D. West (3 sec)
10:38.0,Shooting foul by D. West (drawn by R. Foye),,22-29,,
10:38.0,R. Foye makes free throw 1 of 2,1,23-29,,
10:38.0,,,23-29,,K. Anderson enters the game for M. Ginobili
10:38.0,,,23-29,,T. Duncan enters the game for D. West
10:38.0,R. Foye makes free throw 2 of 2,1,24-29,,
10:24.0,,,24-29,,D. Green misses 3-pt shot from 26 ft
10:23.0,Defensive rebound by K. Durant,,24-29,,
10:13.0,K. Durant misses 2-pt shot from 1 ft,,24-29,,
10:12.0,,,24-29,,Defensive rebound by P. Mills
9:51.0,,,24-29,,P. Mills misses 3-pt shot from 24 ft
9:48.0,Defensive rebound by E. Kanter,,24-29,,
9:39.0,R. Foye misses 2-pt shot from 23 ft,,24-29,,
9:37.0,,,24-29,,Defensive rebound by P. Mills
9:28.0,,,24-29,,D. Green misses 3-pt shot from 26 ft
9:27.0,Defensive rebound by R. Foye,,24-29,,
9:22.0,Oklahoma City full timeout,,24-29,,
9:22.0,,,24-29,,T. Parker enters the game for P. Mills
9:22.0,,,24-29,,K. Leonard enters the game for D. Green
9:22.0,R. Westbrook enters the game for K. Durant,,24-29,,
9:22.0,S. Ibaka enters the game for E. Kanter,,24-29,,
9:22.0,S. Adams enters the game for N. Collison,,24-29,,
9:15.0,Turnover by R. Westbrook (lost ball; steal by K. Leonard),,24-29,,
9:07.0,,,24-29,,K. Leonard misses 2-pt shot from 1 ft
9:04.0,,,24-29,,Offensive rebound by T. Duncan
9:04.0,,,24-31,2,T. Duncan makes 2-pt shot at rim
8:51.0,R. Foye misses 2-pt shot from 17 ft,,24-31,,
8:49.0,Offensive rebound by K. Singler,,24-31,,
8:36.0,K. Singler misses 2-pt shot from 3 ft,,24-31,,
8:34.0,Offensive rebound by S. Adams,,24-31,,
8:34.0,S. Adams makes 2-pt shot at rim,2,26-31,,
8:17.0,,,26-31,,T. Parker misses 2-pt shot from 16 ft
8:15.0,Defensive rebound by S. Adams,,26-31,,
8:09.0,Shooting foul by B. Diaw (drawn by R. Westbrook),,26-31,,
8:09.0,R. Westbrook misses free throw 1 of 2,,26-31,,
8:09.0,Offensive rebound by Team,,26-31,,
8:09.0,A. Roberson enters the game for R. Foye,,26-31,,
8:09.0,R. Westbrook makes free throw 2 of 2,1,27-31,,
7:44.0,,,27-33,2,T. Duncan makes 2-pt shot from 19 ft (assist by B. Diaw)
7:25.0,S. Ibaka misses 2-pt shot from 19 ft,,27-33,,
7:25.0,,,27-33,,Defensive rebound by Team
7:25.0,Loose ball foul by S. Adams,,27-33,,
7:25.0,,,27-33,,L. Aldridge enters the game for B. Diaw
7:25.0,E. Kanter enters the game for S. Adams,,27-33,,
7:10.0,,,27-35,2,K. Leonard makes 2-pt shot at rim (assist by L. Aldridge)
7:10.0,,,27-35,,Shooting foul by K. Singler (drawn by K. Leonard)
7:10.0,K. Durant enters the game for K. Singler,,27-35,,
7:10.0,,,27-36,1,K. Leonard makes free throw 1 of 1
6:54.0,K. Durant misses 2-pt shot from 3 ft (block by K. Leonard),,27-36,,
6:53.0,,,27-36,,Defensive rebound by K. Anderson
6:51.0,,,27-36,,Turnover by T. Parker (lost ball)
6:41.0,E. Kanter makes 2-pt shot from 4 ft (assist by R. Westbrook),2,29-36,,
6:35.0,,,29-36,,Turnover by T. Parker (lost ball; steal by R. Westbrook)
6:33.0,Turnover by R. Westbrook (lost ball; steal by K. Leonard),,29-36,,
6:32.0,,,29-36,,San Antonio full timeout
6:32.0,,,29-36,,K. Martin enters the game for K. Anderson
6:20.0,,,29-36,,K. Leonard misses 2-pt shot from 19 ft
6:19.0,Defensive rebound by E. Kanter,,29-36,,
6:08.0,K. Durant makes 2-pt shot from 18 ft (assist by R. Westbrook),2,31-36,,
5:49.0,,,31-36,,K. Leonard misses 2-pt shot from 11 ft
5:48.0,Defensive rebound by A. Roberson,,31-36,,
