time,New Orleans,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Gortat (G. Temple gains possession),,,,Jump ball: A. Davis vs. M. Gortat (G. Temple gains possession)
11:43.0,,,0-3,3,G. Temple makes 3-pt shot from 26 ft (assist by J. Wall)
11:25.0,D. Cunningham misses 2-pt shot from 20 ft,,0-3,,
11:24.0,,,0-3,,Defensive rebound by G. Temple
11:15.0,,,0-6,3,J. Dudley makes 3-pt shot from 27 ft (assist by G. Temple)
10:57.0,A. Davis misses 2-pt shot from 13 ft,,0-6,,
10:56.0,Offensive rebound by Team,,0-6,,
10:53.0,A. Ajinca misses 2-pt shot from 20 ft,,0-6,,
10:52.0,,,0-6,,Defensive rebound by J. Wall
10:35.0,,,0-6,,J. Wall misses 3-pt shot from 28 ft
10:34.0,Defensive rebound by D. Cunningham,,0-6,,
10:26.0,N. Cole misses 3-pt shot from 25 ft,,0-6,,
10:25.0,Offensive rebound by D. Cunningham,,0-6,,
10:13.0,A. Ajinca makes 2-pt shot from 15 ft (assist by N. Cole),2,2-6,,
10:05.0,,,2-6,,G. Temple misses 2-pt shot from 1 ft (block by B. Dejean-Jones)
10:02.0,Defensive rebound by A. Ajinca,,2-6,,
9:58.0,B. Dejean-Jones misses 2-pt shot from 1 ft,,2-6,,
9:57.0,,,2-6,,Defensive rebound by M. Gortat
9:42.0,,,2-8,2,M. Gortat makes 2-pt shot from 6 ft (assist by J. Wall)
9:25.0,A. Ajinca misses 2-pt shot from 15 ft,,2-8,,
9:24.0,Offensive rebound by A. Davis,,2-8,,
9:23.0,Shooting foul by O. Porter (drawn by A. Ajinca),,2-8,,
9:23.0,A. Ajinca makes free throw 1 of 2,1,3-8,,
9:23.0,A. Ajinca makes free throw 2 of 2,1,4-8,,
9:12.0,,,4-8,,M. Gortat misses 2-pt shot from 9 ft
9:11.0,Defensive rebound by N. Cole,,4-8,,
8:59.0,Turnover by A. Davis (bad pass),,4-8,,
8:55.0,,,4-8,,Shooting foul by D. Cunningham (drawn by M. Gortat)
8:55.0,,,4-8,,M. Gortat misses free throw 1 of 2
8:55.0,,,4-8,,Offensive rebound by Team
8:55.0,K. Perkins enters the game for A. Ajinca,,4-8,,
8:55.0,,,4-9,1,M. Gortat makes free throw 2 of 2
8:44.0,,,4-9,,Personal foul by G. Temple (drawn by K. Perkins)
8:33.0,K. Perkins makes 2-pt shot from 7 ft (assist by N. Cole),2,6-9,,
8:26.0,,,6-9,,Turnover by J. Wall (bad pass)
8:05.0,N. Cole misses 2-pt shot from 20 ft,,6-9,,
8:04.0,,,6-9,,Defensive rebound by O. Porter
