time,LA Clippers,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. I. Mahinmi (P. Pierce gains possession),,,,Jump ball: D. Jordan vs. I. Mahinmi (P. Pierce gains possession)
11:40.0,J. Redick makes 3-pt shot from 24 ft (assist by D. Jordan),3,3-0,,
11:23.0,,,3-3,3,G. Hill makes 3-pt shot from 23 ft (assist by I. Mahinmi)
11:04.0,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul),2,5-3,,
10:45.0,,,5-5,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by P. George)
10:31.0,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul),2,7-5,,
10:17.0,,,7-7,2,G. Hill makes 2-pt shot from 1 ft (assist by L. Allen)
9:53.0,P. Pierce misses 3-pt shot from 24 ft (block by P. George),,7-7,,
9:53.0,,,7-7,,Defensive rebound by P. George
9:48.0,,,7-9,2,P. George makes 2-pt shot from 1 ft
9:32.0,J. Redick misses 2-pt shot from 10 ft,,7-9,,
9:29.0,Offensive rebound by C. Paul,,7-9,,
9:19.0,P. Pierce makes 2-pt shot from 18 ft (assist by C. Paul),2,9-9,,
9:07.0,,,9-9,,Turnover by L. Allen (lost ball; steal by P. Pierce)
8:50.0,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul),3,12-9,,
8:34.0,,,12-11,2,P. George makes 2-pt shot from 8 ft
8:11.0,J. Redick misses 3-pt shot from 24 ft,,12-11,,
8:10.0,,,12-11,,Defensive rebound by L. Allen
8:02.0,,,12-11,,P. George misses 3-pt shot from 23 ft
8:01.0,Defensive rebound by D. Jordan,,12-11,,
7:46.0,C. Paul misses 3-pt shot from 25 ft,,12-11,,
7:46.0,,,12-11,,Defensive rebound by P. George
7:38.0,,,12-13,2,P. George makes 2-pt shot from 18 ft
7:16.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,12-13,,
7:15.0,,,12-13,,Defensive rebound by I. Mahinmi
7:04.0,,,12-13,,P. George misses 2-pt shot from 19 ft
7:04.0,Defensive rebound by D. Jordan,,12-13,,
6:51.0,Turnover by D. Jordan (bad pass; steal by M. Ellis),,12-13,,
6:45.0,,,12-13,,M. Ellis misses 2-pt shot from 2 ft
6:45.0,Defensive rebound by Team,,12-13,,
6:38.0,P. Pierce misses 3-pt shot from 23 ft,,12-13,,
6:37.0,Offensive rebound by Team,,12-13,,
6:37.0,,,12-13,,Loose ball foul by I. Mahinmi (drawn by D. Jordan)
6:22.0,D. Jordan makes 2-pt shot from 5 ft,2,14-13,,
5:55.0,,,14-15,2,P. George makes 2-pt shot from 17 ft
5:39.0,J. Redick misses 2-pt shot from 21 ft,,14-15,,
5:38.0,,,14-15,,Defensive rebound by P. George
5:33.0,,,14-15,,Turnover by I. Mahinmi (lost ball; steal by P. Pierce)
5:14.0,P. Pierce misses 2-pt shot from 15 ft,,14-15,,
5:12.0,,,14-15,,Defensive rebound by L. Allen
5:05.0,,,14-15,,Shooting foul by P. Pierce (drawn by P. George)
5:05.0,,,14-15,,Indiana full timeout
5:05.0,,,14-15,,M. Turner enters the game for I. Mahinmi
5:05.0,,,14-16,1,P. George makes free throw 1 of 2
5:05.0,,,14-17,1,P. George makes free throw 2 of 2
4:46.0,C. Paul misses 2-pt shot from 9 ft (block by M. Turner),,14-17,,
4:45.0,,,14-17,,Defensive rebound by P. George
4:41.0,,,14-17,,M. Ellis misses 2-pt shot from 1 ft
4:40.0,,,14-17,,Offensive rebound by Team
4:40.0,W. Johnson enters the game for P. Pierce,,14-17,,
4:35.0,,,14-19,2,M. Turner makes 2-pt shot from 16 ft (assist by M. Ellis)
4:20.0,Turnover by L. Mbah a Moute (bad pass; steal by P. George),,14-19,,
4:17.0,,,14-19,,Turnover by M. Ellis (bad pass; steal by J. Redick)
4:13.0,Turnover by C. Paul (step out of bounds),,14-19,,
4:13.0,,,14-19,,J. Hill enters the game for L. Allen
3:50.0,,,14-21,2,M. Turner makes 2-pt shot from 18 ft (assist by P. George)
3:34.0,W. Johnson misses 2-pt shot from 17 ft,,14-21,,
3:34.0,,,14-21,,Defensive rebound by M. Turner
3:26.0,,,14-23,2,M. Turner makes 2-pt shot from 19 ft (assist by M. Ellis)
3:06.0,Turnover by W. Johnson (bad pass),,14-23,,
3:06.0,C. Aldrich enters the game for D. Jordan,,14-23,,
3:06.0,J. Crawford enters the game for J. Redick,,14-23,,
2:52.0,,,14-23,,Turnover by M. Turner (lost ball)
2:52.0,LA Clippers full timeout,,14-23,,
2:52.0,A. Rivers enters the game for C. Paul,,14-23,,
2:34.0,Turnover by L. Mbah a Moute (lost ball; steal by G. Hill),,14-23,,
2:26.0,,,14-23,,G. Hill misses 2-pt shot from 11 ft
2:25.0,,,14-23,,Offensive rebound by G. Hill
2:19.0,,,14-23,,M. Ellis misses 3-pt shot from 24 ft
2:19.0,Defensive rebound by A. Rivers,,14-23,,
2:12.0,W. Johnson makes 3-pt shot from 26 ft (assist by A. Rivers),3,17-23,,
2:05.0,,,17-23,,C. Miles enters the game for P. George
2:05.0,,,17-23,,J. Young enters the game for G. Hill
2:05.0,P. Prigioni enters the game for L. Mbah a Moute,,17-23,,
1:53.0,,,17-23,,J. Hill misses 2-pt shot from 4 ft (block by A. Rivers)
1:53.0,Defensive rebound by P. Prigioni,,17-23,,
1:44.0,W. Johnson makes 3-pt shot from 24 ft (assist by J. Crawford),3,20-23,,
1:34.0,,,20-23,,J. Young misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by C. Aldrich,,20-23,,
