time,Dallas,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. Z. Pachulia (T. Jones gains possession),,,,Jump ball: C. Capela vs. Z. Pachulia (T. Jones gains possession)
11:41.0,,,0-0,,T. Ariza misses 2-pt shot from 10 ft
11:40.0,Defensive rebound by D. Williams,,0-0,,
11:23.0,C. Villanueva makes 3-pt shot from 25 ft (assist by D. Williams),3,3-0,,
11:03.0,,,3-2,2,T. Jones makes 2-pt shot from 2 ft
10:46.0,C. Villanueva misses 2-pt shot from 2 ft,,3-2,,
10:44.0,,,3-2,,Defensive rebound by C. Capela
10:31.0,,,3-2,,J. Harden misses 2-pt shot from 2 ft
10:30.0,Defensive rebound by R. Felton,,3-2,,
10:25.0,C. Villanueva misses 2-pt shot from 1 ft,,3-2,,
10:25.0,Offensive rebound by Team,,3-2,,
10:15.0,R. Felton makes 2-pt shot from 17 ft,2,5-2,,
10:07.0,,,5-4,2,C. Capela makes 2-pt shot from 4 ft (assist by J. Harden)
9:44.0,D. Williams makes 3-pt shot from 23 ft (assist by C. Villanueva),3,8-4,,
9:33.0,,,8-6,2,T. Lawson makes 2-pt shot from 22 ft (assist by C. Capela)
9:23.0,Shooting foul by C. Capela (drawn by R. Felton),,8-6,,
9:23.0,R. Felton makes free throw 1 of 2,1,9-6,,
9:23.0,R. Felton makes free throw 2 of 2,1,10-6,,
9:12.0,,,10-6,,Turnover by J. Harden (bad pass; steal by D. Williams)
9:05.0,J. Anderson misses 3-pt shot from 24 ft,,10-6,,
9:04.0,,,10-6,,Defensive rebound by C. Capela
9:01.0,,,10-6,,Shooting foul by D. Williams (drawn by T. Ariza)
9:01.0,,,10-7,1,T. Ariza makes free throw 1 of 2
9:01.0,,,10-7,,T. Ariza misses free throw 2 of 2
9:01.0,Defensive rebound by Z. Pachulia,,10-7,,
8:45.0,J. Anderson makes 3-pt shot from 23 ft (assist by Z. Pachulia),3,13-7,,
8:24.0,,,13-7,,Turnover by T. Lawson (bad pass; steal by Z. Pachulia)
8:17.0,Turnover by R. Felton (bad pass; steal by J. Harden),,13-7,,
8:10.0,,,13-9,2,T. Jones makes 2-pt shot from 2 ft
7:53.0,R. Felton makes 2-pt shot from 5 ft,2,15-9,,
7:48.0,,,15-9,,Offensive charge foul by T. Ariza
7:48.0,,,15-9,,Turnover by T. Ariza (offensive foul)
7:32.0,Turnover by J. Anderson (bad pass; steal by T. Ariza),,15-9,,
7:22.0,,,15-9,,T. Lawson misses 3-pt shot from 24 ft
7:21.0,Defensive rebound by J. Anderson,,15-9,,
7:09.0,Z. Pachulia misses 2-pt shot from 5 ft (block by T. Jones),,15-9,,
7:08.0,,,15-9,,Defensive rebound by C. Capela
7:07.0,Personal foul by R. Felton (drawn by J. Harden),,15-9,,
7:00.0,,,15-9,,J. Harden misses 2-pt shot from 3 ft (block by C. Villanueva)
6:56.0,Defensive rebound by C. Villanueva,,15-9,,
6:55.0,Shooting foul by T. Ariza (drawn by Z. Pachulia),,15-9,,
6:55.0,Z. Pachulia misses free throw 1 of 2,,15-9,,
6:55.0,Offensive rebound by Team,,15-9,,
6:55.0,Z. Pachulia misses free throw 2 of 2,,15-9,,
6:55.0,,,15-9,,Defensive rebound by J. Harden
6:32.0,,,15-9,,T. Ariza misses 3-pt shot from 22 ft
6:31.0,Defensive rebound by Z. Pachulia,,15-9,,
6:23.0,D. Williams makes 2-pt shot from 2 ft,2,17-9,,
6:22.0,,,17-9,,Houston full timeout
6:04.0,,,17-11,2,T. Jones makes 2-pt shot from 2 ft (assist by T. Ariza)
5:48.0,,,17-11,,Personal foul by T. Jones (drawn by Z. Pachulia)
5:38.0,R. Felton misses 2-pt shot from 4 ft,,17-11,,
5:37.0,Offensive rebound by R. Felton,,17-11,,
5:23.0,C. Villanueva makes 3-pt shot from 24 ft (assist by D. Williams),3,20-11,,
5:15.0,,,20-11,,Shooting foul by R. Felton (drawn by J. Harden)
5:15.0,,,20-12,1,J. Harden makes free throw 1 of 2
5:15.0,D. Powell enters the game for R. Felton,,20-12,,
5:15.0,D. Harris enters the game for Z. Pachulia,,20-12,,
5:15.0,,,20-13,1,J. Harden makes free throw 2 of 2
5:03.0,Turnover by J. Anderson (bad pass; steal by T. Ariza),,20-13,,
4:57.0,,,20-13,,J. Harden misses 3-pt shot from 25 ft
4:56.0,Defensive rebound by D. Powell,,20-13,,
4:51.0,,,20-13,,Personal foul by T. Lawson (drawn by D. Williams)
4:51.0,,,20-13,,M. Thornton enters the game for C. Capela
4:51.0,,,20-13,,C. Brewer enters the game for T. Ariza
4:38.0,C. Villanueva makes 2-pt shot from 7 ft (assist by D. Powell),2,22-13,,
4:26.0,,,22-13,,M. Thornton misses 2-pt shot from 7 ft
4:25.0,Defensive rebound by D. Powell,,22-13,,
4:16.0,C. Villanueva misses 3-pt shot from 22 ft,,22-13,,
4:15.0,,,22-13,,Defensive rebound by M. Thornton
4:06.0,Personal foul by D. Harris (drawn by T. Lawson),,22-13,,
4:06.0,J. Barea enters the game for D. Williams,,22-13,,
4:06.0,J. Jenkins enters the game for J. Anderson,,22-13,,
3:57.0,,,22-13,,M. Thornton misses 3-pt shot from 24 ft
3:56.0,Defensive rebound by C. Villanueva,,22-13,,
3:48.0,D. Harris makes 2-pt shot from 19 ft (assist by J. Barea),2,24-13,,
3:30.0,,,24-15,2,T. Jones makes 2-pt shot from 1 ft (assist by J. Harden)
3:11.0,J. Jenkins misses 2-pt shot from 9 ft,,24-15,,
3:09.0,Offensive rebound by J. Jenkins,,24-15,,
3:06.0,J. Jenkins misses 2-pt shot at rim (block by T. Jones),,24-15,,
3:03.0,,,24-15,,Defensive rebound by C. Brewer
2:59.0,,,24-15,,M. Thornton misses 2-pt shot from 3 ft
2:58.0,Defensive rebound by D. Harris,,24-15,,
