time,Denver,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Hickson (E. Bledsoe gains possession),,,,Jump ball: T. Chandler vs. J. Hickson (E. Bledsoe gains possession)
11:43.0,,,0-2,2,E. Bledsoe makes 2-pt shot from 16 ft
11:31.0,,,0-2,,Personal foul by J. Leuer (drawn by K. Faried)
11:16.0,D. Gallinari misses 3-pt shot from 22 ft,,0-2,,
11:13.0,Offensive rebound by K. Faried,,0-2,,
11:13.0,K. Faried makes 2-pt shot at rim,2,2-2,,
10:59.0,,,2-2,,E. Bledsoe misses 2-pt shot from 3 ft
10:59.0,Defensive rebound by J. Hickson,,2-2,,
10:51.0,E. Mudiay makes 2-pt shot from 18 ft,2,4-2,,
10:42.0,,,4-2,,T. Chandler misses 2-pt shot at rim
10:42.0,Defensive rebound by E. Mudiay,,4-2,,
10:19.0,E. Mudiay misses 3-pt shot from 24 ft,,4-2,,
10:18.0,,,4-2,,Defensive rebound by T. Chandler
10:12.0,,,4-2,,P. Tucker misses 2-pt shot from 1 ft
10:10.0,Defensive rebound by K. Faried,,4-2,,
9:59.0,D. Gallinari misses 2-pt shot from 21 ft,,4-2,,
9:59.0,Offensive rebound by Team,,4-2,,
9:47.0,G. Harris misses 3-pt shot from 24 ft,,4-2,,
9:46.0,,,4-2,,Defensive rebound by E. Bledsoe
9:40.0,,,4-2,,J. Leuer misses 3-pt shot from 24 ft
9:39.0,Defensive rebound by J. Hickson,,4-2,,
9:30.0,E. Mudiay makes 3-pt shot from 24 ft,3,7-2,,
9:14.0,,,7-2,,B. Knight misses 2-pt shot from 9 ft
9:14.0,Defensive rebound by E. Mudiay,,7-2,,
9:02.0,E. Mudiay misses 3-pt shot from 24 ft,,7-2,,
9:02.0,,,7-2,,Defensive rebound by T. Chandler
8:50.0,,,7-2,,B. Knight misses 2-pt shot at rim
8:49.0,Defensive rebound by E. Mudiay,,7-2,,
8:46.0,Turnover by E. Mudiay (bad pass),,7-2,,
8:33.0,Shooting block foul by K. Faried (drawn by T. Chandler),,7-2,,
8:33.0,,,7-4,2,T. Chandler makes 2-pt shot at rim (assist by J. Leuer)
8:33.0,,,7-5,1,T. Chandler makes free throw 1 of 1
8:17.0,E. Mudiay misses 2-pt shot from 20 ft,,7-5,,
8:14.0,Offensive rebound by K. Faried,,7-5,,
8:11.0,Turnover by K. Faried (bad pass; steal by E. Bledsoe),,7-5,,
8:04.0,,,7-5,,Turnover by E. Bledsoe (bad pass; steal by G. Harris)
7:59.0,G. Harris makes 2-pt shot at rim,2,9-5,,
7:59.0,,,9-5,,Phoenix full timeout
7:45.0,,,9-5,,B. Knight misses 2-pt shot from 3 ft (block by E. Mudiay)
7:43.0,Defensive rebound by E. Mudiay,,9-5,,
7:35.0,G. Harris misses 3-pt shot from 23 ft,,9-5,,
7:35.0,,,9-5,,Defensive rebound by P. Tucker
7:28.0,,,9-5,,J. Leuer misses 2-pt shot from 18 ft
7:28.0,Defensive rebound by K. Faried,,9-5,,
7:03.0,Turnover by Team (shot clock),,9-5,,
6:54.0,,,9-5,,B. Knight misses 2-pt shot from 20 ft
6:53.0,Defensive rebound by J. Hickson,,9-5,,
6:42.0,Turnover by E. Mudiay (traveling),,9-5,,
6:24.0,,,9-7,2,E. Bledsoe makes 2-pt shot from 7 ft (assist by T. Chandler)
6:13.0,K. Faried misses 2-pt shot at rim,,9-7,,
6:12.0,,,9-7,,Defensive rebound by J. Leuer
5:52.0,,,9-10,3,J. Leuer makes 3-pt shot from 24 ft (assist by E. Bledsoe)
5:36.0,Turnover by K. Faried (lost ball),,9-10,,
5:36.0,,,9-10,,A. Goodwin enters the game for B. Knight
5:36.0,W. Barton enters the game for J. Hickson,,9-10,,
5:14.0,,,9-10,,J. Leuer misses 2-pt shot from 3 ft
5:11.0,,,9-10,,Offensive rebound by T. Chandler
5:11.0,,,9-12,2,T. Chandler makes 2-pt shot at rim
5:08.0,Denver full timeout,,9-12,,
5:08.0,J. Nelson enters the game for E. Mudiay,,9-12,,
5:00.0,G. Harris misses 3-pt shot from 24 ft,,9-12,,
4:59.0,,,9-12,,Defensive rebound by J. Leuer
4:55.0,,,9-12,,Turnover by J. Leuer (bad pass; steal by K. Faried)
4:55.0,Denver full timeout,,9-12,,
4:48.0,D. Gallinari misses 2-pt shot from 20 ft,,9-12,,
4:48.0,,,9-12,,Defensive rebound by J. Leuer
4:29.0,,,9-14,2,E. Bledsoe makes 2-pt shot from 10 ft
4:11.0,W. Barton misses 3-pt shot from 25 ft,,9-14,,
4:11.0,,,9-14,,Defensive rebound by E. Bledsoe
3:55.0,,,9-16,2,P. Tucker makes 2-pt shot from 4 ft
3:43.0,W. Barton misses 2-pt shot from 3 ft,,9-16,,
3:41.0,,,9-16,,Defensive rebound by P. Tucker
3:39.0,,,9-16,,Shooting foul by J. Nelson (drawn by A. Goodwin)
