time,Phoenix,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. Z. Pachulia (D. Nowitzki gains possession),,,,Jump ball: A. Len vs. Z. Pachulia (D. Nowitzki gains possession)
11:41.0,,,0-3,3,D. Williams makes 3-pt shot from 24 ft (assist by R. Felton)
11:28.0,Turnover by A. Len (lost ball; steal by Z. Pachulia),,0-3,,
11:25.0,,,0-5,2,R. Felton makes 2-pt shot from 1 ft
11:04.0,P. Tucker misses 3-pt shot from 22 ft,,0-5,,
11:03.0,,,0-5,,Defensive rebound by W. Matthews
10:52.0,,,0-5,,D. Nowitzki misses 3-pt shot from 23 ft
10:51.0,Defensive rebound by J. Leuer,,0-5,,
10:42.0,J. Leuer misses 3-pt shot from 23 ft,,0-5,,
10:41.0,,,0-5,,Defensive rebound by D. Williams
10:26.0,,,0-7,2,D. Nowitzki makes 2-pt shot from 11 ft
10:10.0,,,0-7,,Personal foul by D. Nowitzki (drawn by P. Tucker)
10:02.0,E. Bledsoe makes 3-pt shot from 23 ft (assist by J. Leuer),3,3-7,,
9:48.0,,,3-10,3,R. Felton makes 3-pt shot from 24 ft
9:40.0,E. Bledsoe misses 2-pt shot from 22 ft,,3-10,,
9:39.0,,,3-10,,Defensive rebound by W. Matthews
9:23.0,,,3-10,,Turnover by Z. Pachulia (lost ball; steal by E. Bledsoe)
9:18.0,B. Knight makes 2-pt shot from 20 ft (assist by E. Bledsoe),2,5-10,,
8:58.0,,,5-10,,Turnover by D. Williams (bad pass)
8:52.0,Turnover by B. Knight (lost ball; steal by D. Williams),,5-10,,
8:43.0,,,5-10,,Turnover by R. Felton (bad pass)
8:31.0,P. Tucker makes 2-pt shot from 5 ft (assist by B. Knight),2,7-10,,
8:21.0,,,7-10,,R. Felton misses 3-pt shot from 23 ft
8:20.0,Defensive rebound by P. Tucker,,7-10,,
8:08.0,B. Knight makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,10-10,,
7:52.0,,,10-12,2,D. Williams makes 2-pt shot from 8 ft
7:40.0,P. Tucker misses 2-pt shot from 13 ft,,10-12,,
7:40.0,,,10-12,,Defensive rebound by Z. Pachulia
7:24.0,,,10-12,,D. Williams misses 3-pt shot from 24 ft
7:23.0,Defensive rebound by A. Len,,10-12,,
7:09.0,A. Len misses 2-pt shot from 8 ft,,10-12,,
7:08.0,,,10-12,,Defensive rebound by R. Felton
6:56.0,,,10-14,2,W. Matthews makes 2-pt shot from 16 ft
6:42.0,B. Knight makes 3-pt shot from 27 ft (assist by J. Leuer),3,13-14,,
6:19.0,,,13-14,,D. Nowitzki misses 2-pt shot from 10 ft
6:19.0,Defensive rebound by A. Len,,13-14,,
6:19.0,Phoenix full timeout,,13-14,,
6:19.0,,,13-14,,C. Parsons enters the game for W. Matthews
6:19.0,,,13-14,,D. Powell enters the game for D. Nowitzki
6:19.0,R. Price enters the game for E. Bledsoe,,13-14,,
6:02.0,J. Leuer misses 2-pt shot from 1 ft,,13-14,,
6:01.0,,,13-14,,Defensive rebound by Z. Pachulia
5:51.0,,,13-14,,Turnover by D. Williams (bad pass)
5:36.0,J. Leuer makes 2-pt shot from 18 ft (assist by B. Knight),2,15-14,,
5:15.0,,,15-14,,R. Felton misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by P. Tucker,,15-14,,
5:02.0,Turnover by A. Len (lost ball; steal by Z. Pachulia),,15-14,,
4:59.0,,,15-14,,Turnover by Z. Pachulia (lost ball; steal by A. Len)
4:59.0,M. Teletovic enters the game for J. Leuer,,15-14,,
4:58.0,Turnover by A. Len (lost ball; steal by Z. Pachulia),,15-14,,
4:58.0,Jump ball: A. Len vs. D. Williams (C. Parsons gains possession),,,,Jump ball: A. Len vs. D. Williams (C. Parsons gains possession)
4:48.0,,,15-14,,Turnover by D. Williams (bad pass; steal by P. Tucker)
4:37.0,M. Teletovic misses 3-pt shot from 24 ft,,15-14,,
4:36.0,,,15-14,,Defensive rebound by C. Parsons
4:25.0,,,15-14,,D. Williams misses 3-pt shot from 23 ft
4:24.0,Defensive rebound by A. Len,,15-14,,
4:16.0,A. Len misses 2-pt shot from 3 ft,,15-14,,
4:15.0,,,15-14,,Defensive rebound by Z. Pachulia
4:08.0,,,15-14,,C. Parsons misses 3-pt shot from 24 ft
4:06.0,Defensive rebound by B. Knight,,15-14,,
3:54.0,B. Knight misses 2-pt shot from 3 ft,,15-14,,
3:53.0,,,15-14,,Defensive rebound by Z. Pachulia
3:45.0,,,15-14,,Shooting foul by M. Teletovic (drawn by C. Parsons)
3:45.0,,,15-15,1,C. Parsons makes free throw 1 of 2
3:45.0,,,15-15,,J. Barea enters the game for R. Felton
3:45.0,,,15-15,,D. Harris enters the game for D. Williams
3:45.0,T. Chandler enters the game for A. Len,,15-15,,
3:45.0,,,15-16,1,C. Parsons makes free throw 2 of 2
3:32.0,,,15-16,,Personal foul by C. Parsons (drawn by P. Tucker)
3:25.0,B. Knight misses 2-pt shot from 22 ft,,15-16,,
3:24.0,Offensive rebound by P. Tucker,,15-16,,
3:22.0,P. Tucker makes 2-pt shot at rim,2,17-16,,
