time,Sacramento,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. Z. Pachulia (D. Williams gains possession),,,,Jump ball: D. Cousins vs. Z. Pachulia (D. Williams gains possession)
11:33.0,,,0-0,,W. Matthews misses 2-pt shot from 21 ft
11:31.0,Defensive rebound by R. Rondo,,0-0,,
11:23.0,,,0-0,,Personal foul by Z. Pachulia (drawn by D. Cousins)
11:13.0,B. McLemore misses 3-pt shot from 26 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by D. Nowitzki
10:54.0,,,0-0,,D. Williams misses 3-pt shot from 24 ft
10:53.0,Defensive rebound by R. Gay,,0-0,,
10:51.0,Turnover by R. Gay (palming),,0-0,,
10:43.0,,,0-0,,C. Parsons misses 2-pt shot from 19 ft
10:42.0,Defensive rebound by D. Cousins,,0-0,,
10:34.0,B. McLemore misses 3-pt shot from 27 ft,,0-0,,
10:33.0,,,0-0,,Defensive rebound by D. Nowitzki
10:23.0,,,0-2,2,D. Nowitzki makes 2-pt shot from 12 ft (assist by W. Matthews)
10:06.0,D. Cousins misses 2-pt shot from 20 ft,,0-2,,
10:04.0,Offensive rebound by B. McLemore,,0-2,,
10:02.0,B. McLemore misses 2-pt shot from 3 ft,,0-2,,
10:01.0,,,0-2,,Defensive rebound by C. Parsons
9:48.0,,,0-2,,D. Nowitzki misses 2-pt shot from 12 ft
9:47.0,Defensive rebound by R. Gay,,0-2,,
9:38.0,B. McLemore misses 3-pt shot from 25 ft,,0-2,,
9:37.0,Offensive rebound by B. McLemore,,0-2,,
9:28.0,D. Cousins makes 2-pt shot from 1 ft,2,2-2,,
9:14.0,,,2-4,2,W. Matthews makes 2-pt shot from 1 ft
8:55.0,Q. Acy makes 2-pt shot from 15 ft (assist by R. Rondo),2,4-4,,
8:46.0,,,4-4,,D. Williams misses 2-pt shot from 18 ft
8:44.0,Defensive rebound by B. McLemore,,4-4,,
8:39.0,Offensive foul by Q. Acy,,4-4,,
8:39.0,Turnover by Q. Acy (offensive foul),,4-4,,
8:17.0,,,4-6,2,W. Matthews makes 2-pt shot from 11 ft
8:06.0,R. Rondo makes 2-pt shot from 1 ft (assist by D. Cousins),2,6-6,,
7:53.0,,,6-6,,Z. Pachulia misses 2-pt shot from 1 ft (block by D. Cousins)
7:50.0,Defensive rebound by Q. Acy,,6-6,,
7:45.0,R. Gay makes 2-pt shot from 23 ft (assist by R. Rondo),2,8-6,,
7:22.0,,,8-8,2,D. Nowitzki makes 2-pt shot from 2 ft (assist by D. Williams)
6:59.0,R. Rondo makes 2-pt shot from 5 ft,2,10-8,,
6:46.0,,,10-8,,C. Parsons misses 2-pt shot from 18 ft
6:45.0,,,10-8,,Offensive rebound by Z. Pachulia
