time,LA Lakers,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: R. Hibbert vs. D. Jordan (B. Griffin gains possession)
11:35.0,,,0-0,,B. Griffin misses 3-pt shot from 25 ft
11:34.0,Defensive rebound by J. Randle,,0-0,,
11:13.0,K. Bryant misses 2-pt shot from 21 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by L. Mbah a Moute
11:07.0,,,0-2,2,L. Mbah a Moute makes 2-pt shot at rim (assist by D. Jordan)
10:45.0,J. Randle misses 2-pt shot from 13 ft,,0-2,,
10:43.0,,,0-2,,Defensive rebound by D. Jordan
10:37.0,,,0-4,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
10:19.0,J. Clarkson misses 2-pt shot from 2 ft,,0-4,,
10:17.0,,,0-4,,Defensive rebound by J. Redick
10:11.0,,,0-6,2,C. Paul makes 2-pt shot from 11 ft (assist by L. Mbah a Moute)
9:56.0,D. Russell makes 2-pt shot from 10 ft,2,2-6,,
9:50.0,,,2-6,,Shooting foul by R. Hibbert (drawn by C. Paul)
9:50.0,,,2-7,1,C. Paul makes free throw 1 of 2
9:50.0,,,2-8,1,C. Paul makes free throw 2 of 2
9:26.0,D. Russell misses 2-pt shot from 2 ft,,2-8,,
9:25.0,,,2-8,,Defensive rebound by D. Jordan
9:19.0,,,2-11,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
9:07.0,K. Bryant misses 2-pt shot from 18 ft,,2-11,,
9:05.0,,,2-11,,Defensive rebound by D. Jordan
9:01.0,,,2-13,2,C. Paul makes 2-pt shot from 14 ft
8:53.0,LA Lakers full timeout,,2-13,,
8:43.0,J. Randle misses 2-pt shot from 21 ft,,2-13,,
8:42.0,,,2-13,,Defensive rebound by D. Jordan
8:35.0,Def 3 sec tech foul by J. Randle,,2-13,,
8:35.0,,,2-14,1,C. Paul makes technical free throw
8:27.0,,,2-14,,B. Griffin misses 2-pt shot from 4 ft
8:25.0,Defensive rebound by J. Randle,,2-14,,
8:17.0,K. Bryant misses 3-pt shot from 28 ft,,2-14,,
8:16.0,Offensive rebound by R. Hibbert,,2-14,,
8:09.0,J. Clarkson misses 3-pt shot from 25 ft,,2-14,,
8:08.0,,,2-14,,Defensive rebound by D. Jordan
7:58.0,,,2-16,2,C. Paul makes 2-pt shot from 9 ft
7:35.0,Turnover by K. Bryant (lost ball; steal by L. Mbah a Moute),,2-16,,
7:31.0,,,2-18,2,J. Redick makes 2-pt shot from 2 ft (assist by C. Paul)
7:17.0,K. Bryant misses 2-pt shot from 16 ft,,2-18,,
7:15.0,,,2-18,,Defensive rebound by J. Redick
7:11.0,,,2-18,,Shooting foul by R. Hibbert (drawn by L. Mbah a Moute)
7:11.0,,,2-18,,L. Mbah a Moute misses free throw 1 of 2
7:11.0,,,2-18,,Offensive rebound by Team
7:11.0,,,2-18,,L. Mbah a Moute misses free throw 2 of 2
7:11.0,Defensive rebound by J. Clarkson,,2-18,,
6:52.0,K. Bryant misses 2-pt shot from 5 ft,,2-18,,
6:51.0,,,2-18,,Defensive rebound by C. Paul
6:46.0,,,2-20,2,C. Paul makes 2-pt shot from 2 ft
6:35.0,Shooting foul by D. Jordan (drawn by D. Russell),,2-20,,
6:35.0,D. Russell makes free throw 1 of 2,1,3-20,,
6:35.0,M. Huertas enters the game for J. Clarkson,,3-20,,
6:35.0,T. Black enters the game for R. Hibbert,,3-20,,
6:35.0,,,3-20,,W. Johnson enters the game for B. Griffin
6:35.0,D. Russell makes free throw 2 of 2,1,4-20,,
6:25.0,,,4-20,,W. Johnson misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by T. Black,,4-20,,
6:15.0,,,4-20,,Personal foul by W. Johnson
6:05.0,D. Russell makes 3-pt shot from 23 ft (assist by J. Randle),3,7-20,,
5:44.0,,,7-22,2,C. Paul makes 2-pt shot from 18 ft (assist by J. Redick)
5:28.0,D. Russell misses 2-pt shot from 11 ft,,7-22,,
5:27.0,,,7-22,,Defensive rebound by Team
5:02.0,,,7-22,,Turnover by Team (shot clock)
4:52.0,K. Bryant misses 2-pt shot from 12 ft,,7-22,,
4:50.0,,,7-22,,Defensive rebound by W. Johnson
4:35.0,,,7-22,,W. Johnson misses 2-pt shot from 2 ft
4:32.0,Defensive rebound by K. Bryant,,7-22,,
4:28.0,J. Randle misses 2-pt shot from 1 ft (block by C. Paul),,7-22,,
4:24.0,Offensive rebound by D. Russell,,7-22,,
4:24.0,D. Russell misses 2-pt shot from 5 ft,,7-22,,
4:22.0,Offensive rebound by M. Huertas,,7-22,,
4:14.0,Shooting foul by J. Redick (drawn by K. Bryant),,7-22,,
4:14.0,K. Bryant makes free throw 1 of 2,1,8-22,,
4:14.0,,,8-22,,J. Crawford enters the game for J. Redick
4:14.0,,,8-22,,J. Green enters the game for L. Mbah a Moute
4:14.0,K. Bryant makes free throw 2 of 2,1,9-22,,
3:53.0,,,9-22,,C. Paul misses 3-pt shot from 26 ft
3:52.0,Defensive rebound by J. Randle,,9-22,,
3:47.0,Shooting foul by J. Green (drawn by J. Randle),,9-22,,
3:47.0,J. Randle makes free throw 1 of 2,1,10-22,,
3:47.0,M. World Peace enters the game for K. Bryant,,10-22,,
3:47.0,J. Randle makes free throw 2 of 2,1,11-22,,
3:31.0,,,11-24,2,J. Green makes 2-pt shot from 2 ft (assist by C. Paul)
3:15.0,M. World Peace misses 2-pt shot from 1 ft,,11-24,,
3:13.0,,,11-24,,Defensive rebound by W. Johnson
3:07.0,,,11-27,3,W. Johnson makes 3-pt shot from 25 ft (assist by C. Paul)
2:58.0,Turnover by D. Russell (lost ball; steal by J. Crawford),,11-27,,
2:57.0,Personal foul by M. World Peace,,11-27,,
2:57.0,,,11-27,,LA Clippers full timeout
2:57.0,R. Kelly enters the game for J. Randle,,11-27,,
2:57.0,,,11-27,,A. Rivers enters the game for C. Paul
2:38.0,Personal foul by M. Huertas,,11-27,,
2:28.0,,,11-27,,J. Crawford misses 2-pt shot from 18 ft
2:25.0,Defensive rebound by M. World Peace,,11-27,,
2:12.0,M. World Peace makes 2-pt shot from 2 ft,2,13-27,,
1:59.0,,,13-27,,A. Rivers misses 2-pt shot from 1 ft
1:57.0,,,13-27,,Offensive rebound by D. Jordan
1:57.0,,,13-27,,D. Jordan misses 2-pt shot from 1 ft
1:56.0,,,13-27,,Offensive rebound by D. Jordan
1:56.0,,,13-27,,D. Jordan misses 2-pt shot from 1 ft
1:55.0,Defensive rebound by M. World Peace,,13-27,,
1:49.0,M. Huertas misses 2-pt shot from 16 ft,,13-27,,
1:45.0,,,13-27,,Defensive rebound by D. Jordan
1:34.0,,,13-27,,Turnover by J. Crawford (lost ball)
1:34.0,,,13-27,,Loose ball foul by J. Crawford
1:34.0,,,13-27,,C. Aldrich enters the game for D. Jordan
1:34.0,M. World Peace makes free throw 1 of 2,1,14-27,,
1:34.0,M. World Peace makes free throw 2 of 2,1,15-27,,
1:15.0,,,15-27,,Shooting foul by R. Kelly (drawn by J. Green)
1:15.0,,,15-27,,J. Green misses free throw 1 of 2
1:15.0,,,15-27,,Offensive rebound by Team
1:15.0,,,15-28,1,J. Green makes free throw 2 of 2
1:00.0,R. Kelly makes 2-pt shot from 3 ft (assist by D. Russell),2,17-28,,
0:49.0,,,17-30,2,J. Green makes 2-pt shot from 1 ft
0:49.0,,,17-30,,Shooting foul by T. Black (drawn by J. Green)
0:49.0,,,17-31,1,J. Green makes free throw 1 of 1
0:41.0,D. Russell makes 2-pt shot from 2 ft (assist by M. Huertas),2,19-31,,
0:25.0,,,19-33,2,J. Green makes 2-pt shot from 17 ft
0:04.0,M. World Peace makes 3-pt shot from 24 ft (assist by M. Huertas),3,22-33,,
0:02.0,,,22-33,,J. Crawford misses 3-pt shot from 39 ft
0:00.0,,,22-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,T. Black misses 2-pt shot at rim (block by W. Johnson),,22-33,,
11:43.0,,,22-33,,Defensive rebound by C. Aldrich
11:28.0,,,22-35,2,C. Aldrich makes 2-pt shot at rim (assist by J. Crawford)
11:10.0,M. World Peace misses 2-pt shot from 18 ft,,22-35,,
11:07.0,Offensive rebound by T. Black,,22-35,,
11:07.0,T. Black makes 2-pt shot at rim,2,24-35,,
10:54.0,,,24-35,,W. Johnson misses 3-pt shot from 23 ft
10:53.0,,,24-35,,Offensive rebound by C. Aldrich
10:39.0,,,24-35,,J. Green misses 2-pt shot from 19 ft
10:37.0,Defensive rebound by M. Huertas,,24-35,,
10:27.0,Shooting foul by J. Crawford (drawn by R. Kelly),,24-35,,
10:27.0,R. Kelly makes free throw 1 of 2,1,25-35,,
10:27.0,R. Kelly makes free throw 2 of 2,1,26-35,,
10:20.0,,,26-35,,Shooting foul by J. Clarkson (drawn by A. Rivers)
10:20.0,,,26-36,1,A. Rivers makes free throw 1 of 2
10:20.0,,,26-36,,A. Rivers misses free throw 2 of 2
10:17.0,Defensive rebound by M. World Peace,,26-36,,
10:07.0,Turnover by M. Huertas (lost ball; steal by J. Green),,26-36,,
9:52.0,,,26-36,,C. Aldrich misses 2-pt shot from 12 ft
9:49.0,Defensive rebound by M. Huertas,,26-36,,
9:37.0,J. Clarkson makes 2-pt shot from 2 ft,2,28-36,,
9:18.0,,,28-39,3,A. Rivers makes 3-pt shot from 24 ft (assist by C. Aldrich)
9:03.0,Shooting foul by J. Green (drawn by M. World Peace),,28-39,,
9:03.0,M. World Peace makes free throw 1 of 2,1,29-39,,
9:03.0,,,29-39,,B. Griffin enters the game for W. Johnson
9:03.0,M. World Peace misses free throw 2 of 2,,29-39,,
9:02.0,,,29-39,,Defensive rebound by C. Aldrich
8:48.0,,,29-39,,Turnover by B. Griffin (lost ball; steal by M. World Peace)
8:44.0,M. World Peace makes 2-pt shot at rim,2,31-39,,
8:24.0,,,31-39,,J. Crawford misses 3-pt shot from 25 ft
8:23.0,Defensive rebound by Team,,31-39,,
8:23.0,Official timeout,,31-39,,
8:23.0,J. Randle enters the game for M. World Peace,,31-39,,
8:10.0,R. Kelly misses 3-pt shot from 24 ft,,31-39,,
