time,Cleveland,pts.away,score,pts.home,Houston
6:20.0,T. Thompson makes 2-pt shot from 7 ft (assist by L. James),2,80-61,,
6:04.0,,,80-64,3,P. Beverley makes 3-pt shot from 24 ft (assist by T. Jones)
5:35.0,K. Irving misses 3-pt shot from 25 ft,,80-64,,
5:35.0,Offensive rebound by T. Thompson,,80-64,,
5:22.0,Shooting foul by P. Beverley (drawn by K. Irving),,80-64,,
5:22.0,K. Irving misses free throw 1 of 2,,80-64,,
5:22.0,Offensive rebound by Team,,80-64,,
5:22.0,K. Irving makes free throw 2 of 2,1,81-64,,
5:10.0,,,81-66,2,M. Harrell makes 2-pt shot from 4 ft (assist by J. Harden)
4:58.0,K. Irving makes 2-pt shot from 1 ft,2,83-66,,
4:48.0,Personal foul by K. Love (drawn by P. Beverley),,83-66,,
4:38.0,,,83-68,2,T. Jones makes 2-pt shot from 3 ft (assist by M. Harrell)
4:16.0,L. James makes 2-pt shot from 1 ft (assist by I. Shumpert),2,85-68,,
4:05.0,,,85-68,,Turnover by J. Harden (bad pass; steal by K. Love)
4:03.0,,,85-68,,Personal foul by T. Jones (drawn by L. James)
4:03.0,L. James misses free throw 1 of 2,,85-68,,
4:03.0,Offensive rebound by Team,,85-68,,
4:03.0,,,85-68,,M. Thornton enters the game for J. Harden
4:03.0,,,85-68,,K. McDaniels enters the game for T. Jones
4:03.0,L. James makes free throw 2 of 2,1,86-68,,
3:49.0,,,86-68,,M. Harrell misses 2-pt shot from 2 ft
3:48.0,Defensive rebound by K. Love,,86-68,,
3:38.0,K. Irving misses 2-pt shot from 2 ft,,86-68,,
3:37.0,Offensive rebound by T. Thompson,,86-68,,
3:37.0,T. Thompson makes 2-pt shot at rim,2,88-68,,
3:24.0,,,88-70,2,M. Harrell makes 2-pt shot at rim (assist by T. Ariza)
3:15.0,,,88-70,,Personal take foul by P. Beverley (drawn by K. Irving)
3:15.0,K. Irving makes free throw 1 of 2,1,89-70,,
3:15.0,,,89-70,,J. Terry enters the game for P. Beverley
3:15.0,,,89-70,,T. Jones enters the game for T. Ariza
3:15.0,M. Dellavedova enters the game for L. James,,89-70,,
3:15.0,K. Irving makes free throw 2 of 2,1,90-70,,
3:00.0,,,90-70,,Turnover by T. Jones (traveling)
3:00.0,J. Cunningham enters the game for K. Irving,,90-70,,
2:45.0,J. Cunningham misses 3-pt shot from 23 ft,,90-70,,
2:44.0,,,90-70,,Defensive rebound by M. Harrell
2:32.0,,,90-70,,T. Jones misses 3-pt shot from 24 ft
2:31.0,Defensive rebound by T. Thompson,,90-70,,
2:19.0,K. Love misses 3-pt shot from 25 ft,,90-70,,
2:18.0,,,90-70,,Defensive rebound by K. McDaniels
2:09.0,,,90-72,2,K. McDaniels makes 2-pt shot from 3 ft
2:09.0,Cleveland full timeout,,90-72,,
2:09.0,S. Kaun enters the game for K. Love,,90-72,,
2:09.0,R. Jefferson enters the game for T. Thompson,,90-72,,
1:56.0,,,90-72,,Personal foul by K. McDaniels (drawn by M. Dellavedova)
1:56.0,M. Dellavedova misses free throw 1 of 2,,90-72,,
1:56.0,Offensive rebound by Team,,90-72,,
1:56.0,M. Dellavedova makes free throw 2 of 2,1,91-72,,
1:40.0,,,91-72,,Turnover by T. Jones (bad pass)
1:13.0,J. Cunningham misses 2-pt shot from 3 ft (block by J. Terry),,91-72,,
1:12.0,,,91-72,,Defensive rebound by K. McDaniels
1:11.0,,,91-72,,Shooting foul by J. Cunningham (drawn by M. Harrell)
1:11.0,,,91-73,1,M. Harrell makes free throw 1 of 2
1:11.0,,,91-74,1,M. Harrell makes free throw 2 of 2
0:59.0,Turnover by M. Dellavedova (bad pass),,91-74,,
0:57.0,,,91-74,,J. Terry misses 3-pt shot from 25 ft
0:57.0,,,91-74,,Offensive rebound by M. Harrell
0:57.0,,,91-76,2,K. McDaniels makes 2-pt shot at rim
0:42.0,I. Shumpert misses 3-pt shot from 26 ft,,91-76,,
0:42.0,Offensive rebound by S. Kaun,,91-76,,
0:42.0,,,91-76,,Personal foul by T. Jones (drawn by S. Kaun)
0:42.0,S. Kaun misses free throw 1 of 2,,91-76,,
0:42.0,Offensive rebound by Team,,91-76,,
0:42.0,S. Kaun misses free throw 2 of 2,,91-76,,
0:42.0,,,91-76,,Defensive rebound by K. McDaniels
0:25.0,,,91-76,,Shooting foul by R. Jefferson (drawn by M. Harrell)
0:25.0,,,91-76,,M. Harrell misses free throw 1 of 2
0:25.0,,,91-76,,Offensive rebound by Team
0:25.0,,,91-77,1,M. Harrell makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
