time,Charlotte,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. K. Towns (A. Payne gains possession),,,,Jump ball: A. Jefferson vs. K. Towns (A. Payne gains possession)
11:37.0,,,0-2,2,K. Towns makes 2-pt shot from 17 ft (assist by K. Martin)
11:19.0,P. Hairston makes 3-pt shot from 24 ft (assist by A. Jefferson),3,3-2,,
11:05.0,,,3-4,2,K. Towns makes 2-pt shot from 17 ft (assist by A. Payne)
10:55.0,Offensive foul by A. Jefferson,,3-4,,
10:55.0,Turnover by A. Jefferson (offensive foul),,3-4,,
10:44.0,,,3-4,,K. Towns misses 2-pt shot from 7 ft
10:43.0,Defensive rebound by A. Jefferson,,3-4,,
10:38.0,Offensive foul by M. Williams,,3-4,,
10:38.0,Turnover by M. Williams (offensive foul),,3-4,,
10:23.0,,,3-7,3,Z. LaVine makes 3-pt shot from 25 ft (assist by K. Towns)
10:08.0,A. Jefferson misses 2-pt shot at rim,,3-7,,
10:07.0,,,3-7,,Defensive rebound by T. Prince
10:02.0,,,3-9,2,Z. LaVine makes 2-pt shot at rim (assist by T. Prince)
9:45.0,A. Jefferson misses 2-pt shot from 7 ft,,3-9,,
9:42.0,,,3-9,,Defensive rebound by T. Prince
9:36.0,,,3-12,3,K. Martin makes 3-pt shot from 24 ft (assist by T. Prince)
9:16.0,N. Batum misses 2-pt shot from 2 ft (block by K. Towns),,3-12,,
9:14.0,,,3-12,,Defensive rebound by K. Towns
9:11.0,,,3-12,,Shooting foul by P. Hairston (drawn by K. Towns)
9:11.0,,,3-13,1,K. Towns makes free throw 1 of 2
9:11.0,,,3-14,1,K. Towns makes free throw 2 of 2
8:53.0,N. Batum makes 3-pt shot from 22 ft (assist by K. Walker),3,6-14,,
8:36.0,,,6-14,,Z. LaVine misses 2-pt shot from 7 ft
8:35.0,Defensive rebound by M. Williams,,6-14,,
8:22.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,9-14,,
8:08.0,,,9-14,,K. Towns misses 3-pt shot from 24 ft
8:07.0,Defensive rebound by M. Williams,,9-14,,
