time,Sacramento,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. H. Whiteside (C. Bosh gains possession),,,,Jump ball: K. Koufos vs. H. Whiteside (C. Bosh gains possession)
11:38.0,,,0-2,2,D. Wade makes 2-pt shot from 12 ft
11:16.0,K. Koufos makes 2-pt shot from 8 ft (assist by R. Rondo),2,2-2,,
10:45.0,,,2-2,,H. Whiteside misses 2-pt shot from 7 ft
10:44.0,,,2-2,,Offensive rebound by G. Dragic
10:42.0,,,2-2,,G. Dragic misses 2-pt shot at rim
10:41.0,Defensive rebound by R. Gay,,2-2,,
10:33.0,O. Casspi misses 3-pt shot from 23 ft,,2-2,,
10:32.0,,,2-2,,Defensive rebound by C. Bosh
10:20.0,,,2-2,,D. Wade misses 2-pt shot from 8 ft
10:19.0,Defensive rebound by Team,,2-2,,
10:05.0,Shooting foul by H. Whiteside (drawn by K. Koufos),,2-2,,
10:05.0,K. Koufos misses free throw 1 of 2,,2-2,,
10:05.0,Offensive rebound by Team,,2-2,,
10:05.0,K. Koufos misses free throw 2 of 2,,2-2,,
10:04.0,,,2-2,,Defensive rebound by C. Bosh
9:44.0,,,2-2,,G. Dragic misses 3-pt shot from 23 ft
9:43.0,Defensive rebound by R. Gay,,2-2,,
9:38.0,B. McLemore makes 2-pt shot from 1 ft (assist by R. Gay),2,4-2,,
9:20.0,,,4-2,,L. Deng misses 2-pt shot from 5 ft
9:19.0,Defensive rebound by K. Koufos,,4-2,,
9:03.0,R. Gay misses 2-pt shot from 10 ft,,4-2,,
9:02.0,,,4-2,,Defensive rebound by C. Bosh
8:49.0,,,4-2,,D. Wade misses 2-pt shot from 9 ft
8:48.0,Defensive rebound by R. Rondo,,4-2,,
8:38.0,K. Koufos makes 2-pt shot from 6 ft (assist by R. Rondo),2,6-2,,
8:29.0,Personal foul by R. Rondo (drawn by G. Dragic),,6-2,,
8:18.0,,,6-2,,L. Deng misses 3-pt shot from 24 ft
8:17.0,Defensive rebound by Team,,6-2,,
8:17.0,,,6-2,,Loose ball foul by H. Whiteside (drawn by R. Rondo)
