time,Golden State,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: F. Ezeli vs. K. Koufos (Q. Acy gains possession),,,,Jump ball: F. Ezeli vs. K. Koufos (Q. Acy gains possession)
11:40.0,,,0-0,,R. Gay misses 2-pt shot from 9 ft
11:39.0,,,0-0,,Offensive rebound by Team
11:35.0,,,0-0,,K. Koufos misses 2-pt shot from 12 ft
11:35.0,Defensive rebound by H. Barnes,,0-0,,
11:21.0,F. Ezeli makes 2-pt shot from 2 ft (assist by H. Barnes),2,2-0,,
11:13.0,,,2-3,3,R. Gay makes 3-pt shot from 24 ft (assist by R. Rondo)
11:00.0,Turnover by D. Green (bad pass),,2-3,,
10:46.0,,,2-3,,R. Gay misses 2-pt shot from 16 ft
10:46.0,Defensive rebound by F. Ezeli,,2-3,,
10:36.0,K. Thompson misses 2-pt shot from 15 ft,,2-3,,
10:35.0,,,2-3,,Defensive rebound by R. Gay
10:27.0,,,2-3,,Turnover by Q. Acy (lost ball)
10:06.0,F. Ezeli misses 2-pt shot from 6 ft,,2-3,,
10:06.0,Offensive rebound by Team,,2-3,,
10:02.0,D. Green misses 3-pt shot from 23 ft,,2-3,,
10:00.0,,,2-3,,Defensive rebound by R. Rondo
9:52.0,,,2-5,2,R. Rondo makes 2-pt shot from 7 ft (assist by Q. Acy)
9:24.0,F. Ezeli misses 2-pt shot from 17 ft,,2-5,,
9:24.0,,,2-5,,Defensive rebound by R. Gay
9:13.0,,,2-5,,R. Gay misses 2-pt shot from 5 ft
9:12.0,Defensive rebound by D. Green,,2-5,,
9:03.0,H. Barnes misses 3-pt shot from 25 ft,,2-5,,
9:02.0,,,2-5,,Defensive rebound by R. Rondo
8:54.0,,,2-5,,J. Anderson misses 3-pt shot from 25 ft
8:54.0,Defensive rebound by Team,,2-5,,
8:45.0,S. Curry misses 3-pt shot from 27 ft,,2-5,,
8:45.0,,,2-5,,Defensive rebound by K. Koufos
8:36.0,,,2-7,2,K. Koufos makes 2-pt shot from 7 ft (assist by J. Anderson)
8:24.0,K. Thompson misses 3-pt shot from 24 ft,,2-7,,
8:23.0,Offensive rebound by F. Ezeli,,2-7,,
8:22.0,F. Ezeli misses 2-pt shot from 4 ft (block by Q. Acy),,2-7,,
8:22.0,Offensive rebound by Team,,2-7,,
8:19.0,H. Barnes makes 2-pt shot at rim (assist by S. Curry),2,4-7,,
