time,Memphis,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Gobert (M. Conley gains possession),,,,Jump ball: M. Gasol vs. R. Gobert (M. Conley gains possession)
11:33.0,M. Conley makes 3-pt shot from 24 ft (assist by M. Gasol),3,3-0,,
11:06.0,,,3-0,,D. Favors misses 2-pt shot from 19 ft
11:06.0,Defensive rebound by T. Allen,,3-0,,
10:59.0,T. Allen misses 2-pt shot from 3 ft (block by R. Gobert),,3-0,,
10:59.0,Offensive rebound by Team,,3-0,,
10:50.0,M. Conley makes 2-pt shot from 21 ft (assist by M. Gasol),2,5-0,,
10:38.0,,,5-0,,R. Neto misses 3-pt shot from 23 ft
10:38.0,Defensive rebound by T. Allen,,5-0,,
10:27.0,T. Allen misses 2-pt shot from 2 ft (block by G. Hayward),,5-0,,
10:26.0,,,5-0,,Defensive rebound by R. Gobert
10:18.0,,,5-2,2,R. Gobert makes 2-pt shot at rim (assist by R. Neto)
10:07.0,Z. Randolph makes 2-pt shot from 18 ft (assist by M. Conley),2,7-2,,
9:50.0,,,7-2,,Shooting foul by T. Allen (drawn by G. Hayward)
9:50.0,,,7-2,,G. Hayward misses free throw 1 of 2
9:50.0,,,7-2,,Offensive rebound by Team
9:50.0,,,7-3,1,G. Hayward makes free throw 2 of 2
9:35.0,M. Conley makes 2-pt shot from 13 ft,2,9-3,,
9:21.0,,,9-3,,Turnover by R. Neto (bad pass)
9:02.0,M. Gasol misses 2-pt shot from 11 ft,,9-3,,
9:01.0,,,9-3,,Defensive rebound by R. Neto
8:50.0,,,9-5,2,D. Favors makes 2-pt shot from 7 ft (assist by G. Hayward)
8:31.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Conley),2,11-5,,
8:07.0,,,11-5,,R. Neto misses 2-pt shot from 3 ft
8:07.0,Defensive rebound by M. Gasol,,11-5,,
8:06.0,Turnover by M. Gasol (bad pass),,11-5,,
7:59.0,,,11-5,,Turnover by R. Hood (bad pass)
7:43.0,C. Lee misses 2-pt shot from 13 ft,,11-5,,
7:41.0,Offensive rebound by T. Allen,,11-5,,
7:38.0,T. Allen misses 2-pt shot from 1 ft (block by R. Gobert),,11-5,,
7:36.0,,,11-5,,Defensive rebound by R. Hood
7:36.0,,,11-5,,R. Neto misses 3-pt shot from 23 ft
7:28.0,Defensive rebound by T. Allen,,11-5,,
7:18.0,Turnover by M. Conley (lost ball),,11-5,,
6:56.0,,,11-5,,D. Favors misses 2-pt shot from 9 ft
6:56.0,Defensive rebound by M. Conley,,11-5,,
6:43.0,M. Gasol misses 2-pt shot from 3 ft,,11-5,,
6:42.0,,,11-5,,Defensive rebound by G. Hayward
6:34.0,Jump ball: M. Gasol vs. G. Hayward (R. Hood gains possession),,,,Jump ball: M. Gasol vs. G. Hayward (R. Hood gains possession)
6:24.0,,,11-5,,G. Hayward misses 3-pt shot from 23 ft
6:23.0,Defensive rebound by C. Lee,,11-5,,
6:15.0,M. Conley misses 2-pt shot from 11 ft,,11-5,,
6:14.0,Offensive rebound by T. Allen,,11-5,,
6:06.0,C. Lee misses 3-pt shot from 24 ft,,11-5,,
6:06.0,,,11-5,,Defensive rebound by Team
6:05.0,,,11-5,,Utah full timeout
6:05.0,B. Wright enters the game for T. Allen,,11-5,,
6:05.0,M. Barnes enters the game for Z. Randolph,,11-5,,
5:49.0,,,11-5,,R. Hood misses 3-pt shot from 23 ft
5:49.0,,,11-5,,Offensive rebound by D. Favors
5:40.0,,,11-5,,Turnover by R. Gobert (3 sec)
5:26.0,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley),2,13-5,,
5:14.0,,,13-8,3,G. Hayward makes 3-pt shot from 24 ft
4:53.0,Turnover by M. Barnes (bad pass; steal by D. Favors),,13-8,,
4:46.0,,,13-8,,Shooting foul by B. Wright (drawn by G. Hayward)
4:46.0,,,13-9,1,G. Hayward makes free throw 1 of 2
4:46.0,,,13-9,,T. Burke enters the game for R. Neto
4:46.0,,,13-9,,A. Burks enters the game for R. Hood
4:46.0,,,13-10,1,G. Hayward makes free throw 2 of 2
4:27.0,M. Gasol makes 2-pt shot from 5 ft,2,15-10,,
4:00.0,,,15-13,3,G. Hayward makes 3-pt shot from 22 ft (assist by A. Burks)
3:39.0,M. Gasol misses 2-pt shot from 17 ft,,15-13,,
3:39.0,,,15-13,,Defensive rebound by T. Burke
3:21.0,,,15-13,,Turnover by T. Burke (bad pass; steal by B. Wright)
3:12.0,Memphis full timeout,,15-13,,
3:12.0,J. Green enters the game for M. Gasol,,15-13,,
3:12.0,B. Udrih enters the game for M. Conley,,15-13,,
3:12.0,,,15-13,,T. Booker enters the game for D. Favors
2:57.0,B. Udrih makes 2-pt shot from 12 ft,2,17-13,,
2:39.0,,,17-16,3,T. Burke makes 3-pt shot from 24 ft (assist by G. Hayward)
2:20.0,B. Wright misses 2-pt shot from 5 ft,,17-16,,
2:19.0,,,17-16,,Defensive rebound by T. Booker
2:09.0,,,17-16,,T. Burke misses 2-pt shot from 19 ft
2:08.0,Defensive rebound by C. Lee,,17-16,,
