time,Oklahoma City,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Johnson (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. A. Johnson (S. Ibaka gains possession)
11:46.0,K. Durant makes 3-pt shot from 25 ft (assist by R. Westbrook),3,3-0,,
11:30.0,,,3-2,2,A. Johnson makes 2-pt shot from 5 ft (assist by A. Bradley)
11:13.0,K. Durant makes 2-pt shot from 2 ft,2,5-2,,
10:56.0,,,5-2,,J. Sullinger misses 2-pt shot from 14 ft
10:55.0,Defensive rebound by R. Westbrook,,5-2,,
10:42.0,K. Durant makes 2-pt shot from 14 ft,2,7-2,,
10:24.0,,,7-2,,A. Bradley misses 2-pt shot from 18 ft
10:23.0,,,7-2,,Offensive rebound by A. Johnson
10:21.0,,,7-2,,A. Johnson misses 2-pt shot from 1 ft
10:20.0,Defensive rebound by Team,,7-2,,
10:13.0,Turnover by R. Westbrook (bad pass),,7-2,,
10:05.0,,,7-2,,I. Thomas misses 3-pt shot from 23 ft
10:04.0,Defensive rebound by A. Roberson,,7-2,,
9:52.0,R. Westbrook makes 2-pt shot from 8 ft,2,9-2,,
9:34.0,,,9-2,,J. Sullinger misses 2-pt shot from 6 ft
9:33.0,Defensive rebound by K. Durant,,9-2,,
9:15.0,S. Ibaka misses 2-pt shot from 15 ft,,9-2,,
9:14.0,,,9-2,,Defensive rebound by I. Thomas
9:07.0,,,9-4,2,I. Thomas makes 2-pt shot from 1 ft
8:53.0,K. Durant misses 2-pt shot from 1 ft,,9-4,,
8:52.0,Offensive rebound by K. Durant,,9-4,,
8:52.0,K. Durant misses 2-pt shot from 1 ft,,9-4,,
8:51.0,,,9-4,,Defensive rebound by M. Smart
8:51.0,Personal foul by K. Durant,,9-4,,
8:37.0,,,9-4,,A. Bradley misses 2-pt shot from 18 ft
8:36.0,Defensive rebound by R. Westbrook,,9-4,,
8:27.0,S. Ibaka misses 3-pt shot from 24 ft,,9-4,,
8:26.0,,,9-4,,Defensive rebound by A. Bradley
8:16.0,,,9-6,2,J. Sullinger makes 2-pt shot from 5 ft
8:03.0,R. Westbrook makes 2-pt shot from 1 ft,2,11-6,,
7:48.0,,,11-6,,Turnover by A. Bradley (lost ball; steal by S. Adams)
7:41.0,R. Westbrook makes 2-pt shot from 2 ft,2,13-6,,
7:22.0,,,13-6,,I. Thomas misses 2-pt shot from 2 ft
7:21.0,Defensive rebound by S. Adams,,13-6,,
7:09.0,K. Durant makes 2-pt shot from 5 ft,2,15-6,,
6:59.0,,,15-6,,Turnover by I. Thomas (lost ball; steal by S. Ibaka)
6:50.0,S. Ibaka makes 3-pt shot from 24 ft (assist by R. Westbrook),3,18-6,,
6:50.0,,,18-6,,Boston full timeout
6:25.0,,,18-6,,I. Thomas misses 2-pt shot from 15 ft
6:25.0,,,18-6,,Offensive rebound by A. Johnson
6:21.0,,,18-9,3,I. Thomas makes 3-pt shot from 23 ft (assist by A. Johnson)
6:09.0,Shooting foul by I. Thomas (drawn by K. Durant),,18-9,,
6:09.0,K. Durant makes free throw 1 of 2,1,19-9,,
6:09.0,K. Durant misses free throw 2 of 2,,19-9,,
6:09.0,,,19-9,,Defensive rebound by A. Johnson
6:02.0,Personal foul by S. Adams,,19-9,,
6:02.0,K. Singler enters the game for K. Durant,,19-9,,
5:53.0,,,19-9,,A. Bradley misses 2-pt shot from 22 ft
5:52.0,,,19-9,,Offensive rebound by M. Smart
5:51.0,,,19-9,,M. Smart misses 2-pt shot from 1 ft
5:50.0,,,19-9,,Offensive rebound by J. Sullinger
5:50.0,,,19-11,2,J. Sullinger makes 2-pt shot from 1 ft
5:39.0,R. Westbrook makes 2-pt shot at rim,2,21-11,,
5:24.0,,,21-11,,M. Smart misses 2-pt shot from 4 ft (block by A. Roberson)
5:22.0,,,21-11,,Offensive rebound by M. Smart
5:19.0,,,21-13,2,M. Smart makes 2-pt shot from 1 ft
5:03.0,S. Ibaka makes 2-pt shot from 13 ft (assist by K. Singler),2,23-13,,
4:47.0,,,23-15,2,A. Johnson makes 2-pt shot from 1 ft (assist by A. Bradley)
4:47.0,,,23-15,,Shooting foul by S. Ibaka (drawn by A. Johnson)
4:47.0,,,23-15,,K. Olynyk enters the game for M. Smart
4:47.0,,,23-15,,E. Turner enters the game for J. Sullinger
4:47.0,E. Kanter enters the game for S. Adams,,23-15,,
4:47.0,,,23-16,1,A. Johnson makes free throw 1 of 1
4:37.0,Offensive charge foul by R. Westbrook,,23-16,,
4:37.0,Turnover by R. Westbrook (offensive foul),,23-16,,
4:37.0,R. Foye enters the game for A. Roberson,,23-16,,
4:23.0,,,23-18,2,I. Thomas makes 2-pt shot at rim
4:14.0,,,23-18,,Personal foul by A. Bradley
4:05.0,E. Kanter makes 2-pt shot from 13 ft (assist by R. Westbrook),2,25-18,,
3:49.0,,,25-20,2,A. Bradley makes 2-pt shot from 1 ft (assist by A. Johnson)
3:37.0,R. Westbrook makes 3-pt shot from 25 ft,3,28-20,,
3:31.0,,,28-22,2,I. Thomas makes 2-pt shot from 1 ft
3:24.0,Oklahoma City full timeout,,28-22,,
3:13.0,E. Kanter misses 2-pt shot from 2 ft (block by A. Johnson),,28-22,,
3:12.0,,,28-22,,Defensive rebound by A. Johnson
3:01.0,,,28-24,2,A. Johnson makes 2-pt shot at rim (assist by K. Olynyk)
2:42.0,Turnover by S. Ibaka (lost ball; steal by A. Bradley),,28-24,,
2:24.0,,,28-26,2,A. Bradley makes 2-pt shot from 2 ft
2:00.0,R. Westbrook misses 3-pt shot from 24 ft,,28-26,,
1:59.0,Offensive rebound by E. Kanter,,28-26,,
1:58.0,K. Durant enters the game for R. Westbrook,,28-26,,
1:58.0,C. Payne enters the game for S. Ibaka,,28-26,,
1:58.0,,,28-26,,J. Young enters the game for I. Thomas
1:40.0,C. Payne misses 2-pt shot from 8 ft,,28-26,,
1:40.0,Offensive rebound by Team,,28-26,,
1:40.0,,,28-26,,Loose ball foul by A. Johnson
1:40.0,,,28-26,,T. Zeller enters the game for A. Johnson
1:31.0,K. Singler makes 2-pt shot from 3 ft (assist by C. Payne),2,30-26,,
1:21.0,,,30-26,,Shooting foul by C. Payne (drawn by A. Bradley)
1:21.0,,,30-27,1,A. Bradley makes free throw 1 of 2
1:21.0,,,30-27,,A. Bradley misses free throw 2 of 2
1:21.0,Defensive rebound by K. Durant,,30-27,,
1:04.0,R. Foye makes 3-pt shot from 24 ft (assist by K. Durant),3,33-27,,
0:49.0,,,33-27,,K. Olynyk misses 3-pt shot from 24 ft (block by K. Durant)
0:47.0,,,33-27,,Offensive rebound by K. Olynyk
0:46.0,,,33-27,,K. Olynyk misses 2-pt shot from 2 ft (block by E. Kanter)
0:45.0,,,33-27,,Offensive rebound by A. Bradley
0:43.0,,,33-29,2,A. Bradley makes 2-pt shot from 2 ft
0:29.0,,,33-29,,Personal foul by J. Young
0:29.0,K. Durant makes free throw 1 of 2,1,34-29,,
0:29.0,K. Durant makes free throw 2 of 2,1,35-29,,
0:19.0,Personal foul by K. Durant,,35-29,,
0:19.0,,,35-29,,K. Olynyk misses free throw 1 of 2
0:19.0,,,35-29,,Offensive rebound by Team
0:19.0,,,35-30,1,K. Olynyk makes free throw 2 of 2
0:03.0,K. Durant misses 3-pt shot from 25 ft,,35-30,,
0:02.0,Offensive rebound by Team,,35-30,,
0:00.0,K. Durant misses 2-pt shot from 19 ft,,35-30,,
0:00.0,Offensive rebound by Team,,35-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,35-30,,Turnover by K. Olynyk (lost ball; steal by K. Singler)
11:43.0,C. Payne misses 3-pt shot from 24 ft,,35-30,,
11:42.0,,,35-30,,Defensive rebound by M. Smart
11:28.0,,,35-30,,Shooting foul by R. Foye (drawn by K. Olynyk)
11:28.0,,,35-31,1,K. Olynyk makes free throw 1 of 2
