time,Philadelphia,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Noel (J. Okafor gains possession),,,,Jump ball: M. Gortat vs. N. Noel (J. Okafor gains possession)
11:47.0,Turnover by N. Noel (lost ball),,0-0,,
11:25.0,,,0-2,2,M. Gortat makes 2-pt shot at rim (assist by J. Dudley)
11:11.0,R. Covington misses 3-pt shot from 27 ft,,0-2,,
11:10.0,,,0-2,,Defensive rebound by J. Wall
10:53.0,,,0-2,,M. Gortat misses 2-pt shot from 6 ft
10:52.0,Defensive rebound by N. Stauskas,,0-2,,
10:44.0,J. Okafor misses 2-pt shot from 18 ft,,0-2,,
10:43.0,,,0-2,,Defensive rebound by J. Dudley
10:38.0,Personal foul by N. Noel (drawn by M. Gortat),,0-2,,
10:30.0,,,0-2,,M. Gortat misses 2-pt shot from 4 ft
10:29.0,Defensive rebound by J. Okafor,,0-2,,
10:20.0,I. Smith misses 2-pt shot at rim (block by J. Wall),,0-2,,
10:19.0,,,0-2,,Defensive rebound by J. Dudley
10:14.0,,,0-2,,B. Beal misses 3-pt shot from 26 ft
10:12.0,Defensive rebound by J. Okafor,,0-2,,
10:00.0,J. Okafor makes 2-pt shot from 13 ft,2,2-2,,
9:46.0,,,2-4,2,J. Wall makes 2-pt shot at rim
9:24.0,N. Noel misses 2-pt shot from 6 ft,,2-4,,
9:23.0,Offensive rebound by R. Covington,,2-4,,
9:16.0,I. Smith makes 2-pt shot from 16 ft (assist by N. Stauskas),2,4-4,,
8:54.0,,,4-7,3,J. Dudley makes 3-pt shot from 25 ft (assist by J. Wall)
8:46.0,I. Smith misses 2-pt shot from 5 ft,,4-7,,
8:45.0,,,4-7,,Defensive rebound by J. Wall
8:40.0,,,4-7,,J. Wall misses 2-pt shot from 16 ft
8:38.0,,,4-7,,Offensive rebound by M. Gortat
8:32.0,Personal foul by N. Stauskas (drawn by M. Gortat),,4-7,,
8:30.0,,,4-7,,B. Beal misses 2-pt shot from 2 ft (block by R. Covington)
8:27.0,,,4-7,,Offensive rebound by B. Beal
8:23.0,,,4-9,2,B. Beal makes 2-pt shot from 1 ft
8:23.0,,,4-9,,Shooting foul by R. Covington (drawn by B. Beal)
8:23.0,,,4-10,1,B. Beal makes free throw 1 of 1
8:06.0,I. Smith makes 2-pt shot from 16 ft (assist by N. Stauskas),2,6-10,,
7:59.0,,,6-12,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
7:48.0,J. Okafor misses 2-pt shot from 5 ft,,6-12,,
7:47.0,,,6-12,,Defensive rebound by O. Porter
7:40.0,Personal foul by J. Okafor (drawn by M. Gortat),,6-12,,
7:26.0,,,6-14,2,B. Beal makes 2-pt shot from 6 ft
7:14.0,N. Stauskas misses 3-pt shot from 24 ft,,6-14,,
7:13.0,,,6-14,,Defensive rebound by M. Gortat
6:51.0,,,6-17,3,J. Wall makes 3-pt shot from 25 ft
6:50.0,Philadelphia full timeout,,6-17,,
6:50.0,J. Grant enters the game for N. Noel,,6-17,,
6:34.0,I. Smith misses 2-pt shot from 20 ft,,6-17,,
6:32.0,Offensive rebound by J. Okafor,,6-17,,
6:32.0,J. Okafor makes 2-pt shot from 1 ft,2,8-17,,
6:32.0,Shooting foul by M. Gortat (drawn by J. Okafor),,8-17,,
6:32.0,J. Okafor makes free throw 1 of 1,1,9-17,,
6:08.0,,,9-17,,O. Porter misses 2-pt shot from 1 ft
6:08.0,,,9-17,,Offensive rebound by M. Gortat
6:08.0,,,9-17,,Turnover by Team (shot clock)
5:45.0,J. Grant makes 3-pt shot from 23 ft (assist by I. Smith),3,12-17,,
5:33.0,,,12-19,2,B. Beal makes 2-pt shot from 11 ft
5:33.0,,,12-19,,Shooting foul by J. Grant (drawn by B. Beal)
5:33.0,H. Thompson enters the game for N. Stauskas,,12-19,,
5:33.0,,,12-19,,G. Temple enters the game for O. Porter
5:33.0,,,12-20,1,B. Beal makes free throw 1 of 1
5:19.0,I. Smith misses 3-pt shot from 24 ft,,12-20,,
5:18.0,,,12-20,,Defensive rebound by M. Gortat
4:58.0,,,12-22,2,M. Gortat makes 2-pt shot at rim
4:39.0,J. Okafor misses 2-pt shot from 11 ft,,12-22,,
4:38.0,,,12-22,,Defensive rebound by B. Beal
4:32.0,,,12-24,2,B. Beal makes 2-pt shot from 1 ft
4:23.0,I. Smith misses 2-pt shot from 9 ft,,12-24,,
4:22.0,,,12-24,,Defensive rebound by J. Dudley
4:13.0,,,12-24,,J. Wall misses 3-pt shot from 26 ft
4:12.0,Defensive rebound by I. Smith,,12-24,,
4:03.0,Turnover by J. Grant (lost ball; steal by J. Wall),,12-24,,
3:58.0,,,12-24,,B. Beal misses 2-pt shot from 1 ft (block by I. Smith)
