time,Cleveland,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. T. Thompson (K. Love gains possession),,,,Jump ball: T. Duncan vs. T. Thompson (K. Love gains possession)
11:51.0,J. Smith makes 2-pt shot from 2 ft,2,2-0,,
11:32.0,,,2-2,2,K. Leonard makes 2-pt shot at rim (assist by T. Parker)
11:09.0,K. Irving misses 2-pt shot from 22 ft,,2-2,,
11:08.0,,,2-2,,Defensive rebound by T. Duncan
11:02.0,,,2-2,,T. Parker misses 2-pt shot from 1 ft
10:58.0,Defensive rebound by K. Love,,2-2,,
10:45.0,K. Love makes 3-pt shot from 24 ft (assist by T. Thompson),3,5-2,,
10:23.0,,,5-2,,L. Aldridge misses 2-pt shot from 16 ft
10:22.0,Defensive rebound by K. Love,,5-2,,
10:04.0,K. Love makes 2-pt shot from 1 ft (assist by K. Irving),2,7-2,,
9:49.0,,,7-2,,T. Duncan misses 2-pt shot from 8 ft
9:47.0,Defensive rebound by K. Love,,7-2,,
9:29.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,10-2,,
9:29.0,,,10-2,,San Antonio full timeout
9:12.0,,,10-2,,T. Duncan misses 2-pt shot from 9 ft
9:10.0,Defensive rebound by T. Thompson,,10-2,,
8:55.0,L. James makes 2-pt shot from 16 ft,2,12-2,,
8:34.0,,,12-4,2,T. Parker makes 2-pt shot at rim (assist by T. Duncan)
8:22.0,,,12-4,,Personal foul by L. Aldridge (drawn by K. Love)
8:13.0,T. Thompson misses 2-pt shot from 2 ft (block by T. Parker),,12-4,,
8:11.0,,,12-4,,Defensive rebound by T. Parker
7:59.0,,,12-4,,L. Aldridge misses 2-pt shot from 3 ft
7:59.0,Defensive rebound by T. Thompson,,12-4,,
7:47.0,L. James misses 2-pt shot from 18 ft,,12-4,,
7:46.0,,,12-4,,Defensive rebound by Team
7:29.0,,,12-4,,Turnover by K. Leonard (step out of bounds)
7:16.0,J. Smith misses 2-pt shot from 9 ft,,12-4,,
7:16.0,,,12-4,,Defensive rebound by Team
7:00.0,,,12-4,,T. Duncan misses 2-pt shot from 13 ft
7:00.0,Defensive rebound by K. Love,,12-4,,
6:47.0,K. Love misses 2-pt shot at rim (block by T. Duncan),,12-4,,
6:46.0,,,12-4,,Defensive rebound by L. Aldridge
6:41.0,,,12-7,3,D. Green makes 3-pt shot from 25 ft (assist by L. Aldridge)
6:27.0,K. Irving misses 2-pt shot from 2 ft,,12-7,,
6:26.0,Offensive rebound by T. Thompson,,12-7,,
6:26.0,Shooting foul by T. Parker (drawn by T. Thompson),,12-7,,
6:26.0,T. Thompson makes free throw 1 of 2,1,13-7,,
6:26.0,T. Thompson misses free throw 2 of 2,,13-7,,
6:25.0,,,13-7,,Defensive rebound by L. Aldridge
6:09.0,,,13-7,,Shooting foul by K. Love (drawn by T. Parker)
6:09.0,,,13-8,1,T. Parker makes free throw 1 of 2
6:09.0,,,13-9,1,T. Parker makes free throw 2 of 2
5:50.0,L. James misses 2-pt shot from 7 ft,,13-9,,
5:48.0,,,13-9,,Defensive rebound by L. Aldridge
5:42.0,,,13-11,2,T. Parker makes 2-pt shot at rim
5:39.0,Cleveland full timeout,,13-11,,
5:39.0,M. Dellavedova enters the game for K. Irving,,13-11,,
5:27.0,,,13-11,,Personal foul by T. Duncan (drawn by L. James)
5:27.0,,,13-11,,P. Mills enters the game for T. Parker
5:13.0,J. Smith makes 3-pt shot from 25 ft,3,16-11,,
4:56.0,,,16-11,,K. Leonard misses 2-pt shot from 18 ft
4:56.0,Defensive rebound by T. Thompson,,16-11,,
4:46.0,M. Dellavedova misses 2-pt shot from 3 ft,,16-11,,
4:46.0,Offensive rebound by M. Dellavedova,,16-11,,
4:34.0,J. Smith makes 2-pt shot from 20 ft,2,18-11,,
4:17.0,,,18-11,,Turnover by D. Green (bad pass)
4:17.0,,,18-11,,M. Ginobili enters the game for D. Green
4:01.0,L. James misses 2-pt shot at rim (block by K. Leonard),,18-11,,
3:59.0,,,18-11,,Defensive rebound by T. Duncan
3:59.0,Personal foul by M. Dellavedova (drawn by P. Mills),,18-11,,
3:59.0,,,18-11,,B. Diaw enters the game for T. Duncan
3:51.0,,,18-13,2,M. Ginobili makes 2-pt shot from 19 ft
3:36.0,,,18-13,,Personal foul by P. Mills (drawn by L. James)
3:31.0,T. Thompson makes 2-pt shot from 6 ft (assist by K. Love),2,20-13,,
3:13.0,,,20-13,,P. Mills misses 2-pt shot from 20 ft
3:12.0,Defensive rebound by T. Thompson,,20-13,,
3:01.0,L. James makes 2-pt shot from 1 ft,2,22-13,,
3:01.0,Shooting foul by M. Ginobili (drawn by L. James),,22-13,,
3:01.0,L. James makes free throw 1 of 1,1,23-13,,
2:46.0,,,23-13,,L. Aldridge misses 2-pt shot from 19 ft
2:45.0,Defensive rebound by K. Love,,23-13,,
2:39.0,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova),2,25-13,,
2:39.0,Shooting foul by L. Aldridge (drawn by T. Thompson),,25-13,,
2:39.0,I. Shumpert enters the game for L. James,,25-13,,
2:39.0,T. Mozgov enters the game for K. Love,,25-13,,
2:39.0,,,25-13,,D. West enters the game for L. Aldridge
2:39.0,T. Thompson makes free throw 1 of 1,1,26-13,,
2:29.0,,,26-13,,M. Ginobili misses 2-pt shot from 18 ft
2:28.0,Defensive rebound by T. Thompson,,26-13,,
2:19.0,M. Dellavedova makes 2-pt shot from 7 ft,2,28-13,,
2:06.0,,,28-15,2,K. Leonard makes 2-pt shot from 13 ft
1:54.0,Turnover by T. Thompson (bad pass),,28-15,,
1:54.0,,,28-15,,D. Green enters the game for K. Leonard
1:38.0,,,28-17,2,M. Ginobili makes 2-pt shot from 1 ft
1:23.0,I. Shumpert makes 2-pt shot from 18 ft,2,30-17,,
1:04.0,,,30-20,3,P. Mills makes 3-pt shot from 25 ft (assist by D. West)
0:46.0,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova),2,32-20,,
0:28.0,,,32-20,,Turnover by B. Diaw (lost ball; steal by I. Shumpert)
0:18.0,Offensive foul by M. Dellavedova,,32-20,,
0:18.0,Turnover by M. Dellavedova (offensive foul),,32-20,,
0:18.0,J. Cunningham enters the game for M. Dellavedova,,32-20,,
0:01.0,,,32-20,,M. Ginobili misses 3-pt shot from 25 ft
0:00.0,,,32-20,,Offensive rebound by D. Green
0:00.0,,,32-20,,D. Green misses 2-pt shot at rim
0:00.0,,,32-20,,Offensive rebound by B. Diaw
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,32-20,,D. West misses 2-pt shot from 5 ft (block by R. Jefferson)
11:36.0,Defensive rebound by I. Shumpert,,32-20,,
11:29.0,I. Shumpert makes 3-pt shot from 24 ft (assist by K. Irving),3,35-20,,
11:13.0,Personal foul by T. Mozgov (drawn by M. Ginobili),,35-20,,
11:13.0,,,35-21,1,M. Ginobili makes free throw 1 of 2
11:13.0,,,35-22,1,M. Ginobili makes free throw 2 of 2
11:06.0,,,35-22,,Personal foul by D. West (drawn by T. Mozgov)
11:06.0,Turnover by Team (back court),,35-22,,
10:59.0,,,35-22,,P. Mills misses 2-pt shot from 1 ft
10:59.0,Defensive rebound by K. Love,,35-22,,
10:49.0,K. Irving misses 2-pt shot from 8 ft,,35-22,,
10:49.0,,,35-22,,Defensive rebound by B. Diaw
10:32.0,,,35-24,2,M. Ginobili makes 2-pt shot from 7 ft
10:18.0,Offensive foul by T. Mozgov,,35-24,,
10:18.0,Turnover by T. Mozgov (offensive foul),,35-24,,
10:18.0,,,35-24,,T. Parker enters the game for P. Mills
10:18.0,T. Thompson enters the game for T. Mozgov,,35-24,,
10:04.0,,,35-26,2,B. Diaw makes 2-pt shot from 3 ft
9:54.0,K. Irving misses 2-pt shot from 20 ft,,35-26,,
9:54.0,,,35-26,,Defensive rebound by D. Green
9:39.0,,,35-26,,D. Green misses 2-pt shot from 13 ft
9:38.0,Defensive rebound by K. Irving,,35-26,,
9:25.0,K. Love misses 2-pt shot from 5 ft,,35-26,,
9:25.0,,,35-26,,Defensive rebound by D. West
9:17.0,,,35-26,,T. Parker misses 2-pt shot at rim
9:15.0,Defensive rebound by R. Jefferson,,35-26,,
9:08.0,K. Irving misses 2-pt shot from 1 ft (block by B. Diaw),,35-26,,
9:06.0,,,35-26,,Defensive rebound by T. Parker
9:00.0,,,35-26,,D. Green misses 3-pt shot from 26 ft
8:59.0,Defensive rebound by K. Love,,35-26,,
8:56.0,Cleveland full timeout,,35-26,,
8:56.0,,,35-26,,J. Simmons enters the game for D. Green
8:56.0,,,35-26,,K. Leonard enters the game for M. Ginobili
8:56.0,L. James enters the game for K. Love,,35-26,,
8:48.0,K. Irving makes 2-pt shot from 1 ft,2,37-26,,
8:31.0,,,37-26,,Turnover by B. Diaw (lost ball; steal by I. Shumpert)
8:22.0,Turnover by L. James (offensive foul),,37-26,,
8:22.0,Offensive foul by L. James,,37-26,,
8:22.0,,,37-26,,T. Duncan enters the game for B. Diaw
8:12.0,,,37-26,,D. West misses 2-pt shot from 11 ft
8:10.0,,,37-26,,Offensive rebound by D. West
8:10.0,,,37-28,2,D. West makes 2-pt shot at rim
8:10.0,,,37-28,,Shooting foul by T. Thompson (drawn by D. West)
8:10.0,,,37-29,1,D. West makes free throw 1 of 1
8:02.0,,,37-29,,Personal foul by J. Simmons (drawn by I. Shumpert)
7:48.0,R. Jefferson misses 3-pt shot from 23 ft,,37-29,,
7:47.0,,,37-29,,Defensive rebound by K. Leonard
7:44.0,,,37-29,,Turnover by K. Leonard (bad pass)
7:34.0,Turnover by L. James (lost ball),,37-29,,
7:34.0,K. Love enters the game for R. Jefferson,,37-29,,
7:19.0,,,37-29,,K. Leonard misses 2-pt shot from 16 ft
7:18.0,,,37-29,,Offensive rebound by D. West
7:15.0,,,37-31,2,D. West makes 2-pt shot from 1 ft
6:58.0,K. Irving makes 2-pt shot from 17 ft (assist by I. Shumpert),2,39-31,,
6:45.0,,,39-31,,K. Leonard misses 2-pt shot from 6 ft
6:44.0,Defensive rebound by L. James,,39-31,,
6:37.0,L. James makes 2-pt shot from 1 ft,2,41-31,,
6:37.0,Shooting foul by T. Duncan (drawn by L. James),,41-31,,
6:37.0,J. Smith enters the game for I. Shumpert,,41-31,,
6:37.0,,,41-31,,L. Aldridge enters the game for D. West
6:37.0,M. Dellavedova enters the game for K. Irving,,41-31,,
6:37.0,L. James misses free throw 1 of 1,,41-31,,
6:35.0,,,41-31,,Defensive rebound by L. Aldridge
6:25.0,,,41-31,,Shooting foul by J. Smith (drawn by T. Duncan)
6:25.0,,,41-32,1,T. Duncan makes free throw 1 of 2
6:25.0,T. Mozgov enters the game for T. Thompson,,41-32,,
6:25.0,,,41-32,,T. Duncan misses free throw 2 of 2
6:23.0,Defensive rebound by K. Love,,41-32,,
6:08.0,J. Smith misses 3-pt shot from 23 ft,,41-32,,
6:08.0,,,41-32,,Defensive rebound by K. Leonard
6:01.0,,,41-34,2,T. Parker makes 2-pt shot from 1 ft (assist by K. Leonard)
5:49.0,L. James makes 2-pt shot at rim (assist by M. Dellavedova),2,43-34,,
5:33.0,,,43-36,2,T. Parker makes 2-pt shot at rim
5:18.0,M. Dellavedova misses 3-pt shot from 25 ft,,43-36,,
5:17.0,Offensive rebound by L. James,,43-36,,
5:14.0,L. James makes 2-pt shot from 1 ft,2,45-36,,
4:56.0,,,45-36,,K. Leonard misses 3-pt shot from 25 ft
4:55.0,,,45-36,,Offensive rebound by L. Aldridge
4:51.0,,,45-36,,T. Parker misses 3-pt shot from 23 ft
4:50.0,Defensive rebound by L. James,,45-36,,
4:26.0,J. Smith misses 2-pt shot from 16 ft,,45-36,,
4:26.0,,,45-36,,Defensive rebound by T. Parker
4:23.0,Personal take foul by L. James (drawn by T. Parker),,45-36,,
4:23.0,Official timeout,,45-36,,
4:23.0,,,45-36,,M. Ginobili enters the game for J. Simmons
3:58.0,,,45-36,,T. Parker misses 2-pt shot from 14 ft
3:58.0,,,45-36,,Offensive rebound by T. Duncan
3:49.0,,,45-36,,Offensive charge foul by M. Ginobili
3:49.0,,,45-36,,Turnover by M. Ginobili (offensive foul)
3:40.0,Turnover by K. Love (bad pass; steal by K. Leonard),,45-36,,
3:34.0,,,45-38,2,T. Parker makes 2-pt shot from 1 ft (assist by K. Leonard)
3:19.0,K. Love makes 2-pt shot from 10 ft,2,47-38,,
2:55.0,,,47-38,,T. Duncan misses 2-pt shot from 10 ft
2:54.0,Defensive rebound by M. Dellavedova,,47-38,,
2:44.0,,,47-38,,Personal foul by M. Ginobili (drawn by L. James)
2:44.0,,,47-38,,San Antonio full timeout
2:44.0,K. Irving enters the game for M. Dellavedova,,47-38,,
2:36.0,Turnover by K. Irving (bad pass; steal by M. Ginobili),,47-38,,
2:23.0,,,47-38,,K. Leonard misses 2-pt shot from 17 ft
2:22.0,Defensive rebound by K. Love,,47-38,,
2:08.0,K. Love misses 3-pt shot from 25 ft,,47-38,,
2:07.0,,,47-38,,Defensive rebound by M. Ginobili
1:54.0,,,47-38,,L. Aldridge misses 2-pt shot from 9 ft
1:53.0,Defensive rebound by K. Love,,47-38,,
1:33.0,L. James misses 2-pt shot from 17 ft,,47-38,,
1:31.0,,,47-38,,Defensive rebound by K. Leonard
1:16.0,,,47-38,,M. Ginobili misses 2-pt shot from 14 ft
1:16.0,Defensive rebound by L. James,,47-38,,
1:09.0,L. James makes 3-pt shot from 26 ft,3,50-38,,
0:55.0,,,50-40,2,T. Parker makes 2-pt shot from 8 ft
0:41.0,Turnover by L. James (bad pass),,50-40,,
0:41.0,I. Shumpert enters the game for L. James,,50-40,,
0:41.0,T. Thompson enters the game for T. Mozgov,,50-40,,
0:33.0,,,50-42,2,T. Parker makes 2-pt shot from 1 ft
0:16.0,J. Smith misses 3-pt shot from 24 ft,,50-42,,
0:15.0,,,50-42,,Defensive rebound by L. Aldridge
0:02.0,,,50-44,2,T. Parker makes 2-pt shot from 12 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,50-44,,D. Green misses 2-pt shot from 21 ft
11:38.0,,,50-44,,Offensive rebound by T. Duncan
11:19.0,,,50-44,,D. Green misses 3-pt shot from 25 ft
11:18.0,Defensive rebound by T. Thompson,,50-44,,
11:13.0,Turnover by L. James (bad pass; steal by T. Parker),,50-44,,
10:59.0,,,50-44,,K. Leonard misses 3-pt shot from 23 ft
10:58.0,Defensive rebound by K. Love,,50-44,,
10:44.0,J. Smith makes 2-pt shot from 1 ft (assist by L. James),2,52-44,,
10:26.0,,,52-46,2,T. Parker makes 2-pt shot from 4 ft (assist by K. Leonard)
10:04.0,J. Smith makes 3-pt shot from 24 ft,3,55-46,,
9:48.0,,,55-48,2,T. Duncan makes 2-pt shot at rim (assist by K. Leonard)
9:32.0,K. Irving misses 2-pt shot from 22 ft,,55-48,,
9:31.0,,,55-48,,Defensive rebound by K. Leonard
9:28.0,,,55-48,,Shooting foul by K. Love (drawn by K. Leonard)
9:28.0,,,55-49,1,K. Leonard makes free throw 1 of 2
9:28.0,,,55-49,,J. Simmons enters the game for D. Green
9:28.0,,,55-50,1,K. Leonard makes free throw 2 of 2
9:13.0,L. James misses 2-pt shot from 12 ft,,55-50,,
9:12.0,,,55-50,,Defensive rebound by K. Leonard
8:49.0,,,55-50,,Shooting foul by J. Smith (drawn by K. Leonard)
8:49.0,,,55-51,1,K. Leonard makes free throw 1 of 2
8:49.0,,,55-52,1,K. Leonard makes free throw 2 of 2
8:33.0,J. Smith misses 3-pt shot from 22 ft,,55-52,,
8:33.0,,,55-52,,Defensive rebound by J. Simmons
8:23.0,,,55-54,2,L. Aldridge makes 2-pt shot from 15 ft (assist by T. Parker)
8:07.0,T. Thompson misses 2-pt shot from 3 ft (block by T. Duncan),,55-54,,
8:05.0,,,55-54,,Defensive rebound by J. Simmons
8:04.0,Personal foul by J. Smith (drawn by J. Simmons),,55-54,,
7:51.0,,,55-57,3,K. Leonard makes 3-pt shot from 24 ft (assist by L. Aldridge)
7:50.0,Cleveland full timeout,,55-57,,
7:35.0,L. James makes 2-pt shot from 13 ft,2,57-57,,
7:17.0,,,57-57,,T. Parker misses 2-pt shot from 9 ft
7:15.0,Defensive rebound by T. Thompson,,57-57,,
7:13.0,Shooting foul by J. Simmons (drawn by K. Irving),,57-57,,
7:13.0,K. Irving makes free throw 1 of 2,1,58-57,,
7:13.0,K. Irving makes free throw 2 of 2,1,59-57,,
6:57.0,,,59-59,2,T. Duncan makes 2-pt shot from 7 ft
6:44.0,Turnover by T. Thompson (3 sec),,59-59,,
6:24.0,,,59-61,2,J. Simmons makes 2-pt shot from 5 ft (assist by K. Leonard)
6:06.0,Turnover by K. Irving (lost ball; steal by T. Parker),,59-61,,
5:55.0,,,59-61,,Turnover by K. Leonard (step out of bounds)
5:33.0,Offensive foul by J. Smith,,59-61,,
5:33.0,Turnover by J. Smith (offensive foul),,59-61,,
5:33.0,I. Shumpert enters the game for J. Smith,,59-61,,
5:13.0,,,59-61,,L. Aldridge misses 2-pt shot from 7 ft
5:13.0,Defensive rebound by Team,,59-61,,
5:13.0,,,59-61,,Loose ball foul by L. Aldridge (drawn by K. Love)
5:13.0,,,59-61,,B. Diaw enters the game for L. Aldridge
5:13.0,,,59-61,,M. Ginobili enters the game for J. Simmons
5:00.0,K. Love misses 2-pt shot from 17 ft,,59-61,,
5:00.0,,,59-61,,Defensive rebound by K. Leonard
4:46.0,,,59-61,,M. Ginobili misses 3-pt shot from 24 ft
4:46.0,Defensive rebound by K. Love,,59-61,,
4:34.0,K. Irving makes 3-pt shot from 23 ft (assist by L. James),3,62-61,,
4:34.0,,,62-61,,San Antonio full timeout
4:34.0,,,62-61,,L. Aldridge enters the game for T. Duncan
4:34.0,M. Dellavedova enters the game for K. Irving,,62-61,,
4:34.0,,,62-61,,P. Mills enters the game for T. Parker
4:22.0,,,62-61,,M. Ginobili misses 2-pt shot from 5 ft
4:21.0,Defensive rebound by T. Thompson,,62-61,,
4:14.0,Shooting foul by L. Aldridge (drawn by T. Thompson),,62-61,,
4:14.0,T. Thompson makes free throw 1 of 2,1,63-61,,
4:14.0,R. Jefferson enters the game for K. Love,,63-61,,
4:14.0,,,63-61,,D. West enters the game for L. Aldridge
4:14.0,T. Thompson makes free throw 2 of 2,1,64-61,,
3:55.0,,,64-61,,B. Diaw misses 2-pt shot from 14 ft
3:53.0,Defensive rebound by T. Thompson,,64-61,,
3:41.0,M. Dellavedova misses 3-pt shot from 24 ft,,64-61,,
3:40.0,,,64-61,,Defensive rebound by K. Leonard
3:34.0,,,64-64,3,K. Leonard makes 3-pt shot from 25 ft
3:09.0,L. James misses 3-pt shot from 24 ft,,64-64,,
3:08.0,Offensive rebound by T. Thompson,,64-64,,
3:07.0,T. Thompson makes 2-pt shot from 1 ft,2,66-64,,
2:53.0,,,66-64,,Shooting foul by T. Thompson (drawn by D. West)
2:53.0,,,66-65,1,D. West makes free throw 1 of 2
2:53.0,,,66-65,,K. Anderson enters the game for B. Diaw
2:53.0,T. Mozgov enters the game for T. Thompson,,66-65,,
2:53.0,,,66-66,1,D. West makes free throw 2 of 2
2:33.0,R. Jefferson misses 2-pt shot from 8 ft (block by K. Leonard),,66-66,,
2:31.0,,,66-66,,Defensive rebound by M. Ginobili
2:17.0,,,66-66,,K. Leonard misses 2-pt shot from 18 ft
2:14.0,Defensive rebound by T. Mozgov,,66-66,,
2:01.0,M. Dellavedova misses 2-pt shot from 12 ft,,66-66,,
2:00.0,Offensive rebound by R. Jefferson,,66-66,,
1:49.0,I. Shumpert makes 2-pt shot from 19 ft,2,68-66,,
1:40.0,Personal foul by L. James (drawn by K. Leonard),,68-66,,
1:40.0,,,68-67,1,K. Leonard makes free throw 1 of 2
1:40.0,,,68-67,,T. Parker enters the game for P. Mills
1:40.0,K. Irving enters the game for L. James,,68-67,,
1:40.0,,,68-68,1,K. Leonard makes free throw 2 of 2
1:24.0,K. Irving makes 2-pt shot from 16 ft,2,70-68,,
1:08.0,,,70-68,,T. Parker misses 2-pt shot from 15 ft
1:07.0,,,70-68,,Offensive rebound by D. West
1:06.0,,,70-70,2,D. West makes 2-pt shot from 1 ft
0:49.0,R. Jefferson misses 3-pt shot from 24 ft,,70-70,,
0:48.0,Offensive rebound by T. Mozgov,,70-70,,
0:35.0,,,70-70,,D. Green enters the game for K. Leonard
0:35.0,Turnover by I. Shumpert (bad pass),,70-70,,
0:13.0,,,70-72,2,K. Anderson makes 2-pt shot from 15 ft (assist by M. Ginobili)
0:00.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by K. Irving),3,73-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Cleveland full timeout,,73-72,,
11:41.0,K. Irving makes 2-pt shot at rim,2,75-72,,
11:22.0,,,75-74,2,D. West makes 2-pt shot from 12 ft
11:04.0,K. Irving misses 3-pt shot from 24 ft,,75-74,,
11:03.0,,,75-74,,Defensive rebound by K. Anderson
10:53.0,,,75-76,2,D. West makes 2-pt shot from 18 ft (assist by K. Anderson)
10:31.0,M. Dellavedova misses 3-pt shot from 24 ft,,75-76,,
10:30.0,,,75-76,,Defensive rebound by K. Anderson
10:30.0,Personal foul by T. Mozgov (drawn by K. Anderson),,75-76,,
10:21.0,Violation by T. Mozgov (def goaltending),,75-76,,
10:21.0,,,75-78,2,T. Parker makes 2-pt shot from 1 ft
10:11.0,Offensive foul by I. Shumpert,,75-78,,
10:11.0,Turnover by I. Shumpert (offensive foul),,75-78,,
9:54.0,,,75-78,,T. Parker misses 3-pt shot from 26 ft
9:53.0,Defensive rebound by K. Irving,,75-78,,
9:48.0,Turnover by K. Irving (lost ball; steal by T. Parker),,75-78,,
9:43.0,,,75-78,,Shooting foul by T. Mozgov (drawn by D. Green)
9:43.0,,,75-78,,D. Green misses free throw 1 of 3
9:43.0,,,75-78,,Offensive rebound by Team
9:43.0,,,75-79,1,D. Green makes free throw 2 of 3
9:43.0,T. Thompson enters the game for T. Mozgov,,75-79,,
9:43.0,,,75-80,1,D. Green makes free throw 3 of 3
9:24.0,,,75-80,,P. Mills enters the game for T. Parker
9:24.0,,,75-80,,T. Duncan enters the game for K. Anderson
9:24.0,K. Love enters the game for R. Jefferson,,75-80,,
9:24.0,,,75-80,,K. Leonard enters the game for D. Green
9:24.0,L. James enters the game for K. Irving,,75-80,,
