time,Houston,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Howard (T. Ariza gains possession),,,,Jump ball: A. Davis vs. D. Howard (T. Ariza gains possession)
11:46.0,,,0-0,,Violation by A. Davis (kicked ball)
11:38.0,J. Harden misses 2-pt shot from 16 ft,,0-0,,
11:37.0,Offensive rebound by C. Capela,,0-0,,
11:32.0,P. Beverley makes 3-pt shot from 23 ft (assist by C. Capela),3,3-0,,
11:21.0,Personal foul by J. Harden (drawn by E. Gordon),,3-0,,
11:15.0,,,3-0,,Turnover by A. Davis (lost ball; steal by T. Ariza)
11:12.0,T. Ariza makes 2-pt shot from 1 ft,2,5-0,,
11:12.0,Shooting foul by T. Evans (drawn by T. Ariza),,5-0,,
11:12.0,T. Ariza misses free throw 1 of 1,,5-0,,
11:11.0,,,5-0,,Defensive rebound by O. Asik
10:52.0,,,5-2,2,E. Gordon makes 2-pt shot from 19 ft
10:39.0,T. Ariza misses 2-pt shot from 19 ft,,5-2,,
10:39.0,,,5-2,,Defensive rebound by A. Davis
10:29.0,,,5-5,3,E. Gordon makes 3-pt shot from 24 ft
10:14.0,J. Harden makes 3-pt shot from 25 ft (assist by T. Ariza),3,8-5,,
9:58.0,,,8-8,3,E. Gordon makes 3-pt shot from 24 ft (assist by T. Evans)
9:51.0,Houston full timeout,,8-8,,
9:38.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,11-8,,
9:17.0,,,11-10,2,A. Davis makes 2-pt shot from 2 ft (assist by E. Gordon)
9:05.0,D. Howard makes 2-pt shot from 10 ft (assist by P. Beverley),2,13-10,,
8:50.0,,,13-13,3,A. Gee makes 3-pt shot from 22 ft (assist by A. Davis)
8:41.0,Shooting foul by O. Asik (drawn by T. Ariza),,13-13,,
8:41.0,T. Ariza makes free throw 1 of 2,1,14-13,,
8:41.0,T. Ariza makes free throw 2 of 2,1,15-13,,
8:24.0,,,15-13,,A. Gee misses 3-pt shot from 22 ft
8:23.0,,,15-13,,Offensive rebound by A. Davis
8:20.0,Violation by T. Ariza (kicked ball),,15-13,,
8:11.0,,,15-13,,Shooting foul by D. Howard (drawn by O. Asik)
8:11.0,,,15-14,1,O. Asik makes free throw 1 of 2
8:11.0,T. Jones enters the game for C. Capela,,15-14,,
8:11.0,,,15-15,1,O. Asik makes free throw 2 of 2
7:54.0,T. Jones misses 2-pt shot from 7 ft,,15-15,,
7:54.0,,,15-15,,Defensive rebound by T. Evans
7:43.0,,,15-17,2,A. Davis makes 2-pt shot at rim (assist by E. Gordon)
7:43.0,,,15-17,,Shooting foul by T. Jones (drawn by A. Davis)
7:43.0,,,15-18,1,A. Davis makes free throw 1 of 1
7:24.0,J. Harden makes 2-pt shot from 16 ft,2,17-18,,
7:06.0,,,17-18,,A. Davis misses 2-pt shot from 22 ft
7:06.0,Defensive rebound by J. Harden,,17-18,,
6:52.0,J. Harden misses 2-pt shot from 16 ft,,17-18,,
6:51.0,Offensive rebound by J. Harden,,17-18,,
6:45.0,T. Jones makes 3-pt shot from 25 ft (assist by T. Ariza),3,20-18,,
6:24.0,Violation by D. Howard (def goaltending),,20-18,,
6:24.0,,,20-20,2,A. Davis makes 2-pt shot from 5 ft
6:14.0,P. Beverley makes 2-pt shot from 2 ft,2,22-20,,
6:05.0,Personal foul by P. Beverley (drawn by A. Davis),,22-20,,
5:54.0,,,22-20,,Shooting foul by J. Harden (drawn by A. Davis)
5:54.0,,,22-21,1,A. Davis makes free throw 1 of 2
5:54.0,T. Lawson enters the game for P. Beverley,,22-21,,
5:54.0,,,22-22,1,A. Davis makes free throw 2 of 2
5:35.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,24-22,,
5:25.0,,,24-22,,Turnover by O. Asik (bad pass; steal by J. Harden)
5:19.0,T. Ariza makes 2-pt shot at rim (assist by J. Harden),2,26-22,,
5:07.0,,,26-22,,Turnover by T. Evans (bad pass; steal by T. Ariza)
5:07.0,,,26-22,,Personal foul by A. Davis (drawn by T. Ariza)
5:07.0,,,26-22,,J. Holiday enters the game for A. Gee
5:07.0,,,26-22,,K. Perkins enters the game for O. Asik
4:54.0,J. Harden misses 2-pt shot from 17 ft,,26-22,,
4:53.0,,,26-22,,Defensive rebound by A. Davis
4:47.0,,,26-22,,Turnover by T. Evans (bad pass; steal by T. Jones)
4:35.0,J. Harden makes 3-pt shot from 23 ft (assist by T. Ariza),3,29-22,,
4:29.0,,,29-22,,New Orleans full timeout
4:29.0,C. Capela enters the game for D. Howard,,29-22,,
4:11.0,,,29-24,2,K. Perkins makes 2-pt shot at rim (assist by E. Gordon)
3:53.0,T. Jones misses 2-pt shot from 4 ft (block by A. Davis),,29-24,,
3:52.0,,,29-24,,Defensive rebound by K. Perkins
3:32.0,,,29-24,,T. Evans misses 2-pt shot from 1 ft
3:32.0,Defensive rebound by C. Capela,,29-24,,
3:28.0,Shooting foul by J. Holiday (drawn by T. Jones),,29-24,,
3:28.0,T. Jones misses free throw 1 of 2,,29-24,,
3:28.0,Offensive rebound by Team,,29-24,,
3:28.0,,,29-24,,R. Anderson enters the game for K. Perkins
3:28.0,C. Brewer enters the game for T. Ariza,,29-24,,
3:28.0,T. Jones makes free throw 2 of 2,1,30-24,,
3:09.0,J. Terry enters the game for J. Harden,,30-24,,
3:03.0,,,30-24,,T. Evans misses 3-pt shot from 26 ft
3:03.0,,,30-24,,Offensive rebound by Team
3:03.0,,,30-24,,Turnover by Team (shot clock)
2:48.0,C. Brewer misses 3-pt shot from 25 ft,,30-24,,
2:47.0,,,30-24,,Defensive rebound by A. Davis
2:42.0,,,30-26,2,J. Holiday makes 2-pt shot from 5 ft
2:42.0,,,30-26,,Shooting foul by C. Capela (drawn by J. Holiday)
2:42.0,,,30-26,,N. Cole enters the game for T. Evans
2:42.0,,,30-26,,J. Holiday misses free throw 1 of 1
2:39.0,Defensive rebound by C. Capela,,30-26,,
2:35.0,,,30-26,,Shooting block foul by N. Cole (drawn by T. Lawson)
2:35.0,T. Lawson makes free throw 1 of 2,1,31-26,,
2:35.0,T. Lawson makes free throw 2 of 2,1,32-26,,
2:22.0,,,32-26,,Turnover by J. Holiday (bad pass; steal by T. Jones)
2:19.0,T. Lawson misses 2-pt shot from 2 ft (block by J. Holiday),,32-26,,
2:19.0,Offensive rebound by Team,,32-26,,
2:19.0,,,32-26,,Loose ball foul by E. Gordon (drawn by C. Brewer)
2:19.0,C. Brewer makes free throw 1 of 2,1,33-26,,
2:19.0,C. Brewer makes free throw 2 of 2,1,34-26,,
1:58.0,,,34-29,3,E. Gordon makes 3-pt shot from 24 ft (assist by R. Anderson)
