time,Orlando,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. A. Stoudemire (J. Johnson gains possession),,,,Jump ball: D. Dedmon vs. A. Stoudemire (J. Johnson gains possession)
11:33.0,,,0-2,2,G. Dragic makes 2-pt shot from 1 ft
11:07.0,E. Payton misses 2-pt shot from 6 ft,,0-2,,
11:06.0,Offensive rebound by E. Payton,,0-2,,
10:57.0,A. Gordon misses 2-pt shot from 13 ft,,0-2,,
10:56.0,,,0-2,,Defensive rebound by L. Deng
10:43.0,,,0-4,2,G. Dragic makes 2-pt shot from 15 ft
10:23.0,D. Dedmon misses 2-pt shot from 5 ft,,0-4,,
10:22.0,,,0-4,,Defensive rebound by A. Stoudemire
10:07.0,,,0-4,,Turnover by G. Dragic (bad pass)
9:53.0,M. Hezonja makes 2-pt shot from 17 ft (assist by E. Payton),2,2-4,,
9:27.0,,,2-4,,D. Wade misses 3-pt shot from 25 ft
9:26.0,Defensive rebound by E. Payton,,2-4,,
9:19.0,D. Dedmon misses 2-pt shot from 1 ft,,2-4,,
9:18.0,Offensive rebound by D. Dedmon,,2-4,,
9:17.0,Shooting foul by D. Wade (drawn by D. Dedmon),,2-4,,
9:17.0,D. Dedmon makes free throw 1 of 2,1,3-4,,
9:17.0,D. Dedmon makes free throw 2 of 2,1,4-4,,
9:00.0,,,4-4,,J. Johnson misses 2-pt shot from 7 ft
8:59.0,Defensive rebound by Team,,4-4,,
8:59.0,,,4-4,,Loose ball foul by A. Stoudemire
8:47.0,E. Fournier misses 2-pt shot from 5 ft,,4-4,,
8:46.0,,,4-4,,Defensive rebound by A. Stoudemire
8:34.0,,,4-4,,L. Deng misses 2-pt shot from 17 ft
8:33.0,Defensive rebound by M. Hezonja,,4-4,,
8:24.0,M. Hezonja misses 2-pt shot from 7 ft,,4-4,,
8:23.0,,,4-4,,Defensive rebound by L. Deng
8:08.0,,,4-6,2,D. Wade makes 2-pt shot from 2 ft
7:50.0,D. Dedmon makes 2-pt shot from 12 ft (assist by E. Fournier),2,6-6,,
7:33.0,Personal foul by E. Payton,,6-6,,
7:23.0,,,6-8,2,A. Stoudemire makes 2-pt shot from 11 ft (assist by J. Johnson)
7:07.0,D. Dedmon makes 2-pt shot from 1 ft (assist by E. Payton),2,8-8,,
7:07.0,Shooting foul by A. Stoudemire (drawn by D. Dedmon),,8-8,,
7:07.0,D. Dedmon makes free throw 1 of 1,1,9-8,,
6:53.0,,,9-10,2,D. Wade makes 2-pt shot from 2 ft
6:38.0,E. Payton makes 2-pt shot from 9 ft,2,11-10,,
6:19.0,,,11-10,,J. Johnson misses 3-pt shot from 24 ft
6:18.0,Defensive rebound by A. Gordon,,11-10,,
6:11.0,E. Fournier makes 2-pt shot from 12 ft (assist by A. Gordon),2,13-10,,
5:52.0,,,13-10,,Turnover by J. Johnson (lost ball; steal by M. Hezonja)
5:52.0,,,13-10,,Personal foul by J. Johnson
5:52.0,,,13-10,,Miami full timeout
5:52.0,,,13-10,,J. Richardson enters the game for L. Deng
5:52.0,,,13-10,,J. Winslow enters the game for G. Dragic
5:42.0,E. Fournier makes 2-pt shot from 10 ft (assist by E. Payton),2,15-10,,
5:25.0,,,15-10,,Shooting foul by E. Fournier (drawn by D. Wade)
5:25.0,,,15-11,1,D. Wade makes free throw 1 of 2
5:25.0,,,15-11,,H. Whiteside enters the game for A. Stoudemire
5:25.0,,,15-12,1,D. Wade makes free throw 2 of 2
5:08.0,E. Fournier misses 2-pt shot from 1 ft (block by H. Whiteside),,15-12,,
5:07.0,Offensive rebound by E. Fournier,,15-12,,
4:59.0,E. Fournier misses 2-pt shot from 5 ft,,15-12,,
4:58.0,,,15-12,,Defensive rebound by H. Whiteside
