time,Atlanta,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:46.0,K. Korver misses 2-pt shot from 19 ft,,0-0,,
12:00.0,Jump ball: A. Horford vs. T. Thompson (P. Millsap gains possession),,,,Jump ball: A. Horford vs. T. Thompson (P. Millsap gains possession)
11:45.0,,,0-0,,Defensive rebound by K. Love
11:37.0,,,0-0,,J. Smith misses 3-pt shot from 26 ft
11:36.0,,,0-0,,Offensive rebound by T. Thompson
11:32.0,,,0-0,,Turnover by T. Thompson (lost ball; steal by P. Millsap)
11:23.0,K. Bazemore misses 2-pt shot at rim (block by T. Thompson),,0-0,,
11:21.0,,,0-0,,Defensive rebound by K. Love
11:09.0,,,0-0,,Turnover by K. Irving (bad pass)
10:56.0,K. Korver makes 2-pt shot from 18 ft (assist by A. Horford),2,2-0,,
10:31.0,,,2-2,2,J. Smith makes 2-pt shot from 19 ft
10:21.0,P. Millsap makes 3-pt shot from 28 ft (assist by J. Teague),3,5-2,,
10:06.0,,,5-2,,K. Love misses 3-pt shot from 26 ft
10:05.0,Defensive rebound by J. Teague,,5-2,,
9:55.0,J. Teague makes 2-pt shot from 1 ft,2,7-2,,
9:35.0,,,7-2,,K. Love misses 2-pt shot from 2 ft
9:35.0,,,7-2,,Offensive rebound by T. Thompson
9:35.0,Personal foul by P. Millsap,,7-2,,
9:24.0,,,7-2,,L. James misses 2-pt shot from 22 ft
9:23.0,Defensive rebound by J. Teague,,7-2,,
9:17.0,J. Teague misses 2-pt shot from 5 ft,,7-2,,
9:16.0,,,7-2,,Defensive rebound by K. Irving
8:59.0,,,7-5,3,J. Smith makes 3-pt shot from 26 ft (assist by K. Irving)
8:34.0,J. Teague makes 2-pt shot from 9 ft,2,9-5,,
8:20.0,,,9-5,,K. Love misses 2-pt shot from 3 ft (block by A. Horford)
8:19.0,,,9-5,,Offensive rebound by K. Love
8:14.0,,,9-5,,Shooting foul by A. Horford (drawn by T. Thompson)
8:14.0,,,9-6,1,T. Thompson makes free throw 1 of 2
8:14.0,,,9-6,,T. Thompson misses free throw 2 of 2
8:14.0,Defensive rebound by P. Millsap,,9-6,,
