time,Washington,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. M. Gortat (J. Wall gains possession),,,,Jump ball: T. Chandler vs. M. Gortat (J. Wall gains possession)
11:48.0,M. Morris misses 2-pt shot from 13 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by A. Len
11:36.0,,,0-0,,Shooting foul by M. Gortat (drawn by T. Chandler)
11:36.0,,,0-0,,T. Chandler misses free throw 1 of 2
11:36.0,,,0-0,,Offensive rebound by Team
11:36.0,,,0-1,1,T. Chandler makes free throw 2 of 2
11:20.0,O. Porter makes 2-pt shot from 15 ft (assist by J. Wall),2,2-1,,
11:07.0,,,2-3,2,P. Tucker makes 2-pt shot from 17 ft
10:50.0,J. Wall misses 2-pt shot from 17 ft,,2-3,,
10:48.0,,,2-3,,Defensive rebound by P. Tucker
10:30.0,,,2-3,,P. Tucker misses 2-pt shot from 1 ft
10:28.0,Defensive rebound by M. Gortat,,2-3,,
10:18.0,M. Morris makes 2-pt shot from 15 ft (assist by B. Beal),2,4-3,,
10:06.0,,,4-3,,A. Len misses 2-pt shot from 3 ft
10:04.0,Defensive rebound by O. Porter,,4-3,,
9:58.0,M. Gortat misses 2-pt shot from 1 ft,,4-3,,
9:55.0,,,4-3,,Defensive rebound by A. Len
9:44.0,,,4-6,3,D. Booker makes 3-pt shot from 24 ft (assist by R. Price)
9:29.0,B. Beal misses 3-pt shot from 22 ft,,4-6,,
9:27.0,,,4-6,,Defensive rebound by T. Chandler
9:14.0,,,4-6,,A. Len misses 2-pt shot from 8 ft
9:14.0,,,4-6,,Offensive rebound by Team
9:10.0,,,4-8,2,D. Booker makes 2-pt shot from 16 ft (assist by P. Tucker)
8:52.0,M. Gortat makes 2-pt shot from 10 ft,2,6-8,,
8:43.0,,,6-8,,D. Booker misses 2-pt shot from 20 ft
8:41.0,Defensive rebound by M. Morris,,6-8,,
8:37.0,O. Porter misses 2-pt shot from 17 ft,,6-8,,
8:37.0,Offensive rebound by Team,,6-8,,
8:37.0,,,6-8,,Loose ball foul by A. Len
8:31.0,B. Beal misses 3-pt shot from 25 ft,,6-8,,
8:26.0,,,6-8,,Defensive rebound by R. Price
8:20.0,,,6-10,2,P. Tucker makes 2-pt shot at rim (assist by A. Len)
8:00.0,M. Morris misses 3-pt shot from 24 ft,,6-10,,
7:57.0,,,6-10,,Defensive rebound by R. Price
7:53.0,,,6-10,,R. Price misses 2-pt shot from 2 ft (block by M. Morris)
7:49.0,Defensive rebound by J. Wall,,6-10,,
7:45.0,M. Gortat misses 2-pt shot from 4 ft (block by D. Booker),,6-10,,
7:41.0,Offensive rebound by M. Gortat,,6-10,,
7:41.0,M. Gortat misses 2-pt shot from 7 ft,,6-10,,
7:39.0,Offensive rebound by O. Porter,,6-10,,
