time,Dallas,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. Z. Pachulia (C. Parsons gains possession),,,,Jump ball: R. Hibbert vs. Z. Pachulia (C. Parsons gains possession)
11:44.0,Shooting foul by R. Hibbert (drawn by Z. Pachulia),,0-0,,
11:44.0,Z. Pachulia misses free throw 1 of 2,,0-0,,
11:44.0,Offensive rebound by Team,,0-0,,
11:44.0,Z. Pachulia makes free throw 2 of 2,1,1-0,,
11:28.0,,,1-0,,K. Bryant misses 2-pt shot from 20 ft
11:27.0,Defensive rebound by Z. Pachulia,,1-0,,
11:12.0,C. Parsons misses 2-pt shot from 2 ft (block by R. Hibbert),,1-0,,
11:08.0,,,1-0,,Defensive rebound by J. Randle
11:04.0,,,1-0,,J. Randle misses 2-pt shot at rim
11:03.0,Defensive rebound by D. Williams,,1-0,,
10:52.0,C. Parsons misses 2-pt shot from 2 ft,,1-0,,
10:50.0,,,1-0,,Defensive rebound by J. Randle
10:40.0,,,1-0,,D. Russell misses 2-pt shot from 14 ft
10:40.0,Defensive rebound by D. Williams,,1-0,,
10:24.0,W. Matthews misses 2-pt shot from 7 ft,,1-0,,
10:23.0,,,1-0,,Defensive rebound by K. Bryant
10:15.0,,,1-0,,K. Bryant misses 2-pt shot from 9 ft
10:15.0,Defensive rebound by D. Nowitzki,,1-0,,
9:53.0,W. Matthews makes 3-pt shot from 22 ft (assist by D. Williams),3,4-0,,
9:33.0,,,4-0,,D. Russell misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by Z. Pachulia,,4-0,,
9:23.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Williams),3,7-0,,
9:17.0,,,7-0,,LA Lakers full timeout
9:03.0,,,7-0,,Turnover by K. Bryant (lost ball)
8:50.0,,,7-0,,Personal foul by K. Bryant (drawn by C. Parsons)
8:34.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by C. Parsons),3,10-0,,
8:21.0,,,10-0,,Turnover by J. Clarkson (lost ball; steal by C. Parsons)
8:16.0,C. Parsons misses 2-pt shot from 1 ft (block by J. Clarkson),,10-0,,
8:16.0,Offensive rebound by Team,,10-0,,
8:06.0,D. Williams makes 2-pt shot at rim,2,12-0,,
7:59.0,,,12-0,,Turnover by D. Russell (bad pass)
7:49.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Williams),3,15-0,,
7:32.0,,,15-0,,Shooting foul by C. Parsons (drawn by K. Bryant)
7:32.0,,,15-1,1,K. Bryant makes free throw 1 of 3
7:32.0,,,15-2,1,K. Bryant makes free throw 2 of 3
7:32.0,R. Felton enters the game for C. Parsons,,15-2,,
7:32.0,,,15-3,1,K. Bryant makes free throw 3 of 3
7:21.0,W. Matthews misses 2-pt shot from 4 ft,,15-3,,
7:20.0,,,15-3,,Defensive rebound by J. Randle
7:11.0,,,15-5,2,J. Randle makes 2-pt shot at rim
7:00.0,D. Williams misses 2-pt shot from 3 ft (block by R. Hibbert),,15-5,,
6:58.0,,,15-5,,Defensive rebound by J. Randle
6:54.0,,,15-5,,J. Randle misses 2-pt shot at rim
6:52.0,Defensive rebound by D. Williams,,15-5,,
