time,LA Clippers,pts.away,score,pts.home,Denver
5:26.0,,,97-85,1,N. Jokic makes free throw 2 of 2
5:26.0,,,97-85,,Personal foul by G. Harris (drawn by D. Jordan)
5:26.0,D. Jordan makes free throw 1 of 2,1,98-85,,
5:26.0,D. Jordan misses free throw 2 of 2,,98-85,,
5:25.0,,,98-85,,Defensive rebound by D. Gallinari
5:16.0,,,98-85,,D. Gallinari misses 3-pt shot from 26 ft (block by D. Jordan)
5:14.0,,,98-85,,Offensive rebound by Team
5:14.0,,,98-85,,W. Barton enters the game for N. Jokic
5:08.0,,,98-85,,Shooting foul by B. Griffin (drawn by D. Arthur)
5:08.0,,,98-85,,D. Arthur misses free throw 1 of 2
5:08.0,,,98-85,,Offensive rebound by Team
5:08.0,,,98-86,1,D. Arthur makes free throw 2 of 2
5:08.0,,,98-86,,Personal take foul by E. Mudiay (drawn by D. Jordan)
5:08.0,D. Jordan makes free throw 1 of 2,1,99-86,,
5:08.0,D. Jordan misses free throw 2 of 2,,99-86,,
5:06.0,,,99-86,,Defensive rebound by D. Gallinari
4:56.0,,,99-86,,G. Harris misses 2-pt shot from 2 ft (block by D. Jordan)
4:56.0,,,99-86,,Offensive rebound by Team
4:47.0,,,99-86,,Turnover by D. Arthur (traveling)
4:33.0,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul),2,101-86,,
4:07.0,,,101-88,2,D. Arthur makes 2-pt shot from 16 ft
3:58.0,,,101-88,,Personal take foul by D. Arthur (drawn by D. Jordan)
3:58.0,D. Jordan misses free throw 1 of 2,,101-88,,
3:58.0,Offensive rebound by Team,,101-88,,
3:58.0,D. Jordan makes free throw 2 of 2,1,102-88,,
3:49.0,Personal foul by J. Redick (drawn by D. Gallinari),,102-88,,
3:49.0,,,102-89,1,D. Gallinari makes free throw 1 of 2
3:49.0,,,102-90,1,D. Gallinari makes free throw 2 of 2
3:48.0,,,102-90,,Personal take foul by G. Harris (drawn by D. Jordan)
3:48.0,D. Jordan misses free throw 1 of 2,,102-90,,
3:48.0,Offensive rebound by Team,,102-90,,
3:48.0,D. Jordan makes free throw 2 of 2,1,103-90,,
3:37.0,,,103-90,,Turnover by E. Mudiay (bad pass)
3:33.0,,,103-90,,Personal take foul by G. Harris (drawn by D. Jordan)
3:33.0,D. Jordan misses free throw 1 of 2,,103-90,,
3:33.0,Offensive rebound by Team,,103-90,,
3:33.0,Technical foul by B. Griffin,,103-90,,
3:33.0,,,103-91,1,D. Gallinari makes technical free throw
3:33.0,D. Jordan misses free throw 2 of 2,,103-91,,
3:31.0,Offensive rebound by B. Griffin,,103-91,,
3:25.0,Shooting foul by E. Mudiay (drawn by C. Paul),,103-91,,
3:25.0,C. Paul makes free throw 1 of 2,1,104-91,,
3:25.0,C. Paul misses free throw 2 of 2,,104-91,,
3:24.0,,,104-91,,Defensive rebound by W. Barton
3:15.0,,,104-91,,W. Barton misses 2-pt shot from 3 ft
3:14.0,,,104-91,,Offensive rebound by E. Mudiay
3:11.0,,,104-91,,E. Mudiay misses 2-pt shot from 2 ft
3:10.0,,,104-91,,Offensive rebound by W. Barton
3:10.0,,,104-91,,W. Barton misses 2-pt shot from 1 ft
3:08.0,Defensive rebound by D. Jordan,,104-91,,
2:56.0,B. Griffin misses 2-pt shot from 20 ft,,104-91,,
2:52.0,,,104-91,,Defensive rebound by G. Harris
2:47.0,Personal foul by D. Jordan (drawn by D. Gallinari),,104-91,,
2:47.0,Official timeout,,104-91,,
2:47.0,,,104-92,1,D. Gallinari makes free throw 1 of 2
2:47.0,,,104-93,1,D. Gallinari makes free throw 2 of 2
2:47.0,,,104-93,,Personal take foul by D. Gallinari (drawn by D. Jordan)
2:47.0,D. Jordan makes free throw 1 of 2,1,105-93,,
2:47.0,D. Jordan makes free throw 2 of 2,1,106-93,,
2:34.0,,,106-93,,Offensive foul by D. Arthur
2:34.0,,,106-93,,Turnover by D. Arthur (offensive foul)
2:18.0,C. Paul makes 2-pt shot from 2 ft,2,108-93,,
2:08.0,,,108-93,,Turnover by G. Harris (lost ball)
1:54.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,110-93,,
1:54.0,,,110-93,,Denver full timeout
1:54.0,,,110-93,,Technical foul by Team
1:54.0,C. Aldrich enters the game for B. Griffin,,110-93,,
1:54.0,A. Rivers enters the game for D. Jordan,,110-93,,
1:54.0,W. Johnson enters the game for J. Redick,,110-93,,
1:54.0,L. Stephenson enters the game for C. Paul,,110-93,,
1:54.0,,,110-93,,J. Nelson enters the game for D. Gallinari
1:54.0,,,110-93,,K. Papanikolaou enters the game for D. Arthur
1:54.0,,,110-93,,N. Jokic enters the game for E. Mudiay
1:54.0,J. Crawford makes technical free throw,1,111-93,,
1:54.0,L. Mbah a Moute enters the game for J. Crawford,,111-93,,
1:41.0,,,111-93,,Shooting foul by C. Aldrich (drawn by W. Barton)
1:41.0,,,111-94,1,W. Barton makes free throw 1 of 2
1:41.0,,,111-94,,W. Barton misses free throw 2 of 2
1:40.0,Defensive rebound by L. Mbah a Moute,,111-94,,
1:25.0,A. Rivers misses 2-pt shot from 19 ft,,111-94,,
1:25.0,,,111-94,,Defensive rebound by Team
1:07.0,,,111-94,,Turnover by K. Papanikolaou (bad pass; steal by A. Rivers)
0:44.0,W. Johnson misses 2-pt shot from 22 ft,,111-94,,
0:44.0,,,111-94,,Defensive rebound by W. Barton
0:36.0,,,111-94,,W. Barton misses 2-pt shot from 2 ft (block by L. Mbah a Moute)
0:34.0,Defensive rebound by A. Rivers,,111-94,,
0:14.0,A. Rivers misses 3-pt shot from 27 ft,,111-94,,
0:13.0,,,111-94,,Defensive rebound by N. Jokic
0:00.0,End of 4th quarter,,,,End of 4th quarter
