time,LA Clippers,pts.away,score,pts.home,Denver
1:01.0,A. Rivers misses 3-pt shot from 25 ft,,25-24,,
1:01.0,,,25-24,,Defensive rebound by D. Gallinari
0:50.0,,,25-26,2,J. Hickson makes 2-pt shot from 1 ft (assist by J. Nelson)
0:39.0,,,25-26,,Personal foul by D. Arthur (drawn by B. Griffin)
0:39.0,,,25-26,,M. Miller enters the game for D. Arthur
0:33.0,B. Griffin misses 2-pt shot from 22 ft,,25-26,,
0:30.0,,,25-26,,Defensive rebound by J. Nelson
0:12.0,,,25-26,,W. Barton misses 2-pt shot from 19 ft
0:11.0,Defensive rebound by J. Crawford,,25-26,,
0:01.0,J. Crawford misses 2-pt shot from 13 ft,,25-26,,
0:00.0,Offensive rebound by Team,,25-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,Turnover by J. Smith (lost ball; steal by J. Hickson),,25-26,,
11:27.0,,,25-28,2,J. Hickson makes 2-pt shot from 3 ft
11:14.0,J. Smith makes 2-pt shot from 1 ft (assist by J. Crawford),2,27-28,,
10:51.0,Personal foul by A. Rivers (drawn by J. Nelson),,27-28,,
10:50.0,Personal foul by A. Rivers (drawn by J. Nelson),,27-28,,
10:35.0,,,27-28,,J. Hickson misses 2-pt shot from 16 ft
10:33.0,,,27-28,,Offensive rebound by R. Foye
10:29.0,,,27-28,,Turnover by R. Foye (lost ball)
10:15.0,Offensive foul by J. Smith,,27-28,,
10:15.0,Turnover by J. Smith (offensive foul),,27-28,,
10:06.0,,,27-28,,R. Foye misses 3-pt shot from 25 ft
10:05.0,Defensive rebound by P. Pierce,,27-28,,
9:52.0,,,27-28,,Personal foul by M. Miller (drawn by J. Crawford)
9:42.0,J. Crawford makes 2-pt shot from 7 ft,2,29-28,,
9:27.0,,,29-28,,J. Hickson misses 2-pt shot from 4 ft
9:27.0,Defensive rebound by J. Smith,,29-28,,
9:22.0,Shooting foul by R. Foye (drawn by L. Stephenson),,29-28,,
9:22.0,L. Stephenson makes free throw 1 of 2,1,30-28,,
9:22.0,L. Stephenson makes free throw 2 of 2,1,31-28,,
8:59.0,,,31-28,,W. Barton misses 3-pt shot from 25 ft
8:58.0,Defensive rebound by J. Crawford,,31-28,,
8:52.0,Shooting foul by W. Barton (drawn by J. Smith),,31-28,,
8:52.0,Official timeout,,31-28,,
8:52.0,J. Smith misses free throw 1 of 2,,31-28,,
8:52.0,Offensive rebound by Team,,31-28,,
8:52.0,J. Smith makes free throw 2 of 2,1,32-28,,
8:40.0,,,32-31,3,M. Miller makes 3-pt shot from 27 ft (assist by R. Foye)
