time,Detroit,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Thompson (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. T. Thompson (R. Jackson gains possession)
11:42.0,M. Morris makes 2-pt shot from 19 ft (assist by R. Jackson),2,2-0,,
11:28.0,,,2-0,,K. Irving misses 2-pt shot from 15 ft
11:27.0,,,2-0,,Offensive rebound by T. Thompson
11:22.0,,,2-3,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
11:07.0,T. Harris misses 3-pt shot from 22 ft,,2-3,,
11:06.0,,,2-3,,Defensive rebound by L. James
10:42.0,,,2-3,,J. Smith misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by M. Morris,,2-3,,
10:36.0,Turnover by R. Jackson (lost ball; steal by K. Irving),,2-3,,
10:30.0,,,2-5,2,L. James makes 2-pt shot from 1 ft
10:06.0,A. Drummond misses 2-pt shot from 13 ft,,2-5,,
10:05.0,,,2-5,,Defensive rebound by K. Love
9:58.0,,,2-5,,K. Irving misses 2-pt shot from 21 ft
9:57.0,Defensive rebound by R. Jackson,,2-5,,
9:51.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,2-5,,
9:48.0,Offensive rebound by T. Harris,,2-5,,
9:48.0,T. Harris makes 2-pt shot at rim,2,4-5,,
9:26.0,,,4-7,2,K. Love makes 2-pt shot from 17 ft (assist by J. Smith)
9:03.0,M. Morris makes 2-pt shot from 12 ft (assist by R. Jackson),2,6-7,,
8:45.0,,,6-7,,K. Love misses 2-pt shot from 14 ft
8:44.0,Defensive rebound by T. Harris,,6-7,,
8:37.0,Turnover by T. Harris (lost ball; steal by J. Smith),,6-7,,
8:31.0,,,6-9,2,L. James makes 2-pt shot from 1 ft (assist by T. Thompson)
8:13.0,M. Morris makes 2-pt shot from 17 ft,2,8-9,,
7:51.0,,,8-9,,K. Irving misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by A. Drummond,,8-9,,
7:36.0,R. Jackson makes 3-pt shot from 25 ft (assist by T. Harris),3,11-9,,
7:13.0,,,11-11,2,L. James makes 2-pt shot from 1 ft (assist by K. Irving)
7:00.0,Turnover by R. Jackson (lost ball; steal by K. Love),,11-11,,
