time,Milwaukee,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. G. Monroe (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. G. Monroe (R. Jackson gains possession)
11:48.0,,,0-0,,A. Drummond misses 2-pt shot from 1 ft
11:47.0,Defensive rebound by G. Antetokounmpo,,0-0,,
11:24.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,0-0,,
11:24.0,Offensive rebound by J. Parker,,0-0,,
11:11.0,K. Middleton makes 2-pt shot from 12 ft (assist by G. Antetokounmpo),2,2-0,,
10:57.0,,,2-0,,A. Drummond misses 2-pt shot at rim (block by J. Parker)
10:56.0,,,2-0,,Offensive rebound by A. Drummond
10:53.0,,,2-2,2,A. Drummond makes 2-pt shot at rim
10:36.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,2-2,,
10:36.0,Offensive rebound by G. Monroe,,2-2,,
10:33.0,G. Monroe makes 2-pt shot at rim,2,4-2,,
10:12.0,,,4-5,3,M. Morris makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope)
9:56.0,G. Monroe misses 2-pt shot from 19 ft,,4-5,,
9:56.0,,,4-5,,Defensive rebound by R. Jackson
9:52.0,,,4-5,,Shooting foul by J. Bayless (drawn by R. Jackson)
9:52.0,,,4-6,1,R. Jackson makes free throw 1 of 2
9:52.0,,,4-7,1,R. Jackson makes free throw 2 of 2
9:40.0,J. Parker misses 2-pt shot from 17 ft,,4-7,,
9:40.0,,,4-7,,Defensive rebound by A. Drummond
9:33.0,,,4-7,,Turnover by R. Jackson (lost ball; steal by G. Monroe)
9:27.0,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo),2,6-7,,
9:03.0,,,6-7,,A. Drummond misses 2-pt shot from 7 ft
9:01.0,Defensive rebound by G. Antetokounmpo,,6-7,,
8:54.0,G. Monroe makes 2-pt shot from 6 ft (assist by G. Antetokounmpo),2,8-7,,
8:42.0,,,8-7,,R. Jackson misses 2-pt shot at rim
8:41.0,Defensive rebound by G. Monroe,,8-7,,
8:25.0,K. Middleton makes 3-pt shot from 23 ft (assist by J. Bayless),3,11-7,,
8:02.0,,,11-9,2,T. Harris makes 2-pt shot from 16 ft (assist by M. Morris)
7:43.0,K. Middleton misses 2-pt shot from 13 ft,,11-9,,
7:43.0,,,11-9,,Defensive rebound by M. Morris
7:37.0,,,11-9,,Offensive charge foul by R. Jackson
7:37.0,,,11-9,,Turnover by R. Jackson (offensive foul)
7:24.0,G. Monroe misses 2-pt shot at rim,,11-9,,
7:23.0,,,11-9,,Defensive rebound by M. Morris
7:14.0,,,11-11,2,K. Caldwell-Pope makes 2-pt shot from 9 ft (assist by R. Jackson)
6:48.0,G. Antetokounmpo makes 2-pt shot from 5 ft,2,13-11,,
6:33.0,,,13-11,,K. Caldwell-Pope misses 3-pt shot from 26 ft
6:33.0,Defensive rebound by G. Antetokounmpo,,13-11,,
6:20.0,J. Parker misses 2-pt shot from 17 ft,,13-11,,
6:20.0,,,13-11,,Defensive rebound by A. Drummond
6:12.0,,,13-11,,T. Harris misses 3-pt shot from 23 ft
6:12.0,Defensive rebound by G. Monroe,,13-11,,
5:51.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Bayless),2,15-11,,
5:45.0,,,15-11,,Detroit full timeout
5:24.0,,,15-11,,T. Harris misses 2-pt shot at rim
5:24.0,Defensive rebound by J. Parker,,15-11,,
5:03.0,G. Monroe makes 2-pt shot at rim (assist by K. Middleton),2,17-11,,
4:42.0,,,17-14,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by R. Jackson)
4:19.0,K. Middleton makes 2-pt shot from 11 ft,2,19-14,,
4:19.0,Technical foul by G. Antetokounmpo,,19-14,,
