time,Miami,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Stoudemire vs. J. Valanciunas,,,,Jump ball: A. Stoudemire vs. J. Valanciunas
11:57.0,,,0-0,,Violation by Team (jump ball)
11:45.0,A. Stoudemire misses 2-pt shot from 19 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by D. DeRozan
11:32.0,,,0-0,,D. DeRozan misses 2-pt shot from 19 ft
11:31.0,Defensive rebound by J. Johnson,,0-0,,
11:23.0,L. Deng makes 2-pt shot from 2 ft (assist by J. Winslow),2,2-0,,
10:58.0,,,2-0,,K. Lowry misses 2-pt shot from 6 ft
10:58.0,,,2-0,,Offensive rebound by Team
10:58.0,,,2-0,,Turnover by Team (shot clock)
10:44.0,J. Winslow misses 2-pt shot from 4 ft,,2-0,,
10:43.0,,,2-0,,Defensive rebound by J. Valanciunas
10:31.0,,,2-2,2,L. Scola makes 2-pt shot from 2 ft
10:20.0,G. Dragic makes 2-pt shot from 9 ft,2,4-2,,
9:58.0,,,4-4,2,J. Valanciunas makes 2-pt shot from 9 ft
9:39.0,G. Dragic makes 3-pt shot from 24 ft (assist by L. Deng),3,7-4,,
9:16.0,,,7-4,,L. Scola misses 2-pt shot from 8 ft
9:16.0,Defensive rebound by G. Dragic,,7-4,,
9:03.0,Turnover by A. Stoudemire (bad pass),,7-4,,
8:49.0,,,7-4,,J. Johnson misses 3-pt shot from 24 ft
8:48.0,Defensive rebound by J. Winslow,,7-4,,
8:41.0,G. Dragic misses 2-pt shot from 3 ft,,7-4,,
8:41.0,,,7-4,,Defensive rebound by Team
8:29.0,,,7-7,3,K. Lowry makes 3-pt shot from 26 ft (assist by D. DeRozan)
8:23.0,Shooting foul by L. Scola (drawn by L. Deng),,7-7,,
8:23.0,L. Deng makes free throw 1 of 2,1,8-7,,
8:23.0,L. Deng makes free throw 2 of 2,1,9-7,,
8:10.0,,,9-9,2,D. DeRozan makes 2-pt shot from 10 ft
7:50.0,G. Dragic makes 2-pt shot from 12 ft,2,11-9,,
7:30.0,,,11-9,,Turnover by J. Johnson (bad pass)
7:17.0,L. Deng misses 3-pt shot from 24 ft,,11-9,,
7:16.0,,,11-9,,Defensive rebound by D. DeRozan
7:06.0,,,11-11,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
6:48.0,Turnover by J. Johnson (lost ball; steal by J. Johnson),,11-11,,
6:43.0,,,11-13,2,J. Johnson makes 2-pt shot from 1 ft
6:20.0,Turnover by J. Winslow (lost ball; steal by L. Scola),,11-13,,
6:14.0,,,11-15,2,J. Johnson makes 2-pt shot at rim (assist by L. Scola)
5:54.0,J. Johnson makes 2-pt shot from 15 ft,2,13-15,,
5:40.0,,,13-15,,Shooting foul by A. Stoudemire (drawn by J. Valanciunas)
5:40.0,,,13-15,,Toronto full timeout
5:40.0,G. Green enters the game for L. Deng,,13-15,,
5:40.0,J. Richardson enters the game for G. Dragic,,13-15,,
5:40.0,,,13-16,1,J. Valanciunas makes free throw 1 of 2
