time,Memphis,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:39.0,,,0-0,,R. Hibbert misses 2-pt shot from 4 ft
12:00.0,Jump ball: R. Hibbert vs. B. Wright (D. Russell gains possession),,,,Jump ball: R. Hibbert vs. B. Wright (D. Russell gains possession)
11:36.0,Defensive rebound by B. Wright,,0-0,,
11:22.0,M. Barnes misses 3-pt shot from 23 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by D. Russell
11:03.0,,,0-2,2,J. Clarkson makes 2-pt shot from 5 ft (assist by D. Russell)
10:36.0,Z. Randolph makes 2-pt shot from 18 ft,2,2-2,,
10:24.0,,,2-2,,Turnover by J. Randle (bad pass; steal by M. Conley)
10:21.0,M. Conley makes 2-pt shot from 2 ft,2,4-2,,
10:02.0,,,4-2,,Turnover by D. Russell (bad pass; steal by M. Barnes)
9:57.0,B. Wright makes 2-pt shot at rim (assist by M. Barnes),2,6-2,,
9:43.0,,,6-2,,J. Clarkson misses 3-pt shot from 26 ft
9:41.0,Defensive rebound by Z. Randolph,,6-2,,
9:31.0,P. Hairston misses 3-pt shot from 24 ft,,6-2,,
9:30.0,,,6-2,,Defensive rebound by Team
9:06.0,,,6-4,2,R. Hibbert makes 2-pt shot from 3 ft
8:44.0,Z. Randolph misses 2-pt shot from 2 ft,,6-4,,
8:43.0,,,6-4,,Defensive rebound by J. Randle
8:37.0,,,6-4,,J. Randle misses 2-pt shot from 1 ft
8:33.0,Defensive rebound by Z. Randolph,,6-4,,
8:29.0,M. Conley makes 2-pt shot from 1 ft,2,8-4,,
8:15.0,,,8-4,,Shooting foul by M. Conley (drawn by D. Russell)
8:15.0,,,8-5,1,D. Russell makes free throw 1 of 2
8:15.0,,,8-6,1,D. Russell makes free throw 2 of 2
8:01.0,M. Conley misses 3-pt shot from 25 ft,,8-6,,
8:00.0,,,8-6,,Defensive rebound by J. Randle
