time,Charlotte,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. S. Hawes (D. Cousins gains possession),,,,Jump ball: W. Cauley-Stein vs. S. Hawes (D. Cousins gains possession)
11:36.0,,,0-0,,D. Cousins misses 2-pt shot from 7 ft
11:35.0,Defensive rebound by S. Hawes,,0-0,,
11:23.0,,,0-0,,Personal foul by R. Rondo (drawn by J. Lin)
11:15.0,K. Walker makes 2-pt shot from 2 ft,2,2-0,,
10:58.0,,,2-0,,R. Gay misses 2-pt shot from 22 ft
10:56.0,Defensive rebound by J. Lin,,2-0,,
10:44.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,5-0,,
10:36.0,,,5-2,2,R. Gay makes 2-pt shot at rim (assist by D. Cousins)
10:11.0,S. Hawes makes 2-pt shot from 12 ft (assist by M. Williams),2,7-2,,
10:06.0,,,7-2,,Turnover by W. Cauley-Stein (lost ball; steal by P. Hairston)
9:57.0,M. Williams misses 3-pt shot from 23 ft,,7-2,,
9:57.0,,,7-2,,Defensive rebound by R. Gay
9:51.0,,,7-2,,Turnover by R. Rondo (bad pass; steal by K. Walker)
9:44.0,J. Lin misses 2-pt shot from 22 ft,,7-2,,
9:44.0,,,7-2,,Defensive rebound by D. Cousins
9:28.0,,,7-5,3,R. Rondo makes 3-pt shot from 23 ft (assist by D. Cousins)
9:13.0,K. Walker misses 2-pt shot from 15 ft,,7-5,,
9:12.0,,,7-5,,Defensive rebound by R. Rondo
9:07.0,,,7-7,2,R. Rondo makes 2-pt shot from 1 ft
8:50.0,M. Williams misses 2-pt shot from 22 ft,,7-7,,
8:50.0,,,7-7,,Defensive rebound by Team
8:38.0,,,7-9,2,D. Cousins makes 2-pt shot at rim (assist by R. Rondo)
8:04.0,J. Lin misses 2-pt shot from 22 ft,,7-9,,
8:03.0,,,7-9,,Defensive rebound by R. Rondo
7:59.0,,,7-9,,Turnover by R. Rondo (lost ball; steal by S. Hawes)
7:54.0,J. Lin makes 2-pt shot from 2 ft,2,9-9,,
7:40.0,,,9-9,,R. Gay misses 2-pt shot from 2 ft
7:39.0,Defensive rebound by S. Hawes,,9-9,,
7:31.0,,,9-9,,Personal foul by D. Cousins (drawn by J. Lin)
7:20.0,K. Walker misses 3-pt shot from 23 ft,,9-9,,
7:20.0,,,9-9,,Defensive rebound by D. Cousins
7:11.0,Personal foul by P. Hairston (drawn by D. Cousins),,9-9,,
6:57.0,,,9-11,2,R. Gay makes 2-pt shot from 18 ft
6:45.0,K. Walker misses 2-pt shot from 19 ft,,9-11,,
6:44.0,,,9-11,,Defensive rebound by W. Cauley-Stein
6:34.0,,,9-11,,Turnover by D. Cousins (bad pass)
6:22.0,P. Hairston misses 2-pt shot from 7 ft,,9-11,,
6:21.0,,,9-11,,Defensive rebound by D. Cousins
6:19.0,,,9-11,,Turnover by D. Cousins (bad pass; steal by K. Walker)
6:15.0,K. Walker misses 3-pt shot from 25 ft,,9-11,,
6:14.0,,,9-11,,Defensive rebound by R. Gay
6:00.0,,,9-13,2,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo)
5:41.0,J. Lin misses 2-pt shot from 19 ft,,9-13,,
5:40.0,,,9-13,,Defensive rebound by R. Gay
5:29.0,,,9-13,,W. Cauley-Stein misses 2-pt shot from 2 ft
5:28.0,,,9-13,,Offensive rebound by W. Cauley-Stein
5:28.0,,,9-13,,W. Cauley-Stein misses 2-pt shot from 2 ft
5:27.0,Defensive rebound by M. Williams,,9-13,,
5:12.0,M. Williams misses 2-pt shot from 8 ft,,9-13,,
5:11.0,,,9-13,,Defensive rebound by D. Cousins
5:00.0,,,9-16,3,R. Gay makes 3-pt shot from 25 ft (assist by B. McLemore)
4:47.0,Charlotte full timeout,,9-16,,
4:47.0,F. Kaminsky enters the game for M. Williams,,9-16,,
4:47.0,,,9-16,,O. Casspi enters the game for W. Cauley-Stein
4:37.0,S. Hawes misses 3-pt shot from 24 ft,,9-16,,
4:37.0,,,9-16,,Defensive rebound by R. Gay
4:28.0,,,9-16,,D. Cousins misses 2-pt shot from 2 ft
4:27.0,Defensive rebound by F. Kaminsky,,9-16,,
4:16.0,S. Hawes misses 2-pt shot from 15 ft,,9-16,,
4:15.0,,,9-16,,Defensive rebound by R. Gay
4:05.0,,,9-16,,R. Rondo misses 2-pt shot from 17 ft
4:04.0,Defensive rebound by J. Lin,,9-16,,
3:59.0,J. Lin misses 2-pt shot from 2 ft (block by D. Cousins),,9-16,,
