time,Boston,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. A. Johnson (L. Scola gains possession),,,,Jump ball: B. Biyombo vs. A. Johnson (L. Scola gains possession)
11:40.0,,,0-2,2,L. Scola makes 2-pt shot from 1 ft (assist by D. DeRozan)
11:26.0,A. Bradley misses 3-pt shot from 24 ft,,0-2,,
11:25.0,Offensive rebound by A. Bradley,,0-2,,
11:20.0,J. Sullinger makes 2-pt shot from 1 ft (assist by A. Bradley),2,2-2,,
10:52.0,,,2-5,3,N. Powell makes 3-pt shot from 24 ft (assist by K. Lowry)
10:40.0,Turnover by J. Sullinger (bad pass),,2-5,,
10:24.0,,,2-7,2,K. Lowry makes 2-pt shot from 19 ft (assist by B. Biyombo)
10:12.0,Turnover by J. Sullinger (bad pass),,2-7,,
10:02.0,,,2-10,3,L. Scola makes 3-pt shot from 26 ft (assist by D. DeRozan)
9:43.0,,,2-10,,Personal foul by B. Biyombo
9:34.0,I. Thomas makes 2-pt shot from 15 ft,2,4-10,,
9:08.0,,,4-10,,Turnover by Team (shot clock)
8:56.0,A. Bradley makes 2-pt shot from 2 ft,2,6-10,,
8:29.0,,,6-13,3,D. DeRozan makes 3-pt shot from 26 ft (assist by K. Lowry)
8:16.0,J. Sullinger makes 2-pt shot from 20 ft (assist by I. Thomas),2,8-13,,
8:03.0,,,8-13,,L. Scola misses 3-pt shot from 25 ft
8:02.0,,,8-13,,Offensive rebound by B. Biyombo
8:00.0,,,8-13,,B. Biyombo misses 2-pt shot from 3 ft
7:57.0,,,8-13,,Offensive rebound by B. Biyombo
7:46.0,,,8-16,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
7:35.0,Turnover by A. Johnson (bad pass),,8-16,,
7:35.0,Boston full timeout,,8-16,,
7:13.0,,,8-18,2,L. Scola makes 2-pt shot from 3 ft (assist by D. DeRozan)
6:58.0,A. Johnson misses 2-pt shot from 6 ft,,8-18,,
6:57.0,,,8-18,,Defensive rebound by L. Scola
6:40.0,,,8-18,,L. Scola misses 2-pt shot from 9 ft
6:40.0,Defensive rebound by J. Sullinger,,8-18,,
6:33.0,A. Bradley misses 3-pt shot from 24 ft,,8-18,,
6:31.0,,,8-18,,Defensive rebound by N. Powell
6:20.0,,,8-21,3,L. Scola makes 3-pt shot from 23 ft (assist by K. Lowry)
6:07.0,,,8-21,,Personal foul by B. Biyombo
6:07.0,M. Smart enters the game for E. Turner,,8-21,,
6:07.0,K. Olynyk enters the game for A. Johnson,,8-21,,
6:07.0,J. Mickey enters the game for J. Sullinger,,8-21,,
6:07.0,,,8-21,,J. Thompson enters the game for B. Biyombo
6:01.0,I. Thomas makes 3-pt shot from 24 ft,3,11-21,,
5:37.0,,,11-23,2,L. Scola makes 2-pt shot from 3 ft
5:19.0,A. Bradley misses 2-pt shot from 20 ft,,11-23,,
5:19.0,,,11-23,,Defensive rebound by J. Thompson
5:01.0,,,11-23,,D. DeRozan misses 2-pt shot from 9 ft
5:01.0,Defensive rebound by I. Thomas,,11-23,,
4:55.0,,,11-23,,Personal foul by L. Scola
4:52.0,I. Thomas misses 3-pt shot from 23 ft,,11-23,,
4:51.0,,,11-23,,Defensive rebound by J. Thompson
4:27.0,,,11-23,,Turnover by Team (shot clock)
4:08.0,K. Olynyk misses 3-pt shot from 25 ft,,11-23,,
4:08.0,,,11-23,,Defensive rebound by K. Lowry
4:04.0,,,11-23,,Turnover by N. Powell (step out of bounds)
3:55.0,Turnover by A. Bradley (lost ball; steal by L. Scola),,11-23,,
3:47.0,,,11-25,2,L. Scola makes 2-pt shot at rim
3:25.0,K. Olynyk makes 3-pt shot from 24 ft (assist by M. Smart),3,14-25,,
3:04.0,,,14-25,,D. DeRozan misses 2-pt shot from 3 ft
3:03.0,,,14-25,,Offensive rebound by K. Lowry
2:58.0,,,14-28,3,L. Scola makes 3-pt shot from 25 ft (assist by K. Lowry)
2:49.0,Shooting foul by J. Thompson (drawn by J. Mickey),,14-28,,
2:49.0,,,14-28,,Toronto full timeout
2:49.0,,,14-28,,T. Ross enters the game for N. Powell
2:49.0,,,14-28,,C. Joseph enters the game for K. Lowry
2:49.0,J. Mickey misses free throw 1 of 2,,14-28,,
2:49.0,Offensive rebound by Team,,14-28,,
2:49.0,J. Mickey misses free throw 2 of 2,,14-28,,
2:48.0,,,14-28,,Defensive rebound by L. Scola
2:24.0,,,14-28,,C. Joseph misses 2-pt shot from 12 ft
2:24.0,Defensive rebound by I. Thomas,,14-28,,
2:19.0,Turnover by I. Thomas (lost ball; steal by D. DeRozan),,14-28,,
2:14.0,,,14-28,,Turnover by D. DeRozan (lost ball; steal by I. Thomas)
2:10.0,Turnover by Team (back court),,14-28,,
1:52.0,,,14-28,,T. Ross misses 3-pt shot from 23 ft
1:52.0,Defensive rebound by K. Olynyk,,14-28,,
1:27.0,Turnover by I. Thomas (lost ball; steal by C. Joseph),,14-28,,
1:18.0,R. Hunter enters the game for I. Thomas,,14-28,,
1:18.0,,,14-28,,P. Patterson enters the game for L. Scola
1:06.0,,,14-30,2,C. Joseph makes 2-pt shot from 4 ft (assist by D. DeRozan)
0:45.0,J. Mickey misses 2-pt shot from 2 ft,,14-30,,
0:44.0,,,14-30,,Defensive rebound by T. Ross
0:36.0,,,14-30,,C. Joseph misses 3-pt shot from 23 ft
0:35.0,Defensive rebound by A. Bradley,,14-30,,
0:27.0,M. Smart misses 2-pt shot from 5 ft,,14-30,,
0:27.0,,,14-30,,Defensive rebound by Team
0:27.0,,,14-30,,Personal foul by J. Thompson
0:27.0,Personal foul by J. Mickey,,14-30,,
0:09.0,,,14-30,,C. Joseph misses 2-pt shot from 2 ft (block by J. Mickey)
0:08.0,Defensive rebound by M. Smart,,14-30,,
0:02.0,M. Smart misses 3-pt shot from 26 ft,,14-30,,
0:02.0,,,14-30,,Defensive rebound by D. DeRozan
0:00.0,,,14-30,,D. DeRozan misses 3-pt shot from 46 ft
0:00.0,,,14-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Turnover by R. Hunter (lost ball; steal by K. Lowry),,14-30,,
11:33.0,,,14-30,,P. Patterson misses 2-pt shot from 13 ft
11:33.0,Defensive rebound by T. Rozier,,14-30,,
11:27.0,R. Hunter makes 3-pt shot from 27 ft (assist by T. Rozier),3,17-30,,
