time,New York,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,C. Anthony misses 2-pt shot from 19 ft,,0-0,,
12:00.0,Jump ball: A. Johnson vs. R. Lopez (K. Porzingis gains possession),,,,Jump ball: A. Johnson vs. R. Lopez (K. Porzingis gains possession)
11:41.0,,,0-0,,Defensive rebound by A. Bradley
11:27.0,,,0-3,3,J. Crowder makes 3-pt shot from 24 ft (assist by A. Bradley)
11:08.0,J. Calderon misses 2-pt shot from 16 ft,,0-3,,
11:07.0,,,0-3,,Defensive rebound by Team
10:55.0,,,0-3,,I. Thomas misses 3-pt shot from 24 ft
10:54.0,Defensive rebound by K. Porzingis,,0-3,,
10:38.0,K. Porzingis misses 2-pt shot from 12 ft,,0-3,,
10:37.0,Offensive rebound by R. Lopez,,0-3,,
10:37.0,R. Lopez makes 2-pt shot at rim,2,2-3,,
10:21.0,,,2-3,,J. Sullinger misses 2-pt shot from 18 ft
10:20.0,Defensive rebound by A. Afflalo,,2-3,,
10:04.0,C. Anthony misses 2-pt shot from 20 ft,,2-3,,
10:02.0,,,2-3,,Defensive rebound by I. Thomas
9:53.0,,,2-5,2,A. Bradley makes 2-pt shot from 21 ft
9:40.0,K. Porzingis misses 3-pt shot from 26 ft,,2-5,,
9:39.0,,,2-5,,Defensive rebound by J. Sullinger
9:31.0,,,2-5,,Turnover by I. Thomas (bad pass; steal by K. Porzingis)
9:23.0,K. Porzingis misses 2-pt shot from 1 ft,,2-5,,
9:22.0,,,2-5,,Defensive rebound by A. Johnson
9:16.0,,,2-5,,J. Crowder misses 2-pt shot from 22 ft
9:15.0,Defensive rebound by K. Porzingis,,2-5,,
9:09.0,C. Anthony makes 2-pt shot at rim,2,4-5,,
8:55.0,,,4-7,2,A. Bradley makes 2-pt shot from 19 ft (assist by I. Thomas)
8:40.0,K. Porzingis makes 2-pt shot from 1 ft (assist by J. Calderon),2,6-7,,
8:28.0,,,6-7,,A. Johnson misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by C. Anthony,,6-7,,
8:16.0,R. Lopez misses 2-pt shot from 15 ft,,6-7,,
8:15.0,Offensive rebound by K. Porzingis,,6-7,,
8:08.0,Shooting foul by J. Sullinger (drawn by R. Lopez),,6-7,,
8:08.0,R. Lopez makes free throw 1 of 2,1,7-7,,
8:08.0,R. Lopez makes free throw 2 of 2,1,8-7,,
7:48.0,,,8-7,,J. Sullinger misses 2-pt shot from 2 ft (block by K. Porzingis)
7:47.0,Defensive rebound by C. Anthony,,8-7,,
7:39.0,,,8-7,,Personal foul by I. Thomas (drawn by J. Calderon)
7:39.0,,,8-7,,K. Olynyk enters the game for A. Johnson
7:39.0,L. Galloway enters the game for J. Calderon,,8-7,,
7:26.0,A. Afflalo makes 2-pt shot from 8 ft,2,10-7,,
7:18.0,,,10-9,2,I. Thomas makes 2-pt shot from 16 ft
6:56.0,K. Porzingis misses 2-pt shot from 16 ft,,10-9,,
6:55.0,,,10-9,,Defensive rebound by J. Crowder
6:47.0,,,10-9,,A. Bradley misses 2-pt shot from 19 ft
6:46.0,Defensive rebound by Team,,10-9,,
6:29.0,A. Afflalo misses 2-pt shot from 12 ft,,10-9,,
6:28.0,Offensive rebound by K. Porzingis,,10-9,,
6:18.0,New York full timeout,,10-9,,
6:18.0,J. Calderon enters the game for L. Galloway,,10-9,,
6:01.0,C. Anthony misses 2-pt shot from 2 ft,,10-9,,
5:59.0,,,10-9,,Defensive rebound by Team
5:45.0,,,10-9,,J. Sullinger misses 2-pt shot from 1 ft (block by K. Porzingis)
5:44.0,,,10-9,,Offensive rebound by J. Sullinger
5:37.0,,,10-11,2,K. Olynyk makes 2-pt shot from 2 ft
5:23.0,R. Lopez misses 2-pt shot from 4 ft,,10-11,,
5:22.0,,,10-11,,Defensive rebound by J. Crowder
5:16.0,,,10-11,,Shooting foul by K. Porzingis (drawn by I. Thomas)
5:16.0,,,10-11,,I. Thomas misses free throw 1 of 2
5:16.0,,,10-11,,Offensive rebound by Team
5:16.0,,,10-12,1,I. Thomas makes free throw 2 of 2
5:02.0,A. Afflalo misses 2-pt shot from 6 ft (block by A. Bradley),,10-12,,
5:01.0,,,10-12,,Defensive rebound by K. Olynyk
4:49.0,,,10-14,2,A. Bradley makes 2-pt shot from 1 ft (assist by K. Olynyk)
4:32.0,Shooting foul by K. Olynyk (drawn by K. Porzingis),,10-14,,
4:32.0,K. Porzingis makes free throw 1 of 2,1,11-14,,
4:32.0,K. Porzingis makes free throw 2 of 2,1,12-14,,
4:23.0,,,12-14,,A. Bradley misses 2-pt shot from 14 ft
4:22.0,Defensive rebound by J. Calderon,,12-14,,
4:17.0,C. Anthony misses 2-pt shot at rim,,12-14,,
4:16.0,Offensive rebound by C. Anthony,,12-14,,
4:15.0,C. Anthony makes 2-pt shot at rim,2,14-14,,
4:15.0,Shooting foul by J. Crowder (drawn by C. Anthony),,14-14,,
4:15.0,K. O'Quinn enters the game for R. Lopez,,14-14,,
4:15.0,L. Galloway enters the game for J. Calderon,,14-14,,
4:15.0,,,14-14,,E. Turner enters the game for I. Thomas
4:15.0,C. Anthony misses free throw 1 of 1,,14-14,,
4:15.0,,,14-14,,Defensive rebound by J. Crowder
4:00.0,,,14-14,,J. Crowder misses 2-pt shot from 6 ft
3:59.0,Defensive rebound by K. O'Quinn,,14-14,,
3:46.0,C. Anthony misses 2-pt shot from 16 ft,,14-14,,
3:45.0,Offensive rebound by C. Anthony,,14-14,,
3:42.0,C. Anthony makes 2-pt shot at rim,2,16-14,,
3:28.0,,,16-14,,Offensive foul by J. Sullinger
3:28.0,,,16-14,,Turnover by J. Sullinger (offensive foul)
3:28.0,D. Williams enters the game for K. Porzingis,,16-14,,
3:03.0,C. Anthony misses 2-pt shot from 13 ft,,16-14,,
3:02.0,,,16-14,,Defensive rebound by K. Olynyk
2:52.0,,,16-14,,Shooting foul by D. Williams (drawn by K. Olynyk)
2:52.0,,,16-14,,Boston full timeout
2:52.0,,,16-14,,M. Smart enters the game for J. Sullinger
2:52.0,,,16-14,,T. Zeller enters the game for A. Bradley
2:52.0,,,16-15,1,K. Olynyk makes free throw 1 of 2
2:52.0,,,16-16,1,K. Olynyk makes free throw 2 of 2
2:31.0,K. O'Quinn misses 3-pt shot from 24 ft,,16-16,,
2:30.0,,,16-16,,Defensive rebound by K. Olynyk
2:16.0,,,16-16,,E. Turner misses 2-pt shot from 17 ft
2:15.0,Defensive rebound by Team,,16-16,,
2:15.0,L. Thomas enters the game for C. Anthony,,16-16,,
1:59.0,L. Galloway makes 2-pt shot at rim (assist by K. O'Quinn),2,18-16,,
1:53.0,,,18-18,2,M. Smart makes 2-pt shot from 6 ft
1:53.0,,,18-18,,Shooting foul by L. Galloway (drawn by M. Smart)
1:53.0,S. Vujacic enters the game for A. Afflalo,,18-18,,
1:53.0,,,18-18,,R. Hunter enters the game for J. Crowder
1:53.0,,,18-19,1,M. Smart makes free throw 1 of 1
1:33.0,K. O'Quinn misses 2-pt shot from 7 ft,,18-19,,
1:32.0,,,18-19,,Defensive rebound by R. Hunter
1:26.0,,,18-19,,K. Olynyk misses 2-pt shot from 2 ft
1:25.0,Defensive rebound by S. Vujacic,,18-19,,
1:18.0,Turnover by K. O'Quinn (lost ball; steal by K. Olynyk),,18-19,,
1:12.0,,,18-19,,M. Smart misses 3-pt shot from 23 ft
