time,LA Lakers,pts.away,score,pts.home,Brooklyn
3:11.0,Defensive rebound by T. Black,,14-19,,
3:05.0,Shooting foul by B. Bogdanovic (drawn by T. Black),,14-19,,
3:05.0,T. Black makes free throw 1 of 2,1,15-19,,
3:05.0,N. Young enters the game for J. Clarkson,,15-19,,
3:05.0,T. Black misses free throw 2 of 2,,15-19,,
3:03.0,Offensive rebound by Team,,15-19,,
2:43.0,N. Young misses 3-pt shot from 24 ft,,15-19,,
2:42.0,,,15-19,,Defensive rebound by B. Lopez
2:23.0,,,15-19,,Turnover by T. Young (bad pass)
2:23.0,,,15-19,,Brooklyn full timeout
2:23.0,,,15-19,,A. Bargnani enters the game for B. Lopez
2:10.0,L. Nance misses 2-pt shot from 19 ft,,15-19,,
2:09.0,Offensive rebound by Team,,15-19,,
2:08.0,,,15-19,,Loose ball foul by A. Bargnani (drawn by T. Black)
2:08.0,T. Black makes free throw 1 of 2,1,16-19,,
2:08.0,,,16-19,,T. Robinson enters the game for T. Young
2:08.0,T. Black misses free throw 2 of 2,,16-19,,
2:06.0,,,16-19,,Defensive rebound by T. Robinson
1:46.0,,,16-19,,A. Bargnani misses 2-pt shot from 6 ft (block by N. Young)
1:45.0,,,16-19,,Offensive rebound by Team
1:42.0,,,16-19,,J. Jack misses 2-pt shot from 13 ft
1:41.0,,,16-19,,Offensive rebound by T. Robinson
1:39.0,,,16-21,2,T. Robinson makes 2-pt shot from 1 ft
1:22.0,L. Williams makes 2-pt shot from 1 ft,2,18-21,,
1:10.0,,,18-23,2,J. Jack makes 2-pt shot from 20 ft
0:49.0,L. Williams misses 3-pt shot from 25 ft,,18-23,,
0:48.0,,,18-23,,Defensive rebound by T. Robinson
0:40.0,,,18-25,2,W. Ellington makes 2-pt shot from 22 ft
0:26.0,Offensive foul by L. Nance,,18-25,,
0:26.0,Turnover by L. Nance (offensive foul),,18-25,,
0:06.0,,,18-27,2,T. Robinson makes 2-pt shot at rim (assist by J. Jack)
0:01.0,N. Young misses 3-pt shot from 32 ft,,18-27,,
0:00.0,Offensive rebound by Team,,18-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,L. Williams misses 2-pt shot from 19 ft,,18-27,,
11:46.0,Offensive rebound by Team,,18-27,,
11:44.0,N. Young misses 2-pt shot from 16 ft,,18-27,,
11:43.0,,,18-27,,Defensive rebound by Team
11:43.0,Loose ball foul by L. Nance (drawn by T. Robinson),,18-27,,
11:23.0,,,18-27,,A. Bargnani misses 2-pt shot from 7 ft
11:22.0,,,18-27,,Offensive rebound by T. Robinson
11:11.0,,,18-27,,W. Ellington misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by L. Nance,,18-27,,
11:03.0,K. Bryant misses 2-pt shot from 15 ft,,18-27,,
11:02.0,Offensive rebound by T. Black,,18-27,,
11:00.0,Turnover by T. Black (lost ball),,18-27,,
10:36.0,,,18-27,,T. Robinson misses 2-pt shot from 8 ft
10:35.0,Defensive rebound by L. Nance,,18-27,,
10:28.0,,,18-27,,Personal foul by S. Larkin
10:24.0,R. Hibbert enters the game for T. Black,,18-27,,
10:20.0,,,18-27,,J. Johnson enters the game for W. Ellington
10:19.0,Shooting foul by T. Robinson (drawn by K. Bryant),,18-27,,
10:19.0,K. Bryant makes free throw 1 of 2,1,19-27,,
10:19.0,K. Bryant makes free throw 2 of 2,1,20-27,,
10:08.0,,,20-29,2,T. Robinson makes 2-pt shot from 2 ft (assist by S. Larkin)
9:46.0,L. Nance makes 2-pt shot from 20 ft (assist by L. Williams),2,22-29,,
9:27.0,Personal foul by L. Nance (drawn by A. Bargnani),,22-29,,
9:15.0,,,22-29,,J. Johnson misses 2-pt shot from 6 ft
9:14.0,Defensive rebound by L. Nance,,22-29,,
9:04.0,K. Bryant makes 2-pt shot from 1 ft,2,24-29,,
