time,LA Lakers,pts.away,score,pts.home,Brooklyn
6:22.0,N. Young misses 2-pt shot from 22 ft,,92-83,,
6:21.0,Offensive rebound by R. Hibbert,,92-83,,
6:20.0,R. Hibbert misses 2-pt shot from 2 ft,,92-83,,
6:19.0,,,92-83,,Defensive rebound by B. Lopez
6:10.0,,,92-83,,J. Jack misses 2-pt shot from 17 ft
6:09.0,Defensive rebound by L. Nance,,92-83,,
6:01.0,L. Nance misses 2-pt shot from 2 ft (block by B. Lopez),,92-83,,
5:59.0,Offensive rebound by Team,,92-83,,
5:59.0,J. Randle enters the game for L. Nance,,92-83,,
5:59.0,J. Clarkson enters the game for N. Young,,92-83,,
5:49.0,L. Williams misses 2-pt shot from 13 ft,,92-83,,
5:48.0,,,92-83,,Defensive rebound by T. Young
5:47.0,Personal foul by L. Williams,,92-83,,
5:47.0,,,92-84,1,J. Jack makes free throw 1 of 2
5:47.0,,,92-84,,J. Jack misses free throw 2 of 2
5:46.0,Defensive rebound by R. Hibbert,,92-84,,
5:24.0,L. Williams misses 3-pt shot from 23 ft,,92-84,,
5:23.0,Offensive rebound by Team,,92-84,,
5:23.0,Turnover by Team (shot clock),,92-84,,
5:11.0,,,92-84,,Turnover by J. Jack (bad pass; steal by L. Williams)
5:05.0,Turnover by J. Randle (lost ball; steal by T. Young),,92-84,,
5:01.0,,,92-86,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by J. Jack)
4:41.0,,,92-86,,Personal foul by R. Hollis-Jefferson (drawn by J. Clarkson)
4:31.0,J. Clarkson makes 2-pt shot from 6 ft,2,94-86,,
4:12.0,,,94-86,,J. Johnson misses 3-pt shot from 24 ft
4:11.0,,,94-86,,Offensive rebound by R. Hollis-Jefferson
4:06.0,,,94-86,,J. Jack misses 3-pt shot from 26 ft
4:05.0,Defensive rebound by J. Randle,,94-86,,
3:49.0,J. Randle misses 2-pt shot from 5 ft (block by J. Johnson),,94-86,,
3:48.0,,,94-86,,Defensive rebound by J. Johnson
3:45.0,,,94-86,,Shooting foul by R. Hibbert (drawn by R. Hollis-Jefferson)
3:45.0,,,94-86,,R. Hollis-Jefferson misses free throw 1 of 2
3:45.0,,,94-86,,Offensive rebound by Team
3:45.0,D. Russell enters the game for L. Williams,,94-86,,
3:45.0,K. Bryant enters the game for M. World Peace,,94-86,,
3:45.0,,,94-87,1,R. Hollis-Jefferson makes free throw 2 of 2
3:23.0,J. Randle makes 2-pt shot from 2 ft,2,96-87,,
3:00.0,,,96-87,,J. Jack misses 2-pt shot from 8 ft (block by R. Hibbert)
2:59.0,Defensive rebound by R. Hibbert,,96-87,,
2:37.0,Turnover by J. Clarkson (bad pass; steal by J. Jack),,96-87,,
2:34.0,,,96-89,2,R. Hollis-Jefferson makes 2-pt shot at rim (assist by J. Johnson)
2:22.0,LA Lakers full timeout,,96-89,,
2:04.0,J. Clarkson misses 2-pt shot from 14 ft,,96-89,,
2:03.0,,,96-89,,Defensive rebound by B. Lopez
1:53.0,,,96-89,,Shooting foul by D. Russell (drawn by J. Johnson)
1:53.0,,,96-90,1,J. Johnson makes free throw 1 of 2
1:53.0,,,96-91,1,J. Johnson makes free throw 2 of 2
1:35.0,K. Bryant misses 3-pt shot from 23 ft,,96-91,,
1:34.0,,,96-91,,Defensive rebound by J. Jack
1:32.0,,,96-93,2,J. Johnson makes 2-pt shot from 2 ft (assist by J. Jack)
1:09.0,J. Randle makes 2-pt shot from 22 ft,2,98-93,,
1:01.0,Personal foul by J. Randle (drawn by R. Hollis-Jefferson),,98-93,,
1:01.0,,,98-93,,R. Hollis-Jefferson misses free throw 1 of 2
1:01.0,,,98-93,,Offensive rebound by Team
1:01.0,L. Williams enters the game for D. Russell,,98-93,,
1:01.0,,,98-93,,R. Hollis-Jefferson misses free throw 2 of 2
1:00.0,Defensive rebound by J. Randle,,98-93,,
0:39.0,Offensive charge foul by J. Clarkson,,98-93,,
0:39.0,Turnover by J. Clarkson (offensive foul),,98-93,,
0:39.0,,,98-93,,Brooklyn full timeout
0:34.0,,,98-93,,T. Young misses 2-pt shot from 4 ft (block by R. Hibbert)
0:32.0,,,98-93,,Offensive rebound by B. Lopez
0:30.0,,,98-95,2,J. Jack makes 2-pt shot from 22 ft
0:26.0,,,98-95,,Personal foul by J. Jack
0:26.0,LA Lakers full timeout,,98-95,,
0:26.0,N. Young enters the game for J. Randle,,98-95,,
0:26.0,,,98-95,,T. Robinson enters the game for B. Lopez
0:24.0,Turnover by R. Hibbert (bad pass),,98-95,,
0:24.0,,,98-95,,B. Lopez enters the game for T. Robinson
0:24.0,,,98-95,,B. Bogdanovic enters the game for R. Hollis-Jefferson
0:24.0,,,98-95,,Turnover by Team (5 sec inbounds)
0:24.0,,,98-95,,R. Hollis-Jefferson enters the game for B. Bogdanovic
0:24.0,,,98-95,,Personal foul by J. Johnson (drawn by K. Bryant)
0:24.0,K. Bryant makes free throw 1 of 2,1,99-95,,
0:24.0,K. Bryant makes free throw 2 of 2,1,100-95,,
0:24.0,,,100-95,,Brooklyn full timeout
0:24.0,,,100-95,,B. Bogdanovic enters the game for R. Hollis-Jefferson
0:20.0,,,100-95,,J. Johnson misses 3-pt shot from 24 ft
0:19.0,Defensive rebound by K. Bryant,,100-95,,
0:19.0,,,100-95,,Personal foul by J. Jack (drawn by K. Bryant)
0:19.0,K. Bryant makes free throw 1 of 2,1,101-95,,
0:19.0,K. Bryant makes free throw 2 of 2,1,102-95,,
0:10.0,,,102-95,,B. Bogdanovic misses 3-pt shot from 24 ft
0:09.0,Defensive rebound by N. Young,,102-95,,
0:08.0,,,102-95,,Personal foul by T. Young (drawn by N. Young)
0:08.0,N. Young makes free throw 1 of 2,1,103-95,,
0:08.0,N. Young makes free throw 2 of 2,1,104-95,,
0:03.0,,,104-98,3,J. Jack makes 3-pt shot from 25 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
