time,New Orleans,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: A. Davis vs. N. Vucevic (E. Payton gains possession)
11:39.0,,,0-3,3,C. Frye makes 3-pt shot from 23 ft (assist by T. Harris)
11:21.0,Turnover by E. Gordon (lost ball; steal by C. Frye),,0-3,,
11:08.0,,,0-6,3,E. Fournier makes 3-pt shot from 24 ft (assist by C. Frye)
10:55.0,,,0-6,,Def 3 sec tech foul by N. Vucevic
10:55.0,A. Davis misses technical free throw,,0-6,,
10:55.0,Offensive rebound by Team,,0-6,,
10:40.0,O. Asik misses 2-pt shot from 2 ft,,0-6,,
10:39.0,Offensive rebound by T. Evans,,0-6,,
10:33.0,E. Gordon misses 3-pt shot from 23 ft,,0-6,,
10:33.0,,,0-6,,Defensive rebound by E. Payton
10:22.0,,,0-8,2,E. Fournier makes 2-pt shot from 1 ft (assist by N. Vucevic)
10:22.0,,,0-8,,Shooting foul by A. Gee (drawn by E. Fournier)
10:22.0,,,0-9,1,E. Fournier makes free throw 1 of 1
10:16.0,New Orleans full timeout,,0-9,,
10:08.0,Turnover by A. Davis (bad pass; steal by C. Frye),,0-9,,
9:50.0,,,0-9,,T. Harris misses 2-pt shot from 10 ft
9:50.0,Defensive rebound by O. Asik,,0-9,,
9:45.0,Offensive foul by O. Asik,,0-9,,
9:45.0,Turnover by O. Asik (offensive foul),,0-9,,
9:29.0,,,0-9,,N. Vucevic misses 2-pt shot from 4 ft
9:28.0,Defensive rebound by A. Davis,,0-9,,
9:19.0,A. Davis makes 2-pt shot from 18 ft (assist by T. Evans),2,2-9,,
8:54.0,,,2-11,2,N. Vucevic makes 2-pt shot from 3 ft
8:36.0,E. Gordon misses 3-pt shot from 25 ft,,2-11,,
8:36.0,,,2-11,,Defensive rebound by N. Vucevic
8:27.0,,,2-11,,T. Harris misses 3-pt shot from 24 ft
8:27.0,Defensive rebound by A. Davis,,2-11,,
8:10.0,T. Evans misses 2-pt shot from 1 ft,,2-11,,
8:09.0,,,2-11,,Defensive rebound by E. Payton
8:06.0,Violation by E. Gordon (kicked ball),,2-11,,
7:53.0,,,2-11,,N. Vucevic misses 2-pt shot from 17 ft
7:53.0,Defensive rebound by O. Asik,,2-11,,
7:41.0,Shooting foul by N. Vucevic (drawn by A. Davis),,2-11,,
7:41.0,A. Davis misses free throw 1 of 2,,2-11,,
7:41.0,Offensive rebound by Team,,2-11,,
7:41.0,A. Davis misses free throw 2 of 2,,2-11,,
7:39.0,Offensive rebound by A. Gee,,2-11,,
7:30.0,T. Evans makes 2-pt shot at rim,2,4-11,,
7:10.0,,,4-13,2,E. Payton makes 2-pt shot from 4 ft
7:00.0,A. Davis makes 2-pt shot from 2 ft (assist by T. Evans),2,6-13,,
6:52.0,,,6-13,,Orlando full timeout
6:52.0,,,6-13,,V. Oladipo enters the game for E. Payton
6:36.0,,,6-13,,N. Vucevic misses 2-pt shot from 20 ft (block by E. Gordon)
6:36.0,,,6-13,,Offensive rebound by Team
6:31.0,,,6-13,,V. Oladipo misses 2-pt shot from 20 ft
6:30.0,Defensive rebound by A. Gee,,6-13,,
6:19.0,A. Davis makes 2-pt shot from 16 ft (assist by T. Evans),2,8-13,,
5:55.0,,,8-15,2,E. Fournier makes 2-pt shot from 18 ft
5:38.0,A. Davis misses 3-pt shot from 24 ft,,8-15,,
5:37.0,Offensive rebound by O. Asik,,8-15,,
5:35.0,O. Asik makes 2-pt shot at rim,2,10-15,,
5:13.0,,,10-17,2,N. Vucevic makes 2-pt shot from 13 ft (assist by C. Frye)
4:58.0,T. Evans misses 2-pt shot at rim,,10-17,,
4:58.0,,,10-17,,Defensive rebound by E. Fournier
4:48.0,,,10-17,,V. Oladipo misses 3-pt shot from 24 ft
4:47.0,,,10-17,,Offensive rebound by T. Harris
4:47.0,,,10-19,2,T. Harris makes 2-pt shot at rim
4:31.0,T. Evans makes 2-pt shot at rim (assist by A. Davis),2,12-19,,
4:12.0,,,12-19,,E. Fournier misses 2-pt shot at rim
4:11.0,Defensive rebound by O. Asik,,12-19,,
4:06.0,A. Gee misses 2-pt shot from 1 ft (block by C. Frye),,12-19,,
4:06.0,Offensive rebound by Team,,12-19,,
4:06.0,J. Holiday enters the game for A. Gee,,12-19,,
4:06.0,,,12-19,,J. Smith enters the game for C. Frye
4:03.0,A. Davis makes 2-pt shot from 18 ft (assist by T. Evans),2,14-19,,
3:53.0,,,14-19,,Turnover by V. Oladipo (lost ball)
3:39.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,16-19,,
3:21.0,,,16-19,,N. Vucevic misses 2-pt shot from 19 ft
3:20.0,Defensive rebound by A. Davis,,16-19,,
3:19.0,,,16-19,,Personal foul by J. Smith (drawn by A. Davis)
3:19.0,R. Anderson enters the game for O. Asik,,16-19,,
3:04.0,A. Davis misses 2-pt shot from 17 ft,,16-19,,
3:04.0,,,16-19,,Defensive rebound by T. Harris
2:54.0,Violation by J. Holiday (kicked ball),,16-19,,
2:54.0,,,16-19,,Orlando full timeout
2:38.0,,,16-21,2,N. Vucevic makes 2-pt shot from 1 ft
2:20.0,R. Anderson makes 2-pt shot from 19 ft,2,18-21,,
1:56.0,,,18-21,,M. Hezonja enters the game for E. Fournier
1:56.0,N. Cole enters the game for T. Evans,,18-21,,
1:52.0,,,18-21,,N. Vucevic misses 3-pt shot from 23 ft
1:52.0,Defensive rebound by R. Anderson,,18-21,,
1:43.0,J. Holiday makes 2-pt shot from 12 ft,2,20-21,,
1:24.0,,,20-23,2,N. Vucevic makes 2-pt shot from 2 ft (assist by V. Oladipo)
1:14.0,J. Holiday makes 3-pt shot from 25 ft (assist by R. Anderson),3,23-23,,
0:59.0,Personal foul by A. Davis (drawn by N. Vucevic),,23-23,,
0:59.0,K. Perkins enters the game for A. Davis,,23-23,,
0:59.0,,,23-23,,A. Gordon enters the game for T. Harris
0:59.0,,,23-23,,A. Nicholson enters the game for N. Vucevic
0:48.0,,,23-23,,A. Nicholson misses 2-pt shot from 16 ft
0:47.0,Defensive rebound by J. Holiday,,23-23,,
0:38.0,R. Anderson misses 3-pt shot from 24 ft,,23-23,,
0:38.0,,,23-23,,Defensive rebound by Team
0:21.0,,,23-25,2,V. Oladipo makes 2-pt shot from 13 ft
0:01.0,Turnover by J. Holiday (bad pass; steal by J. Smith),,23-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,J. Holiday misses 2-pt shot from 19 ft,,23-25,,
11:41.0,Offensive rebound by K. Perkins,,23-25,,
11:27.0,K. Perkins makes 2-pt shot from 2 ft,2,25-25,,
11:13.0,,,25-27,2,V. Oladipo makes 2-pt shot from 18 ft
11:02.0,N. Cole misses 2-pt shot from 3 ft,,25-27,,
11:01.0,,,25-27,,Defensive rebound by A. Gordon
10:52.0,,,25-27,,M. Hezonja misses 2-pt shot from 20 ft
10:51.0,Defensive rebound by N. Cole,,25-27,,
10:42.0,J. Holiday misses 2-pt shot from 13 ft,,25-27,,
