time,Milwaukee,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. G. Monroe (N. Cole gains possession),,,,Jump ball: A. Davis vs. G. Monroe (N. Cole gains possession)
11:45.0,,,0-0,,Turnover by T. Evans (bad pass)
11:24.0,G. Antetokounmpo misses 2-pt shot from 13 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by O. Asik
11:10.0,,,0-0,,A. Davis misses 3-pt shot from 22 ft
11:09.0,Defensive rebound by J. Parker,,0-0,,
10:52.0,J. Parker misses 2-pt shot from 4 ft (block by A. Davis),,0-0,,
10:51.0,,,0-0,,Defensive rebound by A. Davis
10:33.0,,,0-0,,T. Evans misses 2-pt shot from 4 ft (block by G. Antetokounmpo)
10:33.0,,,0-0,,Offensive rebound by Team
10:29.0,,,0-0,,N. Cole misses 3-pt shot from 23 ft (block by J. Parker)
10:28.0,,,0-0,,Offensive rebound by A. Gee
10:26.0,,,0-0,,A. Gee misses 2-pt shot from 1 ft (block by G. Monroe)
10:25.0,Defensive rebound by G. Monroe,,0-0,,
10:22.0,J. Parker makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,2-0,,
10:09.0,,,2-2,2,A. Davis makes 2-pt shot from 1 ft (assist by N. Cole)
10:00.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,4-2,,
10:00.0,Shooting foul by N. Cole (drawn by M. Carter-Williams),,4-2,,
10:00.0,M. Carter-Williams makes free throw 1 of 1,1,5-2,,
9:42.0,,,5-2,,T. Evans misses 2-pt shot from 1 ft
9:41.0,Defensive rebound by K. Middleton,,5-2,,
9:37.0,,,5-2,,Personal foul by N. Cole (drawn by G. Antetokounmpo)
9:37.0,,,5-2,,T. Douglas enters the game for N. Cole
9:31.0,K. Middleton makes 3-pt shot from 26 ft (assist by J. Parker),3,8-2,,
9:14.0,Personal foul by J. Parker (drawn by A. Gee),,8-2,,
8:58.0,,,8-2,,T. Evans misses 3-pt shot from 24 ft
8:58.0,Defensive rebound by G. Monroe,,8-2,,
8:50.0,Turnover by G. Antetokounmpo (bad pass),,8-2,,
8:34.0,,,8-2,,Shooting foul by G. Antetokounmpo (drawn by T. Douglas)
8:34.0,,,8-5,3,T. Douglas makes 3-pt shot from 24 ft (assist by T. Evans)
8:34.0,,,8-5,,T. Douglas misses free throw 1 of 1
8:33.0,,,8-5,,Offensive rebound by T. Douglas
8:33.0,Loose ball foul by M. Carter-Williams (drawn by T. Douglas),,8-5,,
8:25.0,,,8-5,,Turnover by O. Asik (3 sec)
8:12.0,M. Carter-Williams misses 2-pt shot from 17 ft,,8-5,,
8:10.0,,,8-5,,Defensive rebound by O. Asik
7:48.0,,,8-5,,A. Davis misses 2-pt shot from 1 ft
