time,Cleveland,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. T. Mozgov (T. Young gains possession),,,,Jump ball: B. Lopez vs. T. Mozgov (T. Young gains possession)
11:39.0,,,0-0,,T. Young misses 2-pt shot from 8 ft
11:38.0,Defensive rebound by T. Mozgov,,0-0,,
11:33.0,Turnover by L. James (bad pass),,0-0,,
11:23.0,,,0-0,,T. Young misses 2-pt shot from 7 ft
11:22.0,Defensive rebound by K. Love,,0-0,,
11:16.0,K. Irving makes 2-pt shot from 6 ft,2,2-0,,
11:03.0,,,2-0,,B. Lopez misses 2-pt shot from 21 ft
11:02.0,Defensive rebound by K. Irving,,2-0,,
10:52.0,Turnover by J. Smith (lost ball; steal by T. Young),,2-0,,
10:44.0,,,2-0,,B. Lopez misses 2-pt shot from 12 ft
10:43.0,,,2-0,,Offensive rebound by T. Young
10:37.0,,,2-3,3,S. Larkin makes 3-pt shot from 24 ft (assist by T. Young)
10:25.0,Turnover by T. Mozgov (lost ball),,2-3,,
10:15.0,,,2-3,,Shooting foul by T. Mozgov (drawn by B. Lopez)
10:15.0,,,2-3,,B. Lopez misses free throw 1 of 2
10:15.0,,,2-3,,Offensive rebound by Team
10:15.0,,,2-4,1,B. Lopez makes free throw 2 of 2
9:59.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,4-4,,
9:37.0,,,4-4,,S. Karasev misses 2-pt shot from 18 ft
9:36.0,Defensive rebound by K. Love,,4-4,,
9:27.0,K. Love misses 3-pt shot from 25 ft,,4-4,,
9:26.0,,,4-4,,Defensive rebound by B. Lopez
9:15.0,,,4-4,,B. Bogdanovic misses 3-pt shot from 24 ft
9:14.0,Defensive rebound by K. Love,,4-4,,
9:01.0,L. James makes 2-pt shot from 6 ft,2,6-4,,
8:49.0,,,6-4,,B. Bogdanovic misses 2-pt shot from 3 ft (block by K. Love)
8:48.0,,,6-4,,Offensive rebound by Team
8:39.0,,,6-4,,Turnover by B. Bogdanovic (lost ball)
8:25.0,K. Irving misses 2-pt shot from 11 ft,,6-4,,
8:24.0,,,6-4,,Defensive rebound by S. Karasev
8:15.0,,,6-4,,Turnover by S. Karasev (bad pass)
8:08.0,J. Smith misses 2-pt shot from 19 ft,,6-4,,
8:07.0,,,6-4,,Defensive rebound by Team
7:48.0,,,6-4,,B. Lopez misses 2-pt shot from 9 ft
7:47.0,Defensive rebound by L. James,,6-4,,
7:43.0,L. James makes 2-pt shot from 1 ft,2,8-4,,
