time,Charlotte,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. C. Zeller (E. Mudiay gains possession),,,,Jump ball: N. Jokic vs. C. Zeller (E. Mudiay gains possession)
11:38.0,,,0-0,,G. Harris misses 3-pt shot from 24 ft
11:37.0,,,0-0,,Offensive rebound by G. Harris
11:24.0,,,0-0,,D. Gallinari misses 2-pt shot from 16 ft
11:23.0,Defensive rebound by N. Batum,,0-0,,
11:10.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,2-0,,
11:00.0,,,2-2,2,D. Arthur makes 2-pt shot at rim (assist by N. Jokic)
10:48.0,C. Zeller misses 2-pt shot from 7 ft,,2-2,,
10:47.0,,,2-2,,Defensive rebound by N. Jokic
10:42.0,,,2-2,,Shooting foul by K. Walker (drawn by G. Harris)
10:42.0,,,2-2,,G. Harris misses free throw 1 of 2
10:42.0,,,2-2,,Offensive rebound by Team
10:42.0,,,2-3,1,G. Harris makes free throw 2 of 2
10:23.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,4-3,,
10:06.0,,,4-5,2,D. Gallinari makes 2-pt shot from 2 ft (assist by N. Jokic)
10:06.0,,,4-5,,Shooting foul by M. Williams (drawn by D. Gallinari)
10:06.0,,,4-5,,Violation by Team (double lane)
10:06.0,Jump ball: N. Jokic vs. C. Zeller (M. Williams gains possession),,,,Jump ball: N. Jokic vs. C. Zeller (M. Williams gains possession)
9:50.0,P. Hairston makes 3-pt shot from 26 ft (assist by K. Walker),3,7-5,,
9:37.0,,,7-8,3,D. Gallinari makes 3-pt shot from 24 ft (assist by G. Harris)
9:15.0,C. Zeller makes 2-pt shot from 4 ft (assist by N. Batum),2,9-8,,
9:11.0,Personal foul by P. Hairston (drawn by D. Gallinari),,9-8,,
9:01.0,,,9-10,2,E. Mudiay makes 2-pt shot from 21 ft (assist by N. Jokic)
8:39.0,P. Hairston misses 3-pt shot from 22 ft,,9-10,,
8:37.0,,,9-10,,Defensive rebound by D. Gallinari
8:31.0,Shooting block foul by M. Williams (drawn by D. Gallinari),,9-10,,
8:31.0,,,9-11,1,D. Gallinari makes free throw 1 of 2
8:31.0,,,9-12,1,D. Gallinari makes free throw 2 of 2
8:19.0,M. Williams makes 3-pt shot from 24 ft (assist by N. Batum),3,12-12,,
8:00.0,,,12-15,3,E. Mudiay makes 3-pt shot from 25 ft (assist by N. Jokic)
7:46.0,N. Batum makes 2-pt shot from 2 ft (assist by P. Hairston),2,14-15,,
