time,Oklahoma City,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. Z. Pachulia (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. Z. Pachulia (S. Ibaka gains possession)
11:44.0,R. Westbrook makes 2-pt shot from 16 ft,2,2-0,,
11:16.0,,,2-0,,Z. Pachulia misses 2-pt shot from 3 ft
11:14.0,Defensive rebound by K. Durant,,2-0,,
11:13.0,Shooting foul by D. Nowitzki (drawn by A. Roberson),,2-0,,
11:13.0,A. Roberson misses free throw 1 of 2,,2-0,,
11:13.0,Offensive rebound by Team,,2-0,,
11:13.0,A. Roberson makes free throw 2 of 2,1,3-0,,
10:54.0,,,3-0,,D. Williams misses 2-pt shot from 1 ft
10:53.0,,,3-0,,Offensive rebound by Z. Pachulia
10:53.0,,,3-0,,Turnover by Z. Pachulia (bad pass)
10:39.0,Turnover by K. Durant (lost ball; steal by Z. Pachulia),,3-0,,
10:27.0,,,3-0,,C. Parsons misses 2-pt shot from 4 ft
10:25.0,Defensive rebound by S. Ibaka,,3-0,,
10:19.0,S. Ibaka makes 3-pt shot from 24 ft (assist by R. Westbrook),3,6-0,,
10:02.0,Personal foul by S. Ibaka,,6-0,,
9:53.0,,,6-0,,Turnover by D. Nowitzki (bad pass)
9:41.0,Turnover by K. Durant (lost ball; steal by C. Parsons),,6-0,,
9:18.0,,,6-0,,Shooting foul by R. Westbrook (drawn by Z. Pachulia)
9:18.0,,,6-1,1,Z. Pachulia makes free throw 1 of 2
9:18.0,,,6-1,,Z. Pachulia misses free throw 2 of 2
9:18.0,Defensive rebound by S. Ibaka,,6-1,,
9:10.0,,,6-1,,Personal foul by C. Parsons
9:03.0,S. Adams makes 2-pt shot from 1 ft (assist by S. Ibaka),2,8-1,,
8:52.0,,,8-1,,W. Matthews misses 2-pt shot from 4 ft
8:50.0,,,8-1,,Offensive rebound by Z. Pachulia
8:50.0,,,8-3,2,Z. Pachulia makes 2-pt shot from 2 ft
8:39.0,Shooting foul by C. Parsons (drawn by K. Durant),,8-3,,
8:39.0,K. Durant makes free throw 1 of 2,1,9-3,,
8:39.0,,,9-3,,R. Felton enters the game for C. Parsons
8:39.0,K. Durant makes free throw 2 of 2,1,10-3,,
8:27.0,,,10-3,,D. Nowitzki misses 2-pt shot from 2 ft
8:25.0,Defensive rebound by K. Durant,,10-3,,
8:11.0,K. Durant misses 3-pt shot from 29 ft,,10-3,,
8:11.0,,,10-3,,Defensive rebound by D. Williams
8:00.0,,,10-3,,D. Williams misses 3-pt shot from 26 ft
7:59.0,Defensive rebound by S. Adams,,10-3,,
7:42.0,S. Ibaka misses 2-pt shot from 20 ft,,10-3,,
7:42.0,,,10-3,,Defensive rebound by R. Felton
