time,Orlando,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hickson vs. N. Vucevic (T. Harris gains possession),,,,Jump ball: J. Hickson vs. N. Vucevic (T. Harris gains possession)
11:43.0,T. Harris makes 2-pt shot from 9 ft (assist by N. Vucevic),2,2-0,,
11:29.0,,,2-0,,J. Hickson misses 2-pt shot from 16 ft
11:28.0,Defensive rebound by T. Harris,,2-0,,
11:22.0,N. Vucevic makes 2-pt shot at rim,2,4-0,,
10:53.0,,,4-2,2,D. Gallinari makes 2-pt shot from 20 ft (assist by R. Foye)
10:42.0,E. Payton makes 2-pt shot from 4 ft,2,6-2,,
10:24.0,,,6-2,,K. Faried misses 2-pt shot from 6 ft
10:24.0,Defensive rebound by N. Vucevic,,6-2,,
10:22.0,,,6-2,,Personal foul by K. Faried (drawn by C. Frye)
10:14.0,C. Frye misses 3-pt shot from 23 ft,,6-2,,
10:13.0,,,6-2,,Defensive rebound by R. Foye
9:58.0,,,6-5,3,D. Gallinari makes 3-pt shot from 24 ft (assist by K. Faried)
9:43.0,N. Vucevic misses 2-pt shot from 20 ft,,6-5,,
9:42.0,,,6-5,,Defensive rebound by E. Mudiay
9:26.0,,,6-5,,E. Mudiay misses 3-pt shot from 26 ft
9:26.0,Defensive rebound by N. Vucevic,,6-5,,
9:23.0,Turnover by C. Frye (lost ball; steal by K. Faried),,6-5,,
9:22.0,,,6-5,,Turnover by K. Faried (step out of bounds)
9:15.0,E. Fournier misses 2-pt shot from 2 ft,,6-5,,
9:14.0,,,6-5,,Defensive rebound by J. Hickson
9:08.0,,,6-5,,J. Hickson misses 2-pt shot from 2 ft (block by T. Harris)
9:06.0,,,6-5,,Offensive rebound by E. Mudiay
9:02.0,,,6-5,,Shooting foul by T. Harris (drawn by J. Hickson)
9:02.0,,,6-5,,J. Hickson misses free throw 1 of 2
9:02.0,,,6-5,,Offensive rebound by Team
9:02.0,,,6-6,1,J. Hickson makes free throw 2 of 2
8:46.0,E. Payton makes 2-pt shot from 1 ft,2,8-6,,
8:34.0,,,8-6,,Turnover by R. Foye (bad pass; steal by C. Frye)
8:30.0,T. Harris makes 2-pt shot at rim (assist by E. Payton),2,10-6,,
8:07.0,,,10-6,,Turnover by E. Mudiay (bad pass; steal by C. Frye)
7:58.0,N. Vucevic misses 2-pt shot from 17 ft,,10-6,,
7:57.0,,,10-6,,Defensive rebound by D. Gallinari
7:37.0,,,10-9,3,R. Foye makes 3-pt shot from 23 ft (assist by E. Mudiay)
7:20.0,E. Fournier misses 2-pt shot from 19 ft,,10-9,,
7:19.0,,,10-9,,Defensive rebound by D. Gallinari
7:16.0,Shooting block foul by E. Fournier (drawn by D. Gallinari),,10-9,,
7:16.0,,,10-10,1,D. Gallinari makes free throw 1 of 2
7:16.0,,,10-11,1,D. Gallinari makes free throw 2 of 2
7:00.0,N. Vucevic misses 2-pt shot from 7 ft,,10-11,,
7:00.0,,,10-11,,Defensive rebound by K. Faried
6:56.0,Shooting block foul by E. Fournier (drawn by E. Mudiay),,10-11,,
6:56.0,,,10-12,1,E. Mudiay makes free throw 1 of 2
6:56.0,V. Oladipo enters the game for E. Fournier,,10-12,,
6:56.0,,,10-13,1,E. Mudiay makes free throw 2 of 2
6:41.0,N. Vucevic makes 2-pt shot from 3 ft (assist by E. Payton),2,12-13,,
6:28.0,,,12-15,2,J. Hickson makes 2-pt shot from 1 ft
6:12.0,Offensive foul by C. Frye,,12-15,,
6:12.0,Turnover by C. Frye (offensive foul),,12-15,,
6:02.0,,,12-15,,Turnover by J. Hickson (bad pass; steal by N. Vucevic)
5:58.0,T. Harris makes 2-pt shot from 1 ft (assist by E. Payton),2,14-15,,
5:58.0,Shooting foul by R. Foye (drawn by T. Harris),,14-15,,
5:58.0,,,14-15,,Denver full timeout
