time,Milwaukee,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Plumlee (C. Paul gains possession),,,,Jump ball: D. Jordan vs. M. Plumlee (C. Paul gains possession)
11:42.0,,,0-0,,J. Redick misses 2-pt shot from 19 ft
11:42.0,Defensive rebound by K. Middleton,,0-0,,
11:19.0,O. Mayo misses 3-pt shot from 25 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by D. Jordan
11:01.0,,,0-0,,Turnover by L. Mbah a Moute (lost ball)
10:39.0,M. Plumlee makes 2-pt shot from 2 ft (assist by K. Middleton),2,2-0,,
10:23.0,,,2-0,,L. Mbah a Moute misses 2-pt shot from 21 ft
10:23.0,Defensive rebound by M. Carter-Williams,,2-0,,
10:13.0,J. Parker makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,4-0,,
9:55.0,Personal foul by O. Mayo (drawn by J. Redick),,4-0,,
9:54.0,,,4-0,,Shooting foul by J. Parker (drawn by B. Griffin)
9:54.0,,,4-0,,B. Griffin misses free throw 1 of 2
9:54.0,,,4-0,,Offensive rebound by Team
9:54.0,,,4-1,1,B. Griffin makes free throw 2 of 2
9:44.0,O. Mayo misses 2-pt shot from 6 ft,,4-1,,
9:43.0,Offensive rebound by O. Mayo,,4-1,,
9:29.0,J. Parker misses 2-pt shot from 19 ft,,4-1,,
9:28.0,Offensive rebound by M. Plumlee,,4-1,,
9:24.0,M. Plumlee misses 2-pt shot from 1 ft,,4-1,,
9:22.0,Offensive rebound by M. Plumlee,,4-1,,
9:19.0,K. Middleton makes 3-pt shot from 27 ft (assist by M. Carter-Williams),3,7-1,,
9:00.0,,,7-3,2,J. Redick makes 2-pt shot from 3 ft
9:00.0,,,7-3,,Shooting foul by O. Mayo (drawn by J. Redick)
9:00.0,G. Antetokounmpo enters the game for O. Mayo,,7-3,,
9:00.0,,,7-4,1,J. Redick makes free throw 1 of 1
8:46.0,K. Middleton makes 2-pt shot from 11 ft (assist by J. Parker),2,9-4,,
8:28.0,,,9-7,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
8:08.0,Turnover by K. Middleton (bad pass; steal by C. Paul),,9-7,,
7:55.0,,,9-7,,B. Griffin misses 2-pt shot from 16 ft
7:55.0,Defensive rebound by M. Carter-Williams,,9-7,,
7:45.0,M. Carter-Williams misses 2-pt shot from 10 ft,,9-7,,
7:43.0,,,9-7,,Defensive rebound by L. Mbah a Moute
7:32.0,,,9-9,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
7:17.0,M. Carter-Williams misses 2-pt shot at rim (block by D. Jordan),,9-9,,
7:17.0,Offensive rebound by Team,,9-9,,
7:07.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,9-9,,
7:06.0,,,9-9,,Defensive rebound by B. Griffin
6:53.0,,,9-11,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
6:45.0,Milwaukee full timeout,,9-11,,
6:45.0,Violation by Team (jump ball),,9-11,,
6:39.0,K. Middleton misses 2-pt shot from 13 ft,,9-11,,
6:39.0,,,9-11,,Defensive rebound by B. Griffin
6:39.0,Loose ball foul by J. Parker (drawn by B. Griffin),,9-11,,
6:39.0,J. O'Bryant enters the game for J. Parker,,9-11,,
6:24.0,,,9-14,3,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by B. Griffin)
6:12.0,J. O'Bryant makes 2-pt shot from 17 ft (assist by M. Carter-Williams),2,11-14,,
5:54.0,,,11-16,2,B. Griffin makes 2-pt shot from 19 ft (assist by L. Mbah a Moute)
5:39.0,M. Carter-Williams makes 2-pt shot from 3 ft,2,13-16,,
5:18.0,,,13-16,,Turnover by J. Redick (bad pass; steal by K. Middleton)
5:12.0,M. Carter-Williams makes 2-pt shot from 2 ft (assist by K. Middleton),2,15-16,,
4:57.0,,,15-16,,J. Redick misses 3-pt shot from 26 ft
4:56.0,,,15-16,,Offensive rebound by D. Jordan
4:53.0,,,15-16,,LA Clippers full timeout
4:53.0,,,15-16,,W. Johnson enters the game for L. Mbah a Moute
4:49.0,,,15-16,,C. Paul misses 2-pt shot from 2 ft (block by M. Plumlee)
4:49.0,,,15-16,,Offensive rebound by Team
4:43.0,,,15-16,,Shooting foul by M. Plumlee (drawn by J. Redick)
4:43.0,,,15-17,1,J. Redick makes free throw 1 of 2
4:43.0,,,15-18,1,J. Redick makes free throw 2 of 2
4:19.0,M. Carter-Williams misses 2-pt shot from 9 ft,,15-18,,
4:18.0,Offensive rebound by M. Carter-Williams,,15-18,,
4:02.0,Turnover by M. Carter-Williams (lost ball),,15-18,,
4:02.0,,,15-18,,J. Crawford enters the game for J. Redick
4:02.0,,,15-18,,P. Pierce enters the game for D. Jordan
3:45.0,,,15-20,2,C. Paul makes 2-pt shot from 15 ft
3:18.0,G. Antetokounmpo misses 2-pt shot from 15 ft,,15-20,,
3:17.0,,,15-20,,Defensive rebound by C. Paul
3:10.0,,,15-20,,Turnover by C. Paul (bad pass; steal by J. O'Bryant)
3:05.0,M. Carter-Williams makes 2-pt shot from 10 ft,2,17-20,,
2:46.0,,,17-20,,W. Johnson misses 3-pt shot from 24 ft
2:45.0,Defensive rebound by G. Antetokounmpo,,17-20,,
2:27.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,17-20,,
2:27.0,,,17-20,,Defensive rebound by B. Griffin
2:14.0,Personal foul by G. Antetokounmpo (drawn by C. Paul),,17-20,,
2:14.0,,,17-21,1,C. Paul makes free throw 1 of 2
2:14.0,,,17-21,,J. Smith enters the game for B. Griffin
2:14.0,J. Henson enters the game for M. Plumlee,,17-21,,
2:14.0,T. Ennis enters the game for M. Carter-Williams,,17-21,,
2:14.0,,,17-22,1,C. Paul makes free throw 2 of 2
1:56.0,K. Middleton misses 2-pt shot from 7 ft,,17-22,,
1:55.0,Offensive rebound by G. Antetokounmpo,,17-22,,
1:48.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,17-22,,
1:47.0,,,17-22,,Defensive rebound by C. Paul
1:41.0,,,17-22,,Turnover by J. Crawford (bad pass; steal by J. O'Bryant)
1:28.0,J. Henson makes 2-pt shot from 2 ft (assist by K. Middleton),2,19-22,,
1:03.0,,,19-24,2,C. Paul makes 2-pt shot from 10 ft
0:47.0,,,19-24,,Personal foul by W. Johnson (drawn by G. Antetokounmpo)
0:47.0,,,19-24,,A. Rivers enters the game for C. Paul
0:47.0,,,19-24,,L. Stephenson enters the game for W. Johnson
0:39.0,J. Henson misses 2-pt shot from 4 ft,,19-24,,
0:39.0,Offensive rebound by J. O'Bryant,,19-24,,
0:37.0,J. O'Bryant makes 2-pt shot from 1 ft,2,21-24,,
0:29.0,,,21-27,3,J. Smith makes 3-pt shot from 24 ft (assist by L. Stephenson)
0:11.0,Turnover by T. Ennis (lost ball),,21-27,,
0:01.0,,,21-29,2,P. Pierce makes 2-pt shot from 17 ft (assist by L. Stephenson)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,21-29,,
11:35.0,,,21-29,,Defensive rebound by A. Rivers
