time,Portland,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Plumlee (C. Paul gains possession),,,,Jump ball: D. Jordan vs. M. Plumlee (C. Paul gains possession)
11:41.0,,,0-0,,B. Griffin misses 2-pt shot from 2 ft
11:38.0,Defensive rebound by A. Aminu,,0-0,,
11:33.0,D. Lillard misses 2-pt shot from 2 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by L. Mbah a Moute
11:25.0,,,0-0,,Shooting foul by M. Harkless (drawn by D. Jordan)
11:25.0,,,0-0,,D. Jordan misses free throw 1 of 2
11:25.0,,,0-0,,Offensive rebound by Team
11:25.0,,,0-0,,D. Jordan misses free throw 2 of 2
11:21.0,,,0-0,,Offensive rebound by B. Griffin
11:21.0,,,0-2,2,B. Griffin makes 2-pt shot from 2 ft
11:09.0,M. Harkless makes 2-pt shot at rim (assist by D. Lillard),2,2-2,,
10:51.0,,,2-4,2,J. Redick makes 2-pt shot from 21 ft (assist by B. Griffin)
10:36.0,A. Aminu misses 2-pt shot from 21 ft,,2-4,,
10:35.0,,,2-4,,Defensive rebound by L. Mbah a Moute
10:27.0,,,2-4,,C. Paul misses 2-pt shot from 12 ft
10:24.0,Defensive rebound by A. Aminu,,2-4,,
10:20.0,A. Aminu misses 2-pt shot from 3 ft,,2-4,,
10:18.0,,,2-4,,Defensive rebound by D. Jordan
10:09.0,,,2-6,2,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul)
9:55.0,Shooting foul by L. Mbah a Moute (drawn by M. Harkless),,2-6,,
9:55.0,M. Harkless misses free throw 1 of 2,,2-6,,
9:55.0,Offensive rebound by Team,,2-6,,
9:55.0,M. Harkless makes free throw 2 of 2,1,3-6,,
9:44.0,,,3-6,,J. Redick misses 2-pt shot from 20 ft
9:43.0,Defensive rebound by A. Aminu,,3-6,,
9:35.0,M. Harkless misses 3-pt shot from 24 ft,,3-6,,
9:33.0,,,3-6,,Defensive rebound by J. Redick
9:24.0,,,3-6,,D. Jordan misses 2-pt shot from 4 ft (block by M. Harkless)
9:23.0,Defensive rebound by A. Aminu,,3-6,,
9:17.0,C. McCollum makes 2-pt shot from 4 ft,2,5-6,,
9:03.0,,,5-6,,Turnover by D. Jordan (bad pass)
8:44.0,M. Harkless makes 2-pt shot from 4 ft (assist by D. Lillard),2,7-6,,
8:21.0,,,7-6,,Shooting foul by M. Harkless (drawn by B. Griffin)
8:21.0,,,7-7,1,B. Griffin makes free throw 1 of 2
8:21.0,A. Crabbe enters the game for M. Harkless,,7-7,,
8:21.0,,,7-7,,B. Griffin misses free throw 2 of 2
8:19.0,Defensive rebound by A. Aminu,,7-7,,
8:13.0,M. Plumlee misses 2-pt shot from 9 ft,,7-7,,
8:10.0,,,7-7,,Defensive rebound by D. Jordan
7:56.0,,,7-9,2,D. Jordan makes 2-pt shot from 3 ft (assist by L. Mbah a Moute)
7:41.0,D. Lillard makes 2-pt shot from 15 ft (assist by A. Crabbe),2,9-9,,
7:22.0,,,9-11,2,B. Griffin makes 2-pt shot at rim
7:22.0,,,9-11,,Shooting foul by M. Plumlee (drawn by B. Griffin)
7:22.0,,,9-12,1,B. Griffin makes free throw 1 of 1
7:09.0,D. Lillard misses 3-pt shot from 26 ft,,9-12,,
7:08.0,,,9-12,,Defensive rebound by L. Mbah a Moute
6:58.0,,,9-12,,D. Jordan misses 2-pt shot from 6 ft
6:55.0,Defensive rebound by M. Plumlee,,9-12,,
6:48.0,Turnover by C. McCollum (lost ball; steal by B. Griffin),,9-12,,
6:29.0,,,9-12,,J. Redick misses 3-pt shot from 30 ft
6:28.0,Defensive rebound by A. Aminu,,9-12,,
6:20.0,Turnover by D. Lillard (lost ball; steal by C. Paul),,9-12,,
6:14.0,,,9-12,,C. Paul misses 2-pt shot from 2 ft
6:09.0,Defensive rebound by C. McCollum,,9-12,,
6:07.0,D. Lillard makes 3-pt shot from 27 ft (assist by C. McCollum),3,12-12,,
6:06.0,,,12-12,,LA Clippers full timeout
5:51.0,,,12-12,,Turnover by B. Griffin (lost ball; steal by A. Crabbe)
5:42.0,,,12-12,,Personal foul by L. Mbah a Moute
5:42.0,,,12-12,,J. Crawford enters the game for L. Mbah a Moute
5:27.0,M. Plumlee misses 2-pt shot from 4 ft,,12-12,,
5:25.0,,,12-12,,Defensive rebound by D. Jordan
5:15.0,,,12-14,2,B. Griffin makes 2-pt shot from 4 ft (assist by C. Paul)
5:01.0,A. Crabbe makes 2-pt shot from 18 ft (assist by D. Lillard),2,14-14,,
4:39.0,,,14-16,2,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul)
4:23.0,C. McCollum misses 3-pt shot from 25 ft,,14-16,,
4:22.0,Offensive rebound by M. Plumlee,,14-16,,
4:18.0,Turnover by A. Aminu (lost ball),,14-16,,
4:18.0,G. Henderson enters the game for C. McCollum,,14-16,,
4:09.0,,,14-16,,Shooting foul by A. Aminu (drawn by B. Griffin)
4:09.0,,,14-17,1,B. Griffin makes free throw 1 of 2
4:09.0,,,14-17,,W. Johnson enters the game for J. Redick
4:09.0,E. Davis enters the game for M. Plumlee,,14-17,,
4:09.0,N. Vonleh enters the game for A. Aminu,,14-17,,
4:09.0,,,14-18,1,B. Griffin makes free throw 2 of 2
3:56.0,,,14-18,,Personal foul by W. Johnson
3:56.0,,,14-18,,J. Green enters the game for B. Griffin
3:51.0,Turnover by D. Lillard (lost ball; steal by C. Paul),,14-18,,
3:47.0,,,14-20,2,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul)
3:30.0,A. Crabbe misses 2-pt shot from 18 ft,,14-20,,
3:24.0,,,14-20,,Defensive rebound by W. Johnson
3:15.0,,,14-20,,Turnover by C. Paul (lost ball; steal by N. Vonleh)
3:05.0,N. Vonleh misses 2-pt shot from 3 ft (block by D. Jordan),,14-20,,
2:59.0,,,14-20,,Offensive rebound by C. Paul
2:59.0,Jump ball: C. Paul vs. N. Vonleh (J. Green gains possession),,,,Jump ball: C. Paul vs. N. Vonleh (J. Green gains possession)
2:39.0,,,14-20,,C. Paul misses 2-pt shot from 20 ft
2:36.0,Defensive rebound by D. Lillard,,14-20,,
2:32.0,Turnover by D. Lillard (lost ball; steal by D. Jordan),,14-20,,
2:27.0,,,14-22,2,C. Paul makes 2-pt shot from 2 ft (assist by W. Johnson)
2:27.0,Portland full timeout,,14-22,,
2:27.0,,,14-22,,A. Rivers enters the game for C. Paul
2:08.0,D. Lillard makes 3-pt shot from 29 ft,3,17-22,,
1:51.0,,,17-24,2,J. Crawford makes 2-pt shot from 11 ft (assist by D. Jordan)
1:30.0,G. Henderson makes 2-pt shot at rim (assist by N. Vonleh),2,19-24,,
1:15.0,,,19-24,,A. Rivers misses 2-pt shot from 14 ft
1:13.0,Defensive rebound by E. Davis,,19-24,,
1:00.0,N. Vonleh misses 2-pt shot from 9 ft,,19-24,,
0:58.0,,,19-24,,Defensive rebound by D. Jordan
0:45.0,,,19-24,,Turnover by J. Crawford (lost ball; steal by G. Henderson)
0:41.0,Shooting foul by J. Green (drawn by A. Crabbe),,19-24,,
0:41.0,A. Crabbe makes free throw 1 of 2,1,20-24,,
