time,Boston,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. A. Johnson (K. Olynyk gains possession),,,,Jump ball: M. Gasol vs. A. Johnson (K. Olynyk gains possession)
11:47.0,K. Olynyk misses 2-pt shot from 7 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by M. Gasol
11:35.0,,,0-0,,M. Barnes misses 2-pt shot from 4 ft (block by A. Johnson)
11:35.0,,,0-0,,Offensive rebound by Team
11:23.0,,,0-3,3,T. Allen makes 3-pt shot from 25 ft
11:05.0,I. Thomas misses 2-pt shot from 5 ft,,0-3,,
11:04.0,,,0-3,,Defensive rebound by M. Gasol
10:55.0,,,0-3,,Turnover by J. Green (bad pass; steal by J. Crowder)
10:47.0,I. Thomas makes 3-pt shot from 23 ft (assist by J. Crowder),3,3-3,,
10:31.0,,,3-3,,T. Allen misses 2-pt shot from 2 ft
10:30.0,Defensive rebound by Team,,3-3,,
10:20.0,A. Bradley makes 2-pt shot from 20 ft (assist by A. Johnson),2,5-3,,
10:01.0,,,5-3,,J. Green misses 2-pt shot from 22 ft
10:01.0,Defensive rebound by K. Olynyk,,5-3,,
9:47.0,Turnover by K. Olynyk (3 sec),,5-3,,
9:34.0,,,5-3,,M. Gasol misses 2-pt shot from 14 ft
9:33.0,Defensive rebound by I. Thomas,,5-3,,
9:28.0,J. Crowder makes 3-pt shot from 24 ft (assist by I. Thomas),3,8-3,,
9:11.0,,,8-3,,Turnover by T. Allen (bad pass; steal by J. Crowder)
9:07.0,J. Crowder makes 2-pt shot at rim,2,10-3,,
9:07.0,,,10-3,,Memphis full timeout
8:51.0,,,10-3,,M. Chalmers misses 3-pt shot from 24 ft
8:49.0,Defensive rebound by K. Olynyk,,10-3,,
8:35.0,A. Bradley misses 3-pt shot from 24 ft,,10-3,,
8:34.0,,,10-3,,Defensive rebound by M. Gasol
8:16.0,,,10-3,,M. Barnes misses 3-pt shot from 24 ft
8:16.0,Defensive rebound by I. Thomas,,10-3,,
8:10.0,K. Olynyk makes 2-pt shot from 1 ft (assist by I. Thomas),2,12-3,,
7:49.0,,,12-3,,Shooting foul by K. Olynyk (drawn by T. Allen)
7:49.0,,,12-3,,T. Allen misses free throw 1 of 2
7:49.0,,,12-3,,Offensive rebound by Team
7:49.0,,,12-4,1,T. Allen makes free throw 2 of 2
7:39.0,,,12-4,,Personal foul by T. Allen (drawn by A. Bradley)
7:30.0,,,12-4,,Personal foul by J. Green (drawn by I. Thomas)
7:23.0,I. Thomas makes 2-pt shot from 1 ft,2,14-4,,
6:59.0,,,14-4,,M. Gasol misses 2-pt shot from 4 ft
6:55.0,Defensive rebound by K. Olynyk,,14-4,,
6:44.0,I. Thomas makes 3-pt shot from 24 ft (assist by A. Johnson),3,17-4,,
6:26.0,,,17-4,,M. Gasol misses 2-pt shot from 4 ft
6:25.0,Defensive rebound by I. Thomas,,17-4,,
6:22.0,Shooting foul by M. Chalmers (drawn by A. Bradley),,17-4,,
6:22.0,A. Bradley makes free throw 1 of 2,1,18-4,,
6:22.0,,,18-4,,Z. Randolph enters the game for T. Allen
6:22.0,A. Bradley makes free throw 2 of 2,1,19-4,,
6:02.0,,,19-6,2,M. Barnes makes 2-pt shot from 3 ft
5:46.0,J. Crowder misses 3-pt shot from 25 ft,,19-6,,
5:45.0,,,19-6,,Defensive rebound by M. Chalmers
5:41.0,,,19-8,2,M. Barnes makes 2-pt shot from 1 ft (assist by M. Chalmers)
5:25.0,J. Crowder misses 3-pt shot from 23 ft,,19-8,,
5:24.0,,,19-8,,Defensive rebound by M. Gasol
