time,Cleveland,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. T. Thompson (K. Love gains possession),,,,Jump ball: M. Gortat vs. T. Thompson (K. Love gains possession)
11:35.0,K. Love misses 2-pt shot from 13 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by J. Wall
11:13.0,,,0-0,,G. Temple misses 3-pt shot from 25 ft
11:12.0,,,0-0,,Offensive rebound by J. Dudley
11:09.0,,,0-0,,O. Porter misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by T. Thompson,,0-0,,
10:55.0,J. Smith misses 2-pt shot from 3 ft,,0-0,,
10:54.0,Offensive rebound by K. Love,,0-0,,
10:52.0,K. Love makes 2-pt shot from 5 ft,2,2-0,,
10:40.0,,,2-2,2,M. Gortat makes 2-pt shot from 13 ft (assist by J. Wall)
10:20.0,K. Love misses 2-pt shot from 4 ft,,2-2,,
10:19.0,,,2-2,,Defensive rebound by J. Dudley
10:13.0,,,2-2,,Shooting foul by K. Irving (drawn by J. Wall)
10:13.0,,,2-2,,J. Wall misses free throw 1 of 2
10:13.0,,,2-2,,Offensive rebound by Team
10:13.0,,,2-3,1,J. Wall makes free throw 2 of 2
9:49.0,K. Love makes 2-pt shot from 7 ft,2,4-3,,
9:41.0,,,4-3,,G. Temple misses 2-pt shot from 18 ft
9:40.0,Defensive rebound by K. Love,,4-3,,
9:34.0,K. Irving makes 3-pt shot from 27 ft,3,7-3,,
9:24.0,,,7-5,2,J. Wall makes 2-pt shot from 18 ft
9:08.0,K. Irving makes 2-pt shot at rim,2,9-5,,
8:59.0,,,9-5,,Shooting foul by R. Jefferson (drawn by M. Gortat)
8:59.0,,,9-5,,M. Gortat misses free throw 1 of 2
8:59.0,,,9-5,,Offensive rebound by Team
8:59.0,,,9-6,1,M. Gortat makes free throw 2 of 2
8:44.0,,,9-6,,Shooting block foul by J. Dudley (drawn by K. Love)
8:44.0,K. Love makes free throw 1 of 2,1,10-6,,
8:44.0,K. Love makes free throw 2 of 2,1,11-6,,
8:20.0,,,11-6,,M. Gortat misses 2-pt shot from 10 ft
8:19.0,Defensive rebound by K. Irving,,11-6,,
8:08.0,T. Thompson makes 2-pt shot from 15 ft (assist by K. Irving),2,13-6,,
8:03.0,,,13-6,,Turnover by J. Wall (bad pass)
7:49.0,J. Smith misses 2-pt shot from 17 ft,,13-6,,
7:48.0,,,13-6,,Defensive rebound by O. Porter
7:41.0,,,13-8,2,J. Wall makes 2-pt shot at rim
7:33.0,Shooting foul by G. Temple (drawn by K. Irving),,13-8,,
7:33.0,K. Irving makes free throw 1 of 2,1,14-8,,
7:33.0,K. Irving makes free throw 2 of 2,1,15-8,,
7:21.0,,,15-10,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
7:06.0,K. Irving misses 2-pt shot from 5 ft,,15-10,,
7:05.0,,,15-10,,Defensive rebound by J. Wall
7:01.0,Personal foul by J. Smith (drawn by J. Wall),,15-10,,
7:01.0,,,15-10,,B. Beal enters the game for G. Temple
7:01.0,I. Shumpert enters the game for R. Jefferson,,15-10,,
6:55.0,,,15-12,2,O. Porter makes 2-pt shot from 17 ft
6:36.0,Turnover by K. Love (lost ball),,15-12,,
6:22.0,,,15-12,,J. Wall misses 3-pt shot from 24 ft
6:21.0,Defensive rebound by K. Love,,15-12,,
6:06.0,T. Thompson misses 2-pt shot from 3 ft,,15-12,,
6:04.0,Offensive rebound by K. Love,,15-12,,
6:03.0,K. Love misses 2-pt shot at rim (block by O. Porter),,15-12,,
6:02.0,,,15-12,,Defensive rebound by J. Wall
5:56.0,,,15-12,,B. Beal misses 3-pt shot from 26 ft
5:55.0,Defensive rebound by J. Smith,,15-12,,
5:49.0,I. Shumpert makes 3-pt shot from 28 ft (assist by J. Smith),3,18-12,,
5:22.0,,,18-15,3,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall)
4:58.0,T. Thompson misses 2-pt shot from 11 ft,,18-15,,
4:57.0,,,18-15,,Defensive rebound by M. Gortat
4:52.0,,,18-15,,Shooting foul by J. Smith (drawn by O. Porter)
4:52.0,,,18-15,,Washington full timeout
4:52.0,,,18-15,,M. Morris enters the game for J. Dudley
4:52.0,M. Dellavedova enters the game for J. Smith,,18-15,,
4:52.0,,,18-16,1,O. Porter makes free throw 1 of 2
4:52.0,,,18-17,1,O. Porter makes free throw 2 of 2
4:40.0,,,18-17,,Personal foul by M. Morris (drawn by K. Love)
4:30.0,K. Love misses 2-pt shot from 15 ft,,18-17,,
4:29.0,,,18-17,,Defensive rebound by B. Beal
4:11.0,,,18-19,2,M. Gortat makes 2-pt shot from 12 ft
3:58.0,T. Thompson misses 2-pt shot at rim,,18-19,,
3:57.0,,,18-19,,Defensive rebound by O. Porter
3:53.0,,,18-21,2,J. Wall makes 2-pt shot from 1 ft (assist by O. Porter)
3:48.0,Turnover by K. Love (bad pass; steal by M. Morris),,18-21,,
3:43.0,,,18-21,,J. Wall misses 3-pt shot from 26 ft
3:42.0,Defensive rebound by K. Love,,18-21,,
3:31.0,I. Shumpert misses 3-pt shot from 23 ft,,18-21,,
3:30.0,,,18-21,,Defensive rebound by M. Gortat
3:25.0,,,18-21,,B. Beal misses 2-pt shot at rim
3:23.0,Defensive rebound by T. Thompson,,18-21,,
3:19.0,,,18-21,,Personal foul by J. Wall (drawn by M. Dellavedova)
