time,Toronto,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. G. Monroe (K. Lowry gains possession),,,,Jump ball: B. Biyombo vs. G. Monroe (K. Lowry gains possession)
11:39.0,N. Powell misses 3-pt shot from 24 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by J. Parker
11:15.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker)
10:58.0,Shooting foul by J. Bayless (drawn by K. Lowry),,0-2,,
10:58.0,K. Lowry misses free throw 1 of 3,,0-2,,
10:58.0,Offensive rebound by Team,,0-2,,
10:58.0,K. Lowry makes free throw 2 of 3,1,1-2,,
10:58.0,K. Lowry makes free throw 3 of 3,1,2-2,,
10:41.0,,,2-2,,J. Parker misses 2-pt shot from 20 ft
10:39.0,Defensive rebound by B. Biyombo,,2-2,,
10:28.0,B. Biyombo makes 2-pt shot from 4 ft (assist by K. Lowry),2,4-2,,
10:12.0,,,4-2,,K. Middleton misses 2-pt shot from 20 ft
10:10.0,Defensive rebound by L. Scola,,4-2,,
10:02.0,,,4-2,,Personal foul by G. Antetokounmpo
9:48.0,N. Powell misses 2-pt shot from 13 ft,,4-2,,
9:47.0,Offensive rebound by J. Johnson,,4-2,,
9:37.0,K. Lowry makes 2-pt shot from 16 ft,2,6-2,,
9:15.0,,,6-4,2,J. Bayless makes 2-pt shot from 8 ft (assist by J. Parker)
8:56.0,J. Johnson makes 2-pt shot from 1 ft (assist by K. Lowry),2,8-4,,
8:41.0,,,8-6,2,G. Monroe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
8:41.0,,,8-6,,Shooting foul by B. Biyombo (drawn by G. Monroe)
8:41.0,,,8-6,,G. Monroe misses free throw 1 of 1
8:40.0,Defensive rebound by L. Scola,,8-6,,
8:25.0,K. Lowry misses 3-pt shot from 24 ft,,8-6,,
8:24.0,,,8-6,,Defensive rebound by G. Antetokounmpo
8:04.0,,,8-6,,Shooting foul by N. Powell (drawn by G. Antetokounmpo)
8:04.0,,,8-6,,G. Antetokounmpo misses free throw 1 of 2
8:04.0,,,8-6,,Offensive rebound by Team
8:04.0,,,8-6,,G. Antetokounmpo misses free throw 2 of 2
8:02.0,Defensive rebound by B. Biyombo,,8-6,,
7:47.0,J. Johnson makes 2-pt shot at rim,2,10-6,,
7:36.0,,,10-8,2,G. Antetokounmpo makes 2-pt shot from 2 ft
7:11.0,Turnover by L. Scola (lost ball; steal by K. Middleton),,10-8,,
7:04.0,,,10-11,3,J. Bayless makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
6:45.0,N. Powell misses 2-pt shot from 20 ft,,10-11,,
6:43.0,,,10-11,,Defensive rebound by G. Antetokounmpo
6:37.0,,,10-11,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by N. Powell)
6:34.0,,,10-11,,Offensive rebound by G. Antetokounmpo
6:30.0,,,10-13,2,G. Monroe makes 2-pt shot at rim (assist by K. Middleton)
6:20.0,Toronto full timeout,,10-13,,
6:16.0,Shooting foul by G. Monroe (drawn by K. Lowry),,10-13,,
6:16.0,K. Lowry makes free throw 1 of 2,1,11-13,,
6:16.0,K. Lowry misses free throw 2 of 2,,11-13,,
6:15.0,,,11-13,,Defensive rebound by G. Monroe
5:52.0,,,11-15,2,G. Antetokounmpo makes 2-pt shot at rim
5:43.0,J. Johnson misses 2-pt shot from 16 ft,,11-15,,
5:42.0,,,11-15,,Defensive rebound by G. Antetokounmpo
5:29.0,,,11-15,,Shooting foul by J. Johnson (drawn by G. Antetokounmpo)
5:29.0,,,11-15,,G. Antetokounmpo misses free throw 1 of 2
5:29.0,,,11-15,,Offensive rebound by Team
5:29.0,T. Ross enters the game for N. Powell,,11-15,,
5:29.0,,,11-16,1,G. Antetokounmpo makes free throw 2 of 2
5:13.0,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry),2,13-16,,
5:00.0,Personal foul by T. Ross,,13-16,,
4:52.0,,,13-18,2,K. Middleton makes 2-pt shot from 15 ft
4:35.0,K. Lowry makes 3-pt shot from 25 ft (assist by B. Biyombo),3,16-18,,
4:16.0,,,16-20,2,J. Parker makes 2-pt shot from 20 ft (assist by G. Antetokounmpo)
3:59.0,L. Scola makes 2-pt shot from 3 ft (assist by J. Johnson),2,18-20,,
3:44.0,,,18-20,,G. Antetokounmpo misses 3-pt shot from 22 ft
3:43.0,Defensive rebound by L. Scola,,18-20,,
3:31.0,B. Biyombo makes 2-pt shot from 16 ft (assist by K. Lowry),2,20-20,,
3:13.0,,,20-20,,Shooting foul by K. Lowry (drawn by J. Bayless)
3:13.0,,,20-21,1,J. Bayless makes free throw 1 of 2
3:13.0,P. Patterson enters the game for L. Scola,,20-21,,
3:13.0,C. Joseph enters the game for K. Lowry,,20-21,,
3:13.0,,,20-21,,M. Plumlee enters the game for G. Monroe
3:13.0,,,20-22,1,J. Bayless makes free throw 2 of 2
3:00.0,T. Ross misses 3-pt shot from 26 ft,,20-22,,
2:59.0,,,20-22,,Defensive rebound by M. Plumlee
2:48.0,,,20-22,,J. Bayless misses 3-pt shot from 24 ft
2:46.0,Defensive rebound by B. Biyombo,,20-22,,
2:36.0,C. Joseph misses 2-pt shot from 1 ft,,20-22,,
2:36.0,,,20-22,,Defensive rebound by Team
2:36.0,,,20-22,,Milwaukee full timeout
2:36.0,,,20-22,,T. Ennis enters the game for J. Parker
2:36.0,,,20-22,,J. O'Bryant enters the game for J. Bayless
2:36.0,N. Powell enters the game for J. Johnson,,20-22,,
2:36.0,J. Thompson enters the game for B. Biyombo,,20-22,,
2:23.0,,,20-22,,K. Middleton misses 2-pt shot from 7 ft (block by J. Thompson)
2:21.0,,,20-22,,Offensive rebound by M. Plumlee
2:20.0,,,20-22,,M. Plumlee misses 2-pt shot from 2 ft
2:19.0,Defensive rebound by T. Ross,,20-22,,
2:02.0,C. Joseph misses 2-pt shot from 8 ft,,20-22,,
2:00.0,Offensive rebound by C. Joseph,,20-22,,
1:55.0,P. Patterson misses 3-pt shot from 24 ft,,20-22,,
1:54.0,,,20-22,,Defensive rebound by G. Antetokounmpo
1:40.0,,,20-24,2,M. Plumlee makes 2-pt shot from 3 ft (assist by K. Middleton)
1:18.0,P. Patterson misses 2-pt shot from 8 ft,,20-24,,
1:17.0,Offensive rebound by J. Thompson,,20-24,,
1:12.0,J. Thompson makes 2-pt shot from 2 ft,2,22-24,,
1:01.0,Personal foul by J. Thompson,,22-24,,
1:01.0,,,22-25,1,M. Plumlee makes free throw 1 of 2
1:01.0,,,22-26,1,M. Plumlee makes free throw 2 of 2
0:42.0,Turnover by T. Ross (lost ball; steal by K. Middleton),,22-26,,
0:38.0,,,22-28,2,M. Plumlee makes 2-pt shot at rim (assist by K. Middleton)
0:15.0,T. Ross misses 3-pt shot from 24 ft,,22-28,,
0:13.0,,,22-28,,Defensive rebound by J. O'Bryant
0:03.0,,,22-28,,M. Plumlee misses 2-pt shot from 1 ft (block by P. Patterson)
0:01.0,,,22-28,,Offensive rebound by M. Plumlee
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,22-28,,J. Parker misses 2-pt shot from 2 ft
11:44.0,Defensive rebound by P. Patterson,,22-28,,
11:26.0,Shooting foul by R. Vaughn (drawn by K. Lowry),,22-28,,
11:26.0,K. Lowry makes free throw 1 of 3,1,23-28,,
11:26.0,K. Lowry makes free throw 2 of 3,1,24-28,,
11:26.0,K. Lowry makes free throw 3 of 3,1,25-28,,
11:13.0,,,25-28,,Turnover by M. Plumlee (lost ball; steal by P. Patterson)
10:52.0,P. Patterson makes 2-pt shot from 9 ft (assist by K. Lowry),2,27-28,,
10:40.0,Violation by T. Ross (kicked ball),,27-28,,
10:40.0,,,27-28,,J. Bayless enters the game for R. Vaughn
10:34.0,,,27-30,2,T. Ennis makes 2-pt shot from 1 ft
10:19.0,Turnover by P. Patterson (lost ball; steal by J. O'Bryant),,27-30,,
10:08.0,Personal foul by P. Patterson,,27-30,,
10:01.0,,,27-30,,J. O'Bryant misses 2-pt shot from 8 ft
9:59.0,Defensive rebound by K. Lowry,,27-30,,
9:46.0,T. Ross makes 3-pt shot from 24 ft (assist by P. Patterson),3,30-30,,
9:27.0,,,30-32,2,J. Parker makes 2-pt shot from 1 ft
9:09.0,J. Thompson misses 2-pt shot from 17 ft,,30-32,,
9:08.0,Offensive rebound by K. Lowry,,30-32,,
8:55.0,P. Patterson makes 3-pt shot from 23 ft (assist by K. Lowry),3,33-32,,
8:36.0,,,33-34,2,J. Bayless makes 2-pt shot from 2 ft
8:28.0,C. Joseph makes 2-pt shot from 2 ft (assist by K. Lowry),2,35-34,,
8:23.0,Personal foul by P. Patterson,,35-34,,
8:23.0,Official timeout,,35-34,,
8:23.0,,,35-34,,G. Monroe enters the game for M. Plumlee
8:23.0,L. Scola enters the game for P. Patterson,,35-34,,
8:14.0,,,35-34,,Shooting foul by C. Joseph (drawn by T. Ennis)
8:14.0,,,35-35,1,T. Ennis makes free throw 1 of 2
8:14.0,,,35-36,1,T. Ennis makes free throw 2 of 2
8:01.0,T. Ross misses 3-pt shot from 24 ft,,35-36,,
8:00.0,,,35-36,,Defensive rebound by G. Monroe
7:50.0,,,35-36,,G. Monroe misses 2-pt shot from 18 ft
7:49.0,Defensive rebound by C. Joseph,,35-36,,
7:39.0,L. Scola makes 3-pt shot from 22 ft (assist by T. Ross),3,38-36,,
7:22.0,,,38-36,,J. O'Bryant misses 2-pt shot from 16 ft
7:21.0,Defensive rebound by K. Lowry,,38-36,,
7:15.0,T. Ross misses 2-pt shot at rim,,38-36,,
7:09.0,Offensive rebound by L. Scola,,38-36,,
7:09.0,L. Scola misses 3-pt shot from 23 ft,,38-36,,
7:08.0,Offensive rebound by T. Ross,,38-36,,
7:04.0,L. Scola misses 2-pt shot from 8 ft,,38-36,,
7:02.0,,,38-36,,Defensive rebound by J. Parker
6:53.0,Personal foul by J. Thompson,,38-36,,
6:53.0,B. Biyombo enters the game for J. Thompson,,38-36,,
6:41.0,,,38-36,,T. Ennis misses 2-pt shot from 14 ft
